Ritz wavelength (nm),Li I (6.5e-03),Li II (3.2e-01),Li III (5.5e-29),C I (1.2e-01),C II (5.2e-02),C III (1.4e-08),O I (4.8e-01),O II (1.6e-02),O III (1.1e-12)
432.5832,,,,,6.778e-6,,,,
432.6164,,,,,6.285e-6,,,,
432.746,,,,,,,,3.552e-8,
432.7849,,,,,,,,2.537e-9,
432.8591,,,,,,,,1.426e-8,
433.1466,,,,,,,,2.532e-9,
433.1857,,,,,,,,2.277e-8,
433.6859,,,,,,,,1.360e-6,
434.556,,,,,,,,3.554e-6,
434.7217,,,,,,,,7.290e-8,
434.7413,,,,,,,,5.709e-7,
434.9426,,,,,,,,8.900e-6,
435.126,,,,,,,,9.112e-7,
435.1457,,,,,,,,5.362e-8,
435.6794,,,,,,,,,8.574e-25
436.6895,,,,,,,,3.485e-6,
436.9272,,,,,,,,1.262e-7,
437.5876,,,,,,,,,4.641e-25
438.8018,,,,,,4.239e-19,,,
439.5935,,,,,,,,2.060e-7,
441.4899,,,,,,,,7.484e-6,
441.6975,,,,,,,,4.318e-6,
444.0093,,,,,,,,,5.704e-27
444.301,,,,,,,,3.326e-8,
444.7694,,,,,,,,,9.508e-27
444.8191,,,,,,,,4.481e-8,
445.2378,,,,,,,,8.263e-7,
446.1607,,,,,,,,,1.331e-26
446.6235,,,,,,,,3.174e-8,
446.7465,,,,,,,,1.588e-8,
449.337,,,,,,,,,2.444e-27
449.8225056,,,9.788e-72,,,,,,
449.8277799,,,5.828e-72,,,,,,
449.866202,,,2.914e-72,,,,,,
449.8846443,,,2.859e-71,,,,,,
449.8847465,,,1.761e-71,,,,,,
449.903223,,,6.483e-71,,,,,,
449.9032561,,,4.084e-71,,,,,,
449.9118883,,,8.403e-71,,,,,,
449.9157307,,,2.401e-72,,,,,,
450.664,,,,,,,,,1.700e-27
451.3827,,,,,,,,,1.158e-27
451.5811,,,,,,1.150e-18,,,
451.6788,,,,,,1.914e-18,,,
452.4222,,,,,,,,,1.146e-27
453.2785,,,,,,,,,1.434e-27
453.5285,,,,,,,,,8.601e-28
453.8851,,,,,,,,,1.147e-27
455.5387,,,,,,,,,4.308e-27
455.773,,,,,,,,8.855e-10,
455.7913,,,,,,,,,1.431e-27
455.894,,,,,,,,4.935e-10,
456.926,,,,,,,,,3.370e-26
458.7721,,,,,,,,,1.059e-26
459.0974,,,,,,,,1.261e-6,
459.5957,,,,,,,,5.222e-8,
459.6177,,,,,,,,8.942e-7,
460.2821,9.705e+2,,,,,,,,
460.2889,1.747e+3,,,,,,,,
460.2893,1.942e+2,,,,,,,,
461.0608,,,,,,,,,3.133e-26
463.0773,,,,,,,,,8.564e-27
463.88558,,,,,,,,3.917e-6,
463.8919,,,,,3.496e-5,,,,
464.18103,,,,,,,,9.413e-6,
464.7418,,,,,,5.060e-14,,,
464.91347,,,,,,,,1.656e-5,
464.9973,,,,,,,,,6.349e-27
465.0246,,,,,,3.037e-14,,,
465.08384,,,,,,,,3.660e-6,
465.1016,,,,,,2.697e-18,,,
465.1473,,,,,,1.012e-14,,,
465.2048,,,,,,2.168e-18,,,
466.16324,,,,,,,,4.383e-6,
466.3642,,,,,,2.157e-18,,,
466.586,,,,,,8.021e-18,,,
466.8875,,,,,,,,,8.438e-27
467.049,,,,,,3.461e-20,,,
467.14,,5.234e-24,,,,,,,
467.153,,6.973e-25,,,,,,,
467.1629,,1.601e-23,,,,,,,
467.1764,,2.898e-23,,,,,,,
467.188,,1.275e-23,,,,,,,
467.3487,,,,,,,,,1.040e-26
467.37331,,,,,,,,6.773e-7,
467.3953,,,,,,2.674e-18,,,
467.6235,,,,,,,,3.299e-6,
467.8056,,1.529e-23,,,,,,,
467.829,,5.925e-24,,,,,,,
469.0888,,,,,,,,5.941e-9,
469.1419,,,,,,,,1.187e-8,
469.8437,,,,,,,,4.341e-9,
469.9011,,,,,,,,8.680e-8,
469.9218,,,,,,,,6.057e-7,
470.1179,,,,,,,,2.948e-8,
470.1712,,,,,,,,5.895e-9,
470.3161,,,,,,,,6.060e-8,
470.5346,,,,,,,,9.555e-7,
471.0009,,,,,,,,1.940e-7,
474.1704,,,,,,,,3.281e-8,
475.1278,,,,,,,,5.543e-8,
476.463,,,,,,,,,1.229e-28
477.3753,,,,,,,5.104e-1,,
478.8362,,7.806e-24,,,,,,,
484.292,,5.896e-25,,,,,,,
484.2944,,3.157e-25,,,,,,,
485.6389,,,,,,,,3.633e-8,
485.6762,,,,,,,,4.341e-8,
486.0965,,,,,,,,1.647e-8,
487.1523,,,,,,,,2.942e-8,
487.2017,,,,,,,,3.272e-9,
488.1216,,1.361e-24,,,,,,,
488.1471,,2.269e-24,,,,,,,
488.1685,,4.538e-25,,,,,,,
489.0856,,,,,,,,1.127e-7,
490.683,,,,,,,,2.130e-7,
492.4529,,,,,,,,3.662e-7,
494.1072,,,,,,,,2.135e-7,
494.3005,,,,,,,,4.152e-7,
495.5707,,,,,,,,6.398e-8,
496.7884,,,,,,,5.300e-1,,
496.8794,,,,,,,1.025e+0,,
497.1659,1.060e+2,,,,,,,,
497.1743,2.119e+2,,,,,,,,
502.0218,,,,,,,4.592e-1,,
503.2128,,,,,1.146e-4,,,,
503.5943,,,,,6.362e-5,,,,
503.7914,,8.421e-25,,,,,,,
508.8922,,,,,,,,,1.064e-27
513.2947,,,,,1.231e-4,,,,
513.3282,,,,,1.326e-4,,,,
513.7257,,,,,2.458e-5,,,,
513.9174,,,,,3.925e-5,,,,
514.3495,,,,,1.226e-4,,,,
514.5165,,,,,3.073e-4,,,,
515.1085,,,,,1.317e-4,,,,
515.9941,,,,,,,,6.134e-8,
517.5903,,,,,,,,2.870e-8,
519.0498,,,,,,,,4.706e-8,
519.917,,4.388e-26,,,,,,,
519.919,,8.192e-26,,,,,,,
520.6651,,,,,,,,1.328e-7,
524.9112,,,,,,5.182e-19,,,
525.3559,,,,,6.637e-7,,,,
525.7236,,,,,4.518e-6,,,,
525.9056,,,,,3.107e-6,,,,
525.9664,,,,,1.272e-6,,,,
525.9758,,,,,2.039e-6,,,,
526.8301,,,,,,,,,1.580e-23
527.2522,,,,,,2.515e-18,,,
532.9099,,,,,,,6.471e-1,,
532.9681,,,,,,,8.394e-1,,
532.969,,,,,,,1.346e+0,,
533.0735,,,,,,,6.709e-1,,
533.0741,,,,,,,2.592e+0,,
533.4789,,,,,4.151e-5,,,,
540.17,,6.881e-26,,,,,,,
540.19,,8.651e-26,,,,,,,
540.21,,1.474e-25,,,,,,,
540.665,,9.689e-26,,,,,,,
543.5775,,,,,,,7.172e-1,,
543.6862,,,,,,,1.001e+0,,
546.628,,5.911e-26,,,,,,,
548.3462,,1.788e-20,,,,,,,
548.4403,,8.944e-20,,,,,,,
548.5086,,5.366e-20,,,,,,,
550.8242,,,,,,,,,2.162e-23
559.2252,,,,,,,,,2.637e-21
564.055,,,,,3.890e-5,,,,
564.807,,,,,7.749e-5,,,,
565.388,,4.877e-26,,,,,,,
566.246,,,,,1.152e-4,,,,
569.592,,,,,,3.726e-15,,,
582.642,,,,,,2.868e-18,,,
585.606,,,,,5.418e-6,,,,
588.978,,,,,1.935e-3,,,,
589.16,,,,,1.073e-3,,,,
595.8584,,,,,,,6.719e-1,,
598.858,,,,,,,,,1.773e-27
603.516,,,,,,,,,2.552e-27
604.6438,,,,,,,5.733e-1,,
607.759,,,,,,,,,3.584e-27
609.529,,,,,3.009e-5,,,,
609.851,,,,,5.399e-5,,,,
610.256,,,,,5.997e-6,,,,
610.353,5.557e+3,,,,,,,,
610.364,1.000e+4,,,,,,,,
610.366,1.111e+3,,,,,,,,
615.256,,,,,,,,1.968e-9,
615.5961,,,,,,,1.107e+0,,
615.5971,,,,,,,2.492e+0,,
615.5989,,,,,,,1.939e+0,,
615.6737,,,,,,,8.321e-1,,
615.6755,,,,,,,3.231e+0,,
615.6778,,,,,,,5.164e+0,,
615.8172,,,,,,,2.582e+0,,
615.8187,,,,,,,9.959e+0,,
621.4252,,,,,,,,2.866e-9,
625.219,,1.486e-25,,,,,,,
625.222,,1.920e-25,,,,,,,
625.956,,,,,4.464e-5,,,,
645.3602,,,,,,,1.315e+0,,
645.4444,,,,,,,2.191e+0,,
645.5977,,,,,,,3.068e+0,,
650.755,,,,,,,,,4.500e-26
654.566,,4.541e-26,,,,,,,
654.595,,1.799e-25,,,,,,,
654.611,,2.211e-25,,,,,,,
654.64,,3.855e-25,,,,,,,
655.319,,2.479e-25,,,,,,,
655.364,,5.138e-26,,,,,,,
656.5283,,,,,,,,2.746e-8,
657.1108,,,,,,,,1.956e-8,
657.805,,,,,1.025e-1,,,,
658.288,,,,,5.119e-2,,,,
662.7373,,,,,,,,1.063e-8,
664.1031,,,,,,,,7.626e-7,
664.162,,1.439e-25,,,,,,,
670.776,2.734e+4,,,,,,,,
670.791,1.367e+4,,,,,,,,
671.7754,,,,,,,,4.131e-9,
672.1388,,,,,,,,1.397e-6,
673.104,,,,,,4.043e-18,,,
673.861,,,,,9.778e-6,,,,
674.439,,,,,,7.474e-18,,,
675.054,,,,,1.945e-5,,,,
677.994,,,,,2.179e-4,,,,
678.059,,,,,8.651e-5,,,,
678.391,,,,,4.123e-4,,,,
678.721,,,,,8.666e-5,,,,
679.147,,,,,1.104e-4,,,,
680.069,,,,,9.276e-5,,,,
684.6804,,,,,,,,5.302e-9,
686.9475,,,,,,,,6.817e-9,
688.4881,,,,,,,,5.255e-9,
689.5102,,,,,,,,4.549e-8,
690.6436,,,,,,,,3.160e-8,
690.7873,,,,,,,,1.309e-8,
691.0562,,,,,,,,2.086e-8,
700.1922,,,,,,,1.914e+0,,
700.223,,,,,,,3.569e+0,,
700.225,,,,,,,8.494e-1,,
703.725,,,,,,1.752e-17,,,
704.625,,,,,1.084e-5,,,,
705.309,,,,,2.164e-5,,,,
706.368,,,,,3.235e-5,,,,
711.0078,,,,,,,,1.247e-8,
711.248,,,,,2.934e-5,,,,
711.304,,,,,4.708e-5,,,,
711.563,,,,,7.156e-5,,,,
711.976,,,,,1.168e-5,,,,
711.991,,,,,1.038e-4,,,,
712.572,,,,,1.524e-5,,,,
712.8865,,,,,,,,6.958e-9,
713.41,,,,,1.179e-5,,,,
715.6701,,,,,,,6.654e+0,,
719.025,,,,,,,,,1.010e-26
723.133,,,,,1.759e-2,,,,
723.642,,,,,3.159e-2,,,,
723.717,,,,,3.507e-3,,,,
725.4154,,,,,,,1.032e+0,,
725.4448,,,,,,,1.719e+0,,
728.0251,,,,,,,,4.407e-9,
730.685,,,,,,,,,7.940e-26
730.712,,,,,,,,,9.845e-26
736.535,,,,,,,,,5.817e-26
741.404,,,,,,,,,7.699e-26
745.536,,,,,,,,,2.772e-25
748.656,,,,,,4.859e-19,,,
748.664,,,,,,1.343e-19,,,
751.599,,,,,,,,,9.128e-26
751.949,,,,,4.156e-5,,,,
753.0611,,,,,,,,6.941e-9,
757.815,,,,,,5.546e-19,,,
759.227,,,,,,7.262e-19,,,
761.275,,,,,,9.424e-19,,,
771.095,,,,,,,,,7.175e-26
777.1944,,,,,,,2.807e+2,,
777.4166,,,,,,,2.006e+2,,
777.5388,,,,,,,1.204e+2,,
779.6,,,,,,5.732e-19,,,
782.068,,,,,,,,,1.221e-26
783.237,,,,,,,,,3.659e-26
783.938,,,,,,,,,6.087e-26
784.794,,,,,,,,,1.610e-26
787.354,,,,,,,,,2.449e-26
796.332,,,,,,,,,4.186e-26
802.115,,,,,,2.173e-19,,,
807.664,,,,,7.194e-6,,,,
812.622,8.993e+2,,,,,,,,
812.645,1.798e+3,,,,,,,,
817.215,,,,,,,,,2.832e-25
822.1798,,,,,,,1.012e+0,,
822.1824,,,,,,,8.062e+0,,
822.591,,1.361e-25,,,,,,,
822.7653,,,,,,,9.716e-1,,
823.0001,,,,,,,4.503e+0,,
823.0026,,,,,,,1.010e+0,,
823.3003,,,,,,,2.904e+0,,
823.5354,,,,,,,9.684e-1,,
828.097144,,,6.630e-73,,,,,,
828.202072,,,1.792e-72,,,,,,
828.202245,,,1.193e-72,,,,,,
828.232863,,,3.773e-72,,,,,,
828.232917,,,2.559e-72,,,,,,
828.247003,,,7.113e-72,,,,,,
828.247029,,,4.890e-72,,,,,,
828.255001,,,8.729e-72,,,,,,
828.83,,,,,,,,1.959e-9,
833.299,,,,,,3.632e-18,,,
833.514471,,,,4.060e+1,,,,,
834.16,,,,,,2.512e-18,,,
834.27,,,,,,,,2.332e-9,
834.795,,,,,,1.702e-18,,,
835.886,,,,,,,,,1.129e-25
837.5844,,,,,,,,8.454e-9,
838.177,,,,,,,,1.811e-9,
840.3379,,,,,,,,4.470e-9,
841.588,,,,,,,,1.791e-9,
844.6247,,,,,,,2.731e+1,,
844.6359,,,,,,,1.366e+2,,
844.6758,,,,,,,8.194e+1,,
882.0423,,,,,,,7.493e+0,,
899.93,,,,,,,,,5.296e-26
905.701,,9.151e-26,,,,,,,
906.143478,,,,5.821e+1,,,,,
906.24724,,,,4.557e+1,,,,,
907.828181,,,,3.406e+1,,,,,
908.85095,,,,4.804e+1,,,,,
909.483,,,,1.818e+2,,,,,
911.180155,,,,6.476e+1,,,,,
911.614,,,,,,,,,1.487e-25
911.94,,,,,,,,,3.435e-30
912.138,,,,,,,,,3.447e-30
913.329,,,,,,,,,2.094e-25
917.421,,,,,,,,,1.008e-25
921.75,3.219e+1,,,,,,,,
922.134,,,,,,,,,1.720e-29
922.521,,,,,,,,,8.184e-26
922.647,,,,,,,,,3.488e-30
923.112,,,,,1.244e-4,,,,
923.682,,,,,2.488e-4,,,,
924.508,,,,,,,,,1.743e-29
924.812,,,,,,,,,3.433e-30
926.0806,,,,,,,1.272e+1,,
926.0848,,,,,,,2.858e+1,,
926.0936,,,,,,,2.225e+1,,
926.2582,,,,,,,9.498e+0,,
926.267,,,,,,,3.708e+1,,
926.2776,,,,,,,5.930e+1,,
926.545,,,,,,,,,1.817e-26
926.553,,,,,,,,,5.666e-30
926.5826,,,,,,,4.236e+0,,
926.5932,,,,,,,2.955e+1,,
926.6006,,,,,,,1.142e+2,,
929.14,,,,,,,,,1.765e-26
931.111,,,,,,,,,6.785e-30
937.53,,,,,,,,,1.645e-29
938.806,,,,,,,,,3.330e-29
940.5728,,,,1.994e+2,,,,,
940.914,,,,,,9.430e-20,,,
941.528,,1.429e-25,,,,,,,
941.529,,3.215e-25,,,,,,,
941.534,,6.001e-25,,,,,,,
941.563,,1.072e-25,,,,,,,
941.593,,1.072e-25,,,,,,,
947.571,,,,,,,,,1.637e-29
948.2888,,,,,,,2.829e+0,,
956.512,,,,,,,,,1.409e-26
959.456,,,,,,,,5.293e-9,
