Ritz wavelength (nm),Li I (6.5e-03),Li II (3.2e-01),Li III (5.5e-29),C I (1.2e-01),C II (5.2e-02),C III (1.4e-08),O I (4.8e-01),O II (1.6e-02),O III (1.1e-12)
238.3918,,,,,,,,,1.455e-24
239.0432,,,,,,,,,7.315e-23
240.176,,,,,2.063e-4,,,,
240.2301,,1.027e-25,,,,,,,
240.2323,,3.425e-26,,,,,,,
240.2324,,1.918e-25,,,,,,,
240.2362,,3.425e-26,,,,,,,
240.2403,,,,,4.117e-4,,,,
240.2437,,4.567e-26,,,,,,,
240.6376,,,,,,,,1.137e-8,
240.7477,,,,,,,,7.883e-9,
241.1597,,,,,,,,6.368e-9,
241.1644,,,,,,,,1.400e-9,
241.5126,,,,,,,,2.800e-9,
241.8459,,,,,,,,1.208e-8,
242.052,,,,,,,,,6.412e-30
242.114,,,,,,,,,4.490e-29
242.5567,,,,,,,,1.699e-8,
242.59,,,,,,,,,1.722e-28
242.631,,,,,,,,,5.641e-29
242.657,,,,,,,,,1.445e-29
242.692,,,,,,,,,9.025e-29
242.936,,,,,,,,,3.398e-29
242.961,,,,,,,,,4.362e-29
242.969,,,,,,,,,1.936e-29
243.3542,,,,,,,,2.579e-7,
243.4918,,,,,,,,,9.495e-26
243.6056,,,,,,,,1.106e-8,
243.8814,,,,,,,,,1.063e-24
244.104,,,,,,,,,9.209e-29
244.1351,,,,,,,,,3.184e-26
244.1626,,,,,,,,2.691e-9,
244.1704,,,,,,,,,3.142e-26
244.4251,,,,,,,,4.631e-8,
244.523,,,,,,,,,4.586e-29
244.5529,,,,,,,,4.588e-7,
244.693,,,,,,,,,4.623e-29
245.113,,,,,,,,,8.213e-30
245.345,,,,,,,,,4.416e-29
245.424,,,,,,,,,4.445e-29
245.4966,,,,,,,,,5.428e-22
245.656,,,,,,,,,1.479e-29
247.85614,,,,4.299e+2,,,,,
250.694,,1.433e-25,,,,,,,
250.698,,2.432e-25,,,,,,,
250.701,,1.135e-25,,,,,,,
250.8785,,1.601e-25,,,,,,,
250.886,,2.810e-26,,,,,,,
250.9126,,,,,1.290e-2,,,,
251.1735,,,,,2.539e-3,,,,
251.2058,,,,,2.306e-2,,,,
251.7964,,,,,,,,5.085e-9,
252.6872,,,,,,,,3.833e-9,
252.9327,,,,,,,,,4.669e-26
253.0279,,,,,,,,7.169e-9,
253.4064,,,,,,,,,3.707e-25
253.898,,,,,3.114e-7,,,,
253.9467,,,,,,,,,4.558e-26
253.9487,,1.241e-25,,,,,,,
254.042,,,,,7.237e-7,,,,
254.089,,,,,2.897e-7,,,,
254.2636,,,,,,,,,2.103e-25
254.339,,,,,3.114e-7,,,,
254.349,,,,,2.893e-7,,,,
254.6409,,,,,,,,,1.375e-25
254.68,,,,,7.503e-8,,,,
254.7422,,,,,,,,,4.694e-26
254.9595,,,,,,,,,4.561e-26
255.8035,,,,,,,,,9.197e-25
255.95,,7.719e-26,,,,,,,
257.1457,,,,,,,,4.029e-9,
257.5277,,,,,,,,7.198e-9,
259.1398,,,,,9.349e-7,,,,
259.184,,,,,1.681e-6,,,,
259.7699,,,,,,,,,6.916e-25
260.3161,,,,,5.540e-7,,,,
260.4876,,,,,1.105e-6,,,,
260.5045,,2.470e-25,,,,,,,
260.5071,,8.234e-26,,,,,,,
260.5073,,4.611e-25,,,,,,,
260.5117,,8.233e-26,,,,,,,
260.5205,,1.098e-25,,,,,,,
260.5424,,,,,,,,,4.115e-25
260.959,,,,,,,,,1.366e-25
262.021,,,,,1.828e-5,,,,
262.2287,,,,,,,,,8.064e-26
264.0532,,,,,2.556e-6,,,,
264.0585,,,,,4.101e-6,,,,
264.0892,,,,,6.233e-6,,,,
264.1398,,,,,9.045e-6,,,,
264.14,,,,,,3.775e-21,,,
264.1534,,,,,1.022e-6,,,,
264.2331,,,,,1.328e-6,,,,
264.3432,,,,,1.033e-6,,,,
265.7332,,6.612e-26,,,,,,,
266.5684,,,,,,,,,2.367e-25
267.0238,,,,,,1.881e-19,,,
267.1318,,,,,,2.786e-19,,,
267.2953,,,,,,4.020e-19,,,
267.4415,,4.033e-25,,,,,,,
267.4463,,2.420e-25,,,,,,,
267.458,,,,,,,,,3.893e-25
267.7813,,,,,,,,,1.498e-25
268.3658,,,,,,,,,6.272e-27
268.6154,,,,,,,,,5.401e-25
268.7547,,,,,,,,,1.884e-26
269.5477,,,,,,,,,3.148e-26
269.7416,,,,,,9.651e-20,,,
269.7765,,,,,,1.605e-19,,,
270.1035,,,,,,,,,8.025e-26
272.689,,,,,,,,,8.826e-29
272.7306,,,,,6.531e-7,,,,
272.7555,,,,,,4.097e-18,,,
272.8202,,7.431e-26,,,,,,,
272.828,,4.276e-25,,,,,,,
272.8326,,6.909e-25,,,,,,,
272.8366,,3.011e-25,,,,,,,
272.8717,,,,,3.260e-6,,,,
272.9214,,,,,1.309e-6,,,,
273.0472,,4.155e-25,,,,,,,
273.0551,,8.407e-26,,,,,,,
273.0627,,,,,6.522e-7,,,,
273.3294,,,,,,,,9.822e-8,
273.506,,,,,,,,,5.245e-29
273.909,,,,,,,,,1.741e-29
274.1203,6.375e+1,,,,,,,,
274.6488,,,,,1.338e-3,,,,
274.7276,,,,,2.406e-3,,,,
274.733,,,,,2.672e-4,,,,
274.7367,,,,,,,,4.950e-8,
276.5122,,,,,4.758e-7,,,,
276.6111,,,,,9.531e-7,,,,
276.6989,,3.044e-25,,,,,,,
276.7677,,,,,1.433e-6,,,,
277.196,,,,,,,,,2.764e-27
279.4139,,,,,,,,,4.040e-24
279.4569,,,,,,1.192e-19,,,
279.646,,,,,,1.763e-19,,,
279.9479,,,,,,2.543e-19,,,
280.8068,,,,,,6.368e-20,,,
