Wavelength (nm),Sum,Li I (6.5e-03),Li II (3.2e-01),Li III (5.5e-29),C I (1.2e-01),C II (5.2e-02),C III (1.4e-08),O I (4.8e-01),O II (1.6e-02),O III (1.1e-12)
398.26,4.244e-4,,,,,1.632e-12,,4.230e-4,1.359e-6,2.363e-26
398.35,7.051e-4,,,,,4.052e-12,,7.039e-4,1.163e-6,1.123e-26
398.43,1.080e-3,,,,,8.862e-12,,1.079e-3,1.008e-6,5.644e-27
398.51,1.615e-3,,,,,1.892e-11,,1.614e-3,8.690e-7,2.768e-27
398.59,2.357e-3,,,,,3.944e-11,,2.356e-3,7.430e-7,1.325e-27
398.67,3.359e-3,,,,,8.027e-11,,3.358e-3,6.289e-7,6.184e-28
398.76,4.860e-3,,,,,1.734e-10,,4.860e-3,5.136e-7,2.548e-28
398.84,6.579e-3,,,,,3.354e-10,,6.579e-3,4.223e-7,1.129e-28
398.92,8.693e-3,,,,,6.330e-10,,8.692e-3,3.415e-7,4.880e-29
399,1.121e-2,,,,,1.166e-9,,1.121e-2,2.712e-7,2.058e-29
399.08,1.411e-2,,,,,2.098e-9,,1.411e-2,2.111e-7,8.465e-30
399.17,1.776e-2,,,,,3.948e-9,,1.776e-2,1.554e-7,3.026e-30
399.25,2.123e-2,,,,,6.748e-9,,2.123e-2,1.157e-7,1.181e-30
399.33,2.478e-2,,,,,1.126e-8,,2.478e-2,8.420e-8,4.499e-31
399.41,2.822e-2,,,,,1.835e-8,,2.822e-2,5.990e-8,1.672e-31
399.49,3.138e-2,,,,,2.920e-8,,3.138e-2,4.164e-8,6.062e-32
399.57,3.405e-2,,,,,4.535e-8,,3.405e-2,2.827e-8,2.144e-32
399.66,3.627e-2,,,,,7.234e-8,,3.627e-2,1.778e-8,6.466e-33
399.74,3.738e-2,,,,,1.068e-7,,3.738e-2,1.147e-8,2.170e-33
399.82,3.761e-2,,,,,1.540e-7,,3.761e-2,7.230e-9,7.106e-34
399.9,3.693e-2,,,,,2.169e-7,,3.693e-2,4.447e-9,2.270e-34
399.98,3.540e-2,,,,,2.984e-7,,3.540e-2,2.670e-9,7.077e-35
400.07,3.279e-2,,,,,4.155e-7,,3.279e-2,1.461e-9,1.851e-35
400.15,2.985e-2,,,,,5.439e-7,,2.985e-2,8.330e-10,5.475e-36
400.23,2.653e-2,,,,,6.959e-7,,2.653e-2,4.636e-10,1.580e-36
400.31,2.301e-2,,,,,8.704e-7,,2.301e-2,2.518e-10,4.448e-37
400.39,1.948e-2,,,,,1.064e-6,,1.948e-2,1.334e-10,1.222e-37
400.47,1.610e-2,,,,,1.273e-6,,1.609e-2,6.903e-11,3.274e-38
400.56,1.262e-2,,,,,1.518e-6,,1.261e-2,3.194e-11,
400.64,9.903e-3,,,,,1.736e-6,,9.901e-3,1.569e-11,
400.72,7.587e-3,,,,,1.945e-6,,7.585e-3,7.518e-12,
400.8,5.674e-3,,,,,2.137e-6,,5.672e-3,3.517e-12,
400.88,4.142e-3,,,,,2.304e-6,,4.139e-3,1.605e-12,
400.97,2.824e-3,,,,,2.455e-6,,2.822e-3,6.453e-13,
401.05,1.959e-3,,,,,2.552e-6,,1.956e-3,2.797e-13,
401.13,1.326e-3,,,,,2.612e-6,,1.323e-3,1.183e-13,
401.21,8.767e-4,,,,,2.634e-6,4.395e-34,8.741e-4,4.882e-14,
401.29,5.661e-4,,,,,2.621e-6,1.585e-33,5.635e-4,1.967e-14,
401.38,3.366e-4,,,,,2.567e-6,6.524e-33,3.340e-4,6.867e-15,
401.46,2.070e-4,,,,,2.487e-6,2.238e-32,2.045e-4,2.626e-15,
401.54,1.246e-4,,,,,2.382e-6,7.499e-32,1.222e-4,9.802e-16,
401.62,7.355e-5,,,,,2.255e-6,2.454e-31,7.130e-5,3.570e-16,
401.7,4.270e-5,,,,,2.109e-6,7.845e-31,4.059e-5,1.269e-16,
401.78,2.451e-5,,,,,1.948e-6,2.449e-30,2.256e-5,4.402e-17,
401.87,1.307e-5,,,,,1.753e-6,8.572e-30,1.132e-5,1.299e-17,
401.95,7.547e-6,,,,,1.573e-6,2.546e-29,5.974e-6,4.278e-18,
402.03,4.467e-6,,,,,1.389e-6,7.385e-29,3.078e-6,1.375e-18,
402.11,2.755e-6,,,,,1.207e-6,2.092e-28,1.548e-6,4.313e-19,
402.19,1.791e-6,,,,,1.031e-6,5.791e-28,7.598e-7,1.320e-19,
402.28,1.176e-6,,,,,8.446e-7,1.769e-27,3.315e-7,3.384e-20,
402.36,8.475e-7,,,,,6.929e-7,4.658e-27,1.545e-7,9.835e-21,
402.44,6.275e-7,,,,,5.572e-7,1.198e-26,7.033e-8,2.789e-21,
402.52,4.700e-7,,,,,4.388e-7,3.008e-26,3.124e-8,1.026e-21,
402.6,3.518e-7,,,,,3.383e-7,7.378e-26,1.354e-8,1.130e-21,
402.68,2.609e-7,,,,,2.552e-7,1.768e-25,5.731e-9,3.272e-21,
402.77,1.830e-7,,,,,1.809e-7,4.593e-25,2.116e-9,1.352e-20,
402.85,1.310e-7,,,,,1.301e-7,1.047e-24,8.504e-10,4.571e-20,2.569e-41
402.93,9.179e-8,,,,,9.146e-8,2.330e-24,3.336e-10,1.511e-19,1.141e-40
403.01,6.295e-8,,,,,6.282e-8,5.066e-24,1.278e-10,4.878e-19,4.020e-40
403.09,4.221e-8,,,,,4.216e-8,1.076e-23,4.775e-11,1.539e-18,1.385e-39
403.18,2.619e-8,,,,,2.617e-8,2.441e-23,1.533e-11,5.451e-18,5.414e-39
403.26,1.672e-8,,,,,1.671e-8,4.930e-23,5.443e-12,1.637e-17,1.775e-38
403.34,1.042e-8,,,,,1.042e-8,9.728e-23,1.886e-12,4.803e-17,5.689e-38
403.42,6.346e-9,,,,,6.345e-9,1.875e-22,6.379e-13,1.377e-16,1.782e-37
403.5,3.773e-9,,,,,3.773e-9,3.529e-22,2.106e-13,3.857e-16,5.452e-37
403.58,2.191e-9,,,,,2.191e-9,6.489e-22,6.785e-14,1.056e-15,1.630e-36
403.67,1.155e-9,,,,,1.155e-9,1.252e-21,1.844e-14,3.187e-15,5.438e-36
403.75,6.376e-10,,,,,6.376e-10,2.189e-21,5.643e-15,8.304e-15,1.549e-35
403.83,3.436e-10,,,,,3.436e-10,3.740e-21,1.686e-15,2.114e-14,4.309e-35
403.91,1.809e-10,,,,,1.808e-10,6.240e-21,4.915e-16,5.260e-14,1.172e-34
403.99,9.302e-11,,,,,9.289e-11,1.017e-20,1.399e-16,1.279e-13,3.114e-34
404.08,4.301e-11,,,,,4.267e-11,1.713e-20,3.305e-17,3.379e-13,9.097e-34
404.16,2.162e-11,,,,,2.083e-11,2.657e-20,8.935e-18,7.823e-13,2.302e-33
404.24,1.170e-11,,,,,9.931e-12,4.024e-20,,1.770e-12,5.694e-33
404.32,8.535e-12,,,,,4.622e-12,5.955e-20,,3.913e-12,1.376e-32
404.4,1.055e-11,,,,,2.100e-12,8.609e-20,,8.455e-12,3.251e-32
404.49,2.041e-11,,,,,8.402e-13,1.268e-19,,1.957e-11,8.318e-32
404.57,4.064e-11,,,,,3.628e-13,1.745e-19,,4.028e-11,1.871e-31
404.65,8.118e-11,,,,,1.530e-13,2.348e-19,,8.102e-11,4.114e-31
404.73,1.594e-10,,,,,6.295e-14,3.090e-19,,1.593e-10,8.839e-31
404.81,3.062e-10,,,,,2.530e-14,3.978e-19,,3.062e-10,1.856e-30
404.89,5.753e-10,,,,,9.924e-15,5.014e-19,,5.753e-10,3.809e-30
404.98,1.138e-9,,,,,3.366e-15,6.350e-19,,1.138e-9,8.322e-30
405.06,2.038e-9,,,,,1.255e-15,7.682e-19,,2.038e-9,1.627e-29
405.14,3.568e-9,,,,,4.567e-16,9.139e-19,,3.568e-9,3.108e-29
405.22,6.107e-9,,,,,1.623e-16,1.072e-18,,6.107e-9,5.803e-29
405.3,1.022e-8,,,,,5.630e-17,1.245e-18,,1.022e-8,1.059e-28
405.39,1.777e-8,,,,,1.663e-17,1.462e-18,,1.777e-8,2.028e-28
405.47,2.836e-8,,,,,5.481e-18,1.684e-18,,2.836e-8,3.525e-28
405.55,4.429e-8,,,,,1.764e-18,1.948e-18,,4.429e-8,5.991e-28
405.63,6.766e-8,,,,,5.543e-19,2.271e-18,,6.766e-8,9.951e-28
405.71,1.011e-7,,,,,1.701e-19,2.677e-18,,1.011e-7,1.616e-27
405.79,1.479e-7,,,,,5.093e-20,3.192e-18,,1.479e-7,2.565e-27
405.88,2.210e-7,,,,,1.275e-20,3.934e-18,,2.210e-7,4.199e-27
405.96,3.088e-7,,,,,3.629e-21,4.766e-18,,3.088e-7,6.353e-27
406.04,4.223e-7,,,,,1.008e-21,5.778e-18,,4.223e-7,9.399e-27
406.12,5.657e-7,,,,,2.736e-22,6.978e-18,,5.657e-7,1.360e-26
406.2,7.420e-7,,,,,,8.355e-18,,7.420e-7,1.924e-26
406.29,9.825e-7,,,,,,1.009e-17,,9.825e-7,2.770e-26
406.37,1.234e-6,,,,,,1.173e-17,,1.234e-6,3.742e-26
406.45,1.519e-6,,,,,,1.341e-17,,1.519e-6,4.947e-26
406.53,1.834e-6,,,,,,1.504e-17,,1.834e-6,6.403e-26
406.61,2.171e-6,,,,,,1.654e-17,,2.171e-6,8.117e-26
406.7,2.565e-6,,,,,,1.795e-17,,2.565e-6,1.035e-25
406.78,2.916e-6,,,,,,1.887e-17,,2.916e-6,1.257e-25
406.86,3.255e-6,,,,,,1.941e-17,,3.255e-6,1.498e-25
406.94,3.567e-6,,,,,,1.953e-17,,3.567e-6,1.753e-25
407.02,3.839e-6,,,,,,1.922e-17,,3.839e-6,2.015e-25
407.1,4.061e-6,,,,,,1.850e-17,,4.061e-6,2.278e-25
407.19,4.236e-6,,,,,,1.725e-17,,4.236e-6,2.567e-25
407.27,4.320e-6,,,,,,1.583e-17,,4.320e-6,2.810e-25
407.35,4.331e-6,,,,,,1.420e-17,,4.331e-6,3.035e-25
407.43,4.272e-6,,,,,,1.246e-17,,4.272e-6,3.236e-25
407.51,4.145e-6,,,,,,1.068e-17,,4.145e-6,3.408e-25
407.6,3.931e-6,,,,,,8.748e-18,,3.931e-6,3.565e-25
407.68,3.688e-6,,,,,,7.150e-18,,3.688e-6,3.667e-25
407.76,3.409e-6,,,,,,5.713e-18,,3.409e-6,3.731e-25
407.84,3.105e-6,,,,,,4.463e-18,,3.105e-6,3.755e-25
407.92,2.790e-6,,,,,,3.408e-18,,2.790e-6,3.738e-25
408,2.475e-6,,,,,,2.544e-18,,2.475e-6,3.678e-25
408.09,2.134e-6,,,,,,1.782e-18,,2.134e-6,3.561e-25
408.17,1.853e-6,,,,,,1.268e-18,,1.853e-6,3.415e-25
408.25,1.597e-6,,,,,,8.816e-19,,1.597e-6,3.234e-25
408.33,1.371e-6,,,,,,5.993e-19,,1.371e-6,3.024e-25
408.41,1.176e-6,,,,,,3.982e-19,,1.176e-6,2.792e-25
408.5,9.932e-7,,,,,,2.447e-19,,9.932e-7,2.514e-25
408.58,8.619e-7,,,,,,1.549e-19,,8.619e-7,2.262e-25
408.66,7.570e-7,,,,,,9.585e-20,,7.570e-7,2.013e-25
408.74,6.755e-7,1.450e-13,,,,,5.798e-20,,6.755e-7,1.774e-25
