Wavelength (nm),Sum,Li I (6.5e-03),Li II (3.2e-01),Li III (5.5e-29),C I (1.2e-01),C II (5.2e-02),C III (1.4e-08),O I (4.8e-01),O II (1.6e-02),O III (1.1e-12)
180.14,2.137e-25,,,,,,,,2.136e-25,1.271e-28
180.23,5.460e-24,,,,,,,,5.460e-24,1.761e-28
180.31,8.599e-23,,,,,,,,8.599e-23,2.075e-28
180.39,1.205e-21,,,,,,,,1.205e-21,2.169e-28
180.47,1.503e-20,,,,,,,,1.503e-20,2.014e-28
180.55,1.669e-19,,,,,,,,1.669e-19,1.660e-28
180.64,2.176e-18,,,,,,,,2.176e-18,1.158e-28
180.72,1.885e-17,,,,,,,,1.885e-17,7.412e-29
180.8,1.453e-16,,,,,,,,1.453e-16,4.212e-29
180.88,9.963e-16,,,,,,,,9.963e-16,2.125e-29
180.96,6.080e-15,,,,,,,,6.080e-15,9.516e-30
181.04,3.302e-14,,,,,,,,3.302e-14,3.784e-30
181.13,1.927e-13,,,,,,,,1.927e-13,1.163e-30
181.21,8.168e-13,,,,,,,,8.168e-13,3.591e-31
181.29,3.080e-12,,,,,,,,3.080e-12,9.844e-32
181.37,1.034e-11,,,,,,,,1.034e-11,2.396e-32
181.45,3.087e-11,,,,,,,,3.087e-11,5.177e-33
181.54,9.194e-11,,,,,,,,9.194e-11,8.012e-34
181.62,2.143e-10,,,,,,,,2.143e-10,1.344e-34
181.7,4.444e-10,,,,,,,,4.444e-10,2.003e-35
181.78,8.204e-10,,,,,,,,8.204e-10,2.649e-36
181.86,1.348e-9,,,,,,,,1.348e-9,3.110e-37
181.94,1.975e-9,,,,,,,,1.975e-9,3.242e-38
182.03,2.648e-9,,,,,,,,2.648e-9,2.210e-39
182.11,3.061e-9,,,,,,,,3.061e-9,1.789e-40
182.19,3.208e-9,,,,,,,,3.208e-9,1.286e-41
182.27,3.125e-9,,,,,,,,3.125e-9,8.203e-43
182.35,2.972e-9,,,,,,,,2.972e-9,4.647e-44
182.44,2.996e-9,,,,,,,,2.996e-9,
182.52,3.385e-9,,,,,,,,3.385e-9,
182.6,4.162e-9,,,,,,,,4.162e-9,
182.68,5.191e-9,,,,,,,,5.191e-9,
182.76,6.200e-9,,,,,,,,6.200e-9,
182.85,6.925e-9,,,,,,,,6.925e-9,3.958e-44
182.93,6.960e-9,,,,,,,,6.960e-9,6.355e-43
183.01,6.392e-9,,,,,,,,6.392e-9,9.113e-42
183.09,5.411e-9,,,,,,,,5.411e-9,1.167e-40
183.17,4.336e-9,,,,,1.025e-20,,,4.336e-9,1.334e-39
183.25,3.473e-9,,,,,1.676e-19,,,3.473e-9,1.361e-38
183.34,2.957e-9,,,,,3.395e-18,,,2.957e-9,1.622e-37
183.42,2.864e-9,,,,,4.367e-17,,,2.864e-9,1.301e-36
183.5,2.924e-9,,,,,5.017e-16,,,2.924e-9,9.320e-36
183.58,2.923e-9,,,,,5.149e-15,,,2.923e-9,5.961e-35
183.66,2.718e-9,,,,,4.720e-14,,,2.718e-9,3.404e-34
183.75,2.230e-9,,,,,4.987e-13,,,2.229e-9,2.110e-33
183.83,1.669e-9,,,,,3.596e-12,,,1.666e-9,9.471e-33
183.91,1.136e-9,,,,,2.317e-11,,,1.113e-9,3.796e-32
183.99,7.963e-10,,,,,1.333e-10,,,6.630e-10,1.358e-31
184.07,1.038e-9,,,,,6.851e-10,,,3.524e-10,4.339e-31
184.15,3.312e-9,,,,,3.145e-9,,,1.670e-10,1.238e-30
184.24,1.533e-8,,,,,1.527e-8,,,6.284e-11,3.515e-30
184.32,5.516e-8,,,,,5.514e-8,,,2.333e-11,7.880e-30
184.4,1.779e-7,,,,,1.779e-7,,,7.722e-12,1.577e-29
184.48,5.126e-7,,,,,5.126e-7,,,2.278e-12,2.819e-29
184.56,1.320e-6,,,,,1.320e-6,,,5.993e-13,4.500e-29
184.65,3.340e-6,,,,,3.340e-6,,,1.163e-13,6.649e-29
184.73,6.764e-6,,,,,6.764e-6,,,2.396e-14,8.340e-29
184.81,1.224e-5,,,,,1.224e-5,,,4.402e-15,9.340e-29
184.89,1.977e-5,,,,,1.977e-5,,,7.209e-16,9.340e-29
184.97,2.853e-5,,,,,2.853e-5,,,1.053e-16,8.340e-29
185.05,3.679e-5,,,,,3.679e-5,,,1.370e-17,6.649e-29
185.14,4.277e-5,,,,,4.277e-5,,,1.204e-18,4.500e-29
185.22,4.338e-5,,,,,4.338e-5,,,1.228e-19,2.819e-29
185.3,3.930e-5,,,,,3.930e-5,,,1.116e-20,1.577e-29
185.38,3.180e-5,,,,,3.180e-5,,,9.045e-22,7.880e-30
185.46,2.299e-5,,,,,2.299e-5,,,6.533e-23,3.515e-30
185.55,1.394e-5,,,,,1.394e-5,,,2.962e-24,1.238e-30
185.63,7.928e-6,,,,,7.928e-6,,,1.676e-25,4.339e-31
185.71,4.027e-6,,,,,4.027e-6,,,,1.358e-31
185.79,1.827e-6,,,,,1.827e-6,,,,3.796e-32
185.87,7.405e-7,,,,,7.405e-7,,,,9.471e-33
185.96,2.342e-7,,,,,2.342e-7,,,,1.735e-33
186.04,7.468e-8,,,,,7.468e-8,3.424e-35,,,3.404e-34
186.12,2.127e-8,,,,,2.127e-8,5.144e-34,,,5.961e-35
186.2,5.411e-9,,,,,5.411e-9,6.927e-33,,,9.320e-36
186.28,1.230e-9,,,,,1.230e-9,8.361e-32,,,1.301e-36
186.36,2.496e-10,,,,,2.496e-10,9.045e-31,,,1.622e-37
186.45,3.626e-11,,,,,3.626e-11,1.156e-29,,,1.361e-38
186.53,5.790e-12,,,,,5.790e-12,9.911e-29,,,1.334e-39
186.61,8.259e-13,,,,,8.259e-13,7.615e-28,,,1.167e-40
186.69,1.052e-13,,,,,1.052e-13,5.244e-27,,,9.113e-42
186.77,1.198e-14,,,,,1.198e-14,3.237e-26,,,6.355e-43
186.86,9.076e-16,,,,,9.076e-16,2.201e-25,,,2.775e-44
186.94,8.126e-17,,,,,8.126e-17,1.077e-24,,,
187.02,6.498e-18,,,,,6.498e-18,4.720e-24,,,
187.1,4.642e-19,,,,,4.642e-19,1.855e-23,,,
187.18,2.969e-20,,,,,2.962e-20,6.533e-23,,,
187.26,1.895e-21,,,,,1.688e-21,2.062e-22,,,
187.35,6.594e-22,,,,,,6.594e-22,,,
187.43,1.650e-21,,,,,,1.650e-21,,,
187.51,3.699e-21,,,,,,3.699e-21,,,
187.59,7.433e-21,,,,,,7.433e-21,,,
187.67,1.339e-20,,,,,,1.339e-20,,,1.118e-42
187.76,2.277e-20,,,,,,2.277e-20,,,2.288e-41
187.84,3.250e-20,,,,,,3.250e-20,,,2.985e-40
187.92,4.158e-20,,,,,,4.158e-20,,,3.497e-39
188,4.769e-20,,,,,,4.769e-20,,,3.680e-38
188.08,4.904e-20,,,,,,4.904e-20,,,3.477e-37
188.17,4.464e-20,,,,,,4.464e-20,,,3.825e-36
188.25,3.767e-20,,,,,,3.767e-20,,,2.875e-35
188.33,3.362e-20,,,,,,3.362e-20,,,1.941e-34
188.41,4.759e-20,,,,,,4.759e-20,,,1.177e-33
188.49,1.239e-19,,,,,,1.239e-19,,,6.405e-33
188.57,3.885e-19,,,,,,3.885e-19,,,3.131e-32
188.66,1.322e-18,,,,,,1.322e-18,,,1.641e-31
188.74,3.534e-18,,,,,,3.534e-18,,,6.384e-31
188.82,8.489e-18,,,,,,8.489e-18,,,2.230e-30
188.9,1.833e-17,,,,,1.272e-20,1.831e-17,,,6.994e-30
188.98,3.577e-17,,,,,3.045e-19,3.546e-17,,,1.970e-29
189.07,7.167e-17,,,,,6.100e-18,6.557e-17,,,5.553e-29
189.15,1.793e-16,,,,,7.830e-17,1.010e-16,,,1.244e-28
189.23,1.044e-15,,,,,9.044e-16,1.396e-16,,,2.505e-28
189.31,9.574e-15,,,,,9.401e-15,1.732e-16,,,4.528e-28
189.39,8.813e-14,,,,,8.794e-14,1.929e-16,,,7.355e-28
189.47,7.404e-13,,,,,7.403e-13,1.929e-16,,,1.074e-27
189.56,7.170e-12,,,,,7.170e-12,1.696e-16,,,1.450e-27
189.64,4.824e-11,,,,,4.824e-11,1.349e-16,,,1.699e-27
189.72,2.921e-10,,,,,2.921e-10,9.633e-17,,,1.810e-27
189.8,1.592e-9,,,,,1.592e-9,6.176e-17,,,1.777e-27
189.88,7.807e-9,,,,,7.807e-9,3.556e-17,,,1.648e-27
189.97,4.118e-8,,,,,4.118e-8,1.681e-17,,,1.489e-27
190.05,1.614e-7,,,,,1.614e-7,7.705e-18,,,1.407e-27
190.13,5.695e-7,,,,,5.695e-7,3.175e-18,,,1.400e-27
190.21,1.808e-6,,,,,1.808e-6,1.177e-18,,,1.437e-27
190.29,5.168e-6,,,,,5.168e-6,3.929e-19,,,1.467e-27
190.37,1.329e-5,,,,,1.329e-5,1.183e-19,,,1.452e-27
190.46,3.393e-5,,,,,3.393e-5,2.720e-20,,,1.377e-27
190.54,6.982e-5,,,,,6.982e-5,6.642e-21,,,1.278e-27
190.62,1.294e-4,,,,,1.294e-4,1.481e-21,,,1.172e-27
190.7,2.163e-4,,,,,2.163e-4,3.042e-22,,,1.070e-27
190.78,3.264e-4,,,,,3.264e-4,6.526e-23,,,9.991e-28
190.87,4.611e-4,,,,,4.611e-4,7.694e-23,,,1.148e-27
190.95,5.683e-4,,,,6.105e-13,5.683e-4,4.313e-22,,,2.206e-27
191.03,6.460e-4,,,,9.325e-12,6.460e-4,2.422e-21,,,6.499e-27
191.11,6.896e-4,,,,1.284e-10,6.896e-4,1.229e-20,,,2.087e-26
191.19,7.084e-4,,,,1.593e-9,7.084e-4,5.617e-20,,,6.303e-26
191.28,7.201e-4,,,,2.392e-8,7.201e-4,2.740e-19,,,1.947e-25
191.36,7.329e-4,,,,2.380e-7,7.327e-4,1.003e-18,,,4.752e-25
191.44,7.436e-4,,,,2.135e-6,7.414e-4,3.309e-18,,,1.045e-24
191.52,7.463e-4,,,,1.726e-5,7.290e-4,9.833e-18,,,2.068e-24
191.6,8.046e-4,,,,1.258e-4,6.788e-4,2.632e-17,,,3.684e-24
191.68,1.413e-3,,,,8.263e-4,5.865e-4,6.347e-17,,,5.911e-24
191.77,6.514e-3,,,,6.066e-3,4.482e-4,1.508e-16,,,8.872e-24
191.85,3.227e-2,,,,3.195e-2,3.191e-4,2.913e-16,,,1.139e-23
191.93,1.519e-1,,,,1.517e-1,2.067e-4,5.069e-16,,,1.316e-23
192.01,6.495e-1,,,,6.494e-1,1.237e-4,7.946e-16,,,1.368e-23
192.09,2.505e+0,,,,2.505e+0,7.413e-5,1.122e-15,,,1.281e-23
192.18,1.010e+1,,,,1.010e+1,5.800e-5,1.461e-15,,,1.050e-23
192.26,3.126e+1,,,,3.126e+1,7.976e-5,1.652e-15,,,7.864e-24
192.34,8.718e+1,,,,8.718e+1,1.402e-4,1.684e-15,,,5.304e-24
192.42,2.191e+2,,,,2.191e+2,2.451e-4,1.546e-15,,,3.221e-24
192.5,4.964e+2,,,,4.964e+2,3.944e-4,1.279e-15,,,1.761e-24
192.58,1.014e+3,,,,1.014e+3,5.743e-4,9.529e-16,,,8.665e-25
192.67,1.999e+3,,,,1.999e+3,7.749e-4,6.042e-16,,,3.442e-25
192.75,3.274e+3,,,,3.274e+3,9.057e-4,3.606e-16,,,1.355e-25
192.83,4.833e+3,,,,4.833e+3,9.540e-4,1.939e-16,,,4.803e-26
192.91,6.431e+3,,,,6.431e+3,9.055e-4,9.395e-17,,,1.533e-26
192.99,7.712e+3,,,,7.712e+3,7.745e-4,4.100e-17,,,4.404e-27
193.08,8.357e+3,,,,8.357e+3,5.737e-4,1.424e-17,,,9.548e-28
193.16,8.038e+3,,,,8.038e+3,3.933e-4,4.978e-18,,,2.194e-28
193.24,6.969e+3,,,,6.969e+3,2.430e-4,1.568e-18,,,4.540e-29
193.32,5.445e+3,,,,5.445e+3,1.353e-4,4.449e-19,,,8.457e-30
193.4,3.835e+3,,,,3.835e+3,6.785e-5,1.137e-19,,,1.418e-30
193.49,2.284e+3,,,,2.284e+3,2.757e-5,2.164e-20,,,1.678e-31
193.57,1.290e+3,,,,1.290e+3,1.108e-5,4.431e-21,,3.465e-25,2.251e-32
193.65,6.568e+2,,,,6.568e+2,4.016e-6,8.174e-22,,5.107e-24,2.719e-33
193.73,3.014e+2,,,,3.014e+2,1.311e-6,1.358e-22,,6.804e-23,2.957e-34
193.81,1.247e+2,,,,1.247e+2,3.857e-7,2.034e-23,,8.195e-22,2.895e-35
193.89,4.648e+1,,,,4.648e+1,1.022e-7,2.743e-24,,8.921e-21,2.551e-36
193.98,1.353e+1,,,,1.353e+1,2.027e-8,2.542e-25,,1.160e-19,1.464e-37
194.06,4.046e+0,,,,4.046e+0,4.307e-9,2.747e-26,,1.019e-18,1.032e-38
194.14,1.091e+0,,,,1.091e+0,8.247e-10,2.673e-27,,8.088e-18,6.552e-40
194.22,2.649e-1,,,,2.649e-1,1.423e-10,2.344e-28,,5.804e-17,
194.3,5.801e-2,,,,5.801e-2,2.212e-11,1.852e-29,,3.765e-16,
194.39,9.279e-3,,,,9.279e-3,2.406e-12,9.401e-31,,2.735e-15,
194.47,1.630e-3,,,,1.630e-3,2.998e-13,2.680e-32,,1.432e-14,
194.55,2.579e-4,,,,2.579e-4,3.366e-14,,,6.777e-14,
194.63,3.680e-5,,,,3.680e-5,3.405e-15,,,2.901e-13,
194.71,4.732e-6,,,,4.732e-6,3.105e-16,,,1.123e-12,
194.79,5.485e-7,,,,5.485e-7,2.551e-17,,,3.933e-12,
194.88,4.291e-8,,,,4.290e-8,1.354e-18,,,1.430e-11,
194.96,4.028e-9,,,,3.988e-9,8.914e-20,,,4.055e-11,
195.04,4.384e-10,,,,3.341e-10,,,,1.043e-10,
195.12,2.688e-10,,,,2.523e-11,,,,2.436e-10,
195.2,5.198e-10,,,,1.718e-12,,,,5.181e-10,
195.29,1.088e-9,,,,,,,,1.088e-9,
195.37,1.928e-9,,,,,,,,1.928e-9,
195.45,3.172e-9,,,,,,,,3.172e-9,
195.53,4.907e-9,,,,,,,,4.907e-9,
195.61,7.239e-9,,,,,,,,7.239e-9,
195.69,1.032e-8,,,,,,,,1.032e-8,
195.78,1.491e-8,,,,,,,,1.491e-8,
195.86,2.013e-8,,,,,,,,2.013e-8,
195.94,2.628e-8,,,,,,,,2.628e-8,
196.02,3.279e-8,,,,,,,,3.279e-8,
196.1,3.865e-8,,,,,,,,3.865e-8,
196.19,4.297e-8,,,,,,,,4.297e-8,
196.27,4.369e-8,,,,,,,,4.369e-8,
196.35,4.112e-8,,,,,,,,4.112e-8,
196.43,3.572e-8,,,,,,,,3.572e-8,
196.51,2.859e-8,,,,,,,,2.859e-8,
196.6,2.015e-8,,,,,2.458e-20,,,2.015e-8,
196.68,1.349e-8,,,,,3.397e-19,,,1.349e-8,
196.76,8.289e-9,,,,,4.257e-18,,,8.289e-9,
196.84,4.667e-9,,,,,4.838e-17,,,4.667e-9,
196.92,2.405e-9,,,,,4.985e-16,,,2.405e-9,
197,1.133e-9,,,,,4.658e-15,,,1.133e-9,
197.09,4.358e-10,,,,,5.120e-14,,,4.358e-10,
197.17,1.693e-10,,,,,3.886e-13,,,1.689e-10,
197.25,6.232e-11,,,,,2.675e-12,,,5.965e-11,
197.33,3.586e-11,,,,,1.670e-11,,,1.916e-11,
197.41,1.001e-10,,,,,9.450e-11,,,5.597e-12,
197.5,5.922e-10,,,,,5.910e-10,,,1.250e-12,
197.58,2.718e-9,,,,,2.717e-9,,,2.975e-13,
197.66,1.133e-8,,,,,1.133e-8,,,6.424e-14,
197.74,4.284e-8,,,,,4.284e-8,,,1.259e-14,
197.82,1.469e-7,,,,,1.469e-7,,,2.235e-15,
197.9,4.568e-7,,,,,4.568e-7,,,3.599e-16,
197.99,1.456e-6,,,,,1.456e-6,,,4.100e-17,
198.07,3.679e-6,,,,,3.679e-6,,,5.354e-18,
198.15,8.428e-6,,,,,8.428e-6,,,6.333e-19,
198.23,1.751e-5,,,,,1.751e-5,,,6.786e-20,
198.31,3.299e-5,,,,,3.299e-5,,,6.585e-21,
198.4,5.986e-5,,,,,5.986e-5,,,4.238e-22,
198.48,9.164e-5,,,,,9.164e-5,,,3.324e-23,
198.56,1.272e-4,,,,,1.272e-4,,,2.367e-24,
198.64,1.602e-4,,,,,1.602e-4,,,,
198.72,1.829e-4,,,,,1.829e-4,2.818e-32,,,
198.81,1.889e-4,,,,,1.889e-4,6.288e-31,,,
198.89,1.753e-4,,,,,1.753e-4,7.849e-30,,,
198.97,1.475e-4,,,,,1.475e-4,8.911e-29,,,
199.05,1.126e-4,,,,,1.126e-4,9.201e-28,,,
199.13,7.805e-5,,,,,7.805e-5,8.641e-27,,,
199.21,4.917e-5,,,,,4.917e-5,7.381e-26,,,
199.3,2.621e-5,,,,,2.621e-5,7.361e-25,,,
199.38,1.373e-5,,,,,1.373e-5,5.142e-24,,,
199.46,6.770e-6,,,,,6.770e-6,3.267e-23,,8.710e-25,
199.54,3.288e-6,,,,,3.288e-6,1.888e-22,,1.139e-23,
199.62,1.682e-6,,,,,1.682e-6,9.928e-22,,1.354e-22,
199.71,8.992e-7,,,,,8.992e-7,5.737e-21,,1.958e-21,
199.79,5.666e-7,,,,,5.666e-7,2.467e-20,,1.901e-20,
199.87,3.641e-7,,,,,3.641e-7,9.652e-20,,1.678e-19,
199.95,2.251e-7,,,,,2.251e-7,3.435e-19,,1.347e-18,
200.03,1.296e-7,,,,,1.296e-7,1.113e-18,,9.833e-18,
200.11,6.841e-8,,,,,6.841e-8,3.278e-18,,6.525e-17,
200.2,2.984e-8,,,,,2.984e-8,9.873e-18,,4.895e-16,
200.28,1.290e-8,,,,,1.290e-8,2.379e-17,,2.654e-15,
200.36,5.088e-9,,,,,5.088e-9,5.218e-17,,1.308e-14,
200.44,1.943e-9,,,,,1.943e-9,1.041e-16,,5.862e-14,
200.52,1.259e-9,,,,,1.259e-9,1.890e-16,,2.389e-13,
200.61,3.726e-9,,,,,3.725e-9,3.301e-16,,1.036e-12,
200.69,1.430e-8,,,,,1.429e-8,4.901e-16,,3.453e-12,
200.77,5.168e-8,,,,,5.167e-8,6.621e-16,,1.047e-11,
200.85,1.705e-7,,,,,1.704e-7,8.139e-16,,2.890e-11,
200.93,5.117e-7,,,,,5.116e-7,9.101e-16,,7.269e-11,
201.01,1.398e-6,,,,,1.398e-6,9.259e-16,,1.667e-10,
201.1,3.870e-6,,,,,3.870e-6,8.430e-16,,3.810e-10,
201.18,8.656e-6,,,,,8.655e-6,7.015e-16,,7.237e-10,
201.26,1.762e-5,,,,,1.762e-5,5.310e-16,,1.265e-9,
201.34,3.264e-5,,,,,3.264e-5,3.656e-16,,2.045e-9,
201.42,5.503e-5,,,,,5.502e-5,2.290e-16,,3.083e-9,
201.51,8.849e-5,,,,,8.848e-5,1.208e-16,,4.549e-9,
201.59,1.221e-4,,,,,1.221e-4,6.187e-17,,6.086e-9,
201.67,1.534e-4,,,,,1.534e-4,2.882e-17,,7.792e-9,
201.75,1.753e-4,,,,,1.753e-4,1.221e-17,,9.576e-9,
201.83,1.823e-4,,,,,1.823e-4,4.706e-18,,1.127e-8,
201.92,1.703e-4,,,,,1.703e-4,1.437e-18,,1.278e-8,
202,1.450e-4,,,,,1.449e-4,4.526e-19,,1.345e-8,2.105e-43
202.08,1.123e-4,,,,,1.123e-4,1.297e-19,,1.333e-8,2.673e-42
202.16,7.916e-5,,,,,7.915e-5,3.377e-20,,1.245e-8,3.093e-41
202.24,5.078e-5,,,,,5.077e-5,8.000e-21,,1.110e-8,3.262e-40
202.32,2.965e-5,,,,,2.964e-5,1.723e-21,,9.679e-9,3.134e-39
202.41,1.446e-5,,,,,1.445e-5,2.734e-22,,8.482e-9,3.577e-38
202.49,6.909e-6,,,,,6.901e-6,4.812e-23,,7.970e-9,2.822e-37
202.57,3.007e-6,,,,,2.999e-6,7.699e-24,,7.882e-9,2.029e-36
202.65,1.194e-6,,,,,1.186e-6,1.120e-24,,7.925e-9,1.330e-35
202.73,4.345e-7,,,,,4.267e-7,1.481e-25,,7.768e-9,7.941e-35
202.82,1.278e-7,,,,,1.207e-7,1.358e-26,,7.090e-9,5.306e-34
202.9,4.155e-8,,,,,3.552e-8,1.467e-27,,6.029e-9,2.601e-33
202.98,1.422e-8,,,,,9.512e-9,1.441e-28,,4.708e-9,1.162e-32
203.06,5.679e-9,,,,,2.318e-9,1.287e-29,,3.361e-9,4.733e-32
203.14,2.704e-9,,,,,5.137e-10,1.154e-30,,2.190e-9,1.756e-31
203.22,1.404e-9,,,,,1.036e-10,1.143e-30,,1.301e-9,5.940e-31
203.31,6.630e-10,,,,,1.527e-11,1.247e-29,,6.477e-10,2.094e-30
203.39,3.182e-10,,,,,2.519e-12,9.993e-29,,3.157e-10,5.813e-30
203.47,1.405e-10,,,,,3.815e-13,7.306e-28,,1.401e-10,1.471e-29
203.55,5.675e-11,,,,,7.647e-14,4.871e-27,,5.667e-11,3.392e-29
203.63,2.104e-11,,,,,1.631e-13,2.963e-26,,2.088e-11,7.127e-29
203.72,7.184e-12,,,,,1.113e-12,2.023e-25,,6.070e-12,1.471e-28
203.8,7.601e-12,,,,,5.768e-12,1.012e-24,,1.834e-12,2.538e-28
203.88,2.779e-11,,,,,2.729e-11,4.617e-24,,5.044e-13,3.991e-28
203.96,1.179e-10,,,,,1.178e-10,1.921e-23,,1.264e-13,5.720e-28
204.04,4.643e-10,,,,,4.643e-10,7.292e-23,,2.885e-14,7.475e-28
204.13,1.948e-9,,,,,1.948e-9,2.930e-22,,4.894e-15,9.051e-28
204.21,6.322e-9,,,,,6.322e-9,9.146e-22,,9.158e-16,9.747e-28
204.29,1.874e-8,,,,,1.874e-8,2.604e-21,,1.560e-16,9.629e-28
204.37,5.069e-8,,,,,5.069e-8,6.763e-21,,2.422e-17,8.804e-28
204.45,1.252e-7,,,,,1.252e-7,1.602e-20,,3.423e-18,7.603e-28
204.53,2.823e-7,,,,,2.823e-7,3.462e-20,,4.405e-19,6.458e-28
204.62,6.321e-7,,,,,6.321e-7,7.378e-20,,3.924e-20,5.692e-28
204.7,1.175e-6,,,,,1.175e-6,1.311e-19,,4.139e-21,5.654e-28
204.78,1.995e-6,,,,,1.995e-6,2.125e-19,,3.976e-22,6.130e-28
204.86,3.092e-6,,,,,3.092e-6,3.142e-19,,3.479e-23,6.829e-28
204.94,4.378e-6,,,,,4.378e-6,4.237e-19,,2.771e-24,7.383e-28
205.03,5.811e-6,,,,,5.811e-6,5.313e-19,,,7.461e-28
205.11,6.789e-6,,,,,6.789e-6,5.892e-19,,,6.911e-28
205.19,7.248e-6,,,,,7.248e-6,5.961e-19,,,5.864e-28
205.27,7.070e-6,,,,,7.070e-6,5.500e-19,,,4.546e-28
205.35,6.303e-6,,,,,6.303e-6,4.628e-19,,,3.216e-28
205.43,5.136e-6,,,,,5.136e-6,3.553e-19,,,2.076e-28
205.52,3.665e-6,,,,,3.665e-6,2.364e-19,,,1.137e-28
205.6,2.468e-6,,,,,2.468e-6,1.493e-19,,,6.044e-29
205.68,1.520e-6,,,,,1.520e-6,8.605e-20,,,2.959e-29
205.76,8.567e-7,,,,,8.567e-7,4.542e-20,,,1.400e-29
205.84,4.416e-7,,,,,4.416e-7,2.225e-20,,,8.054e-30
205.93,1.884e-7,,,1.468e-84,,1.884e-7,9.824e-21,,,9.170e-30
206.01,8.045e-8,,,1.809e-83,,8.045e-8,5.790e-21,,,1.658e-29
206.09,3.144e-8,,,2.039e-82,,3.144e-8,5.244e-21,,,3.145e-29
206.17,1.125e-8,,,2.103e-81,,1.125e-8,6.481e-21,,,5.581e-29
206.25,3.685e-9,,,1.985e-80,,3.685e-9,8.484e-21,,,9.080e-29
206.33,1.106e-9,,,1.714e-79,,1.106e-9,1.053e-20,,,1.350e-28
206.42,2.570e-10,,,1.743e-78,,2.570e-10,1.217e-20,,,1.893e-28
206.5,6.401e-11,,,1.246e-77,,6.401e-11,1.258e-20,,,2.321e-28
206.58,1.460e-11,,,8.150e-77,,1.460e-11,1.189e-20,,,2.600e-28
206.66,3.053e-12,,,4.878e-76,,3.053e-12,1.026e-20,,,2.659e-28
206.74,5.847e-13,,,2.671e-75,,5.847e-13,8.081e-21,,,2.484e-28
206.83,8.205e-14,,,1.627e-74,,8.205e-14,5.544e-21,,,2.065e-28
206.91,1.305e-14,,,7.375e-74,,1.305e-14,3.601e-21,,,1.591e-28
206.99,1.902e-15,,,3.059e-73,,1.902e-15,2.136e-21,,2.180e-25,1.120e-28
207.07,2.557e-16,,,1.161e-72,,2.557e-16,1.157e-21,,2.649e-24,7.196e-29
207.15,4.882e-17,,,4.031e-72,,4.882e-17,5.725e-22,,2.946e-23,4.224e-29
207.24,2.012e-16,,,1.470e-71,,2.012e-16,2.327e-22,,3.983e-22,2.082e-29
207.32,1.545e-15,,,4.226e-71,,1.545e-15,9.492e-23,,3.671e-21,1.008e-29
207.4,1.100e-14,,,1.111e-70,,1.100e-14,3.539e-23,,3.098e-20,4.456e-30
207.48,7.180e-14,,,2.674e-70,,7.180e-14,1.225e-23,,2.392e-19,1.799e-30
207.56,4.292e-13,,,5.885e-70,,4.292e-13,5.138e-24,,1.691e-18,6.636e-31
207.64,2.350e-12,,,1.185e-69,,2.350e-12,9.055e-24,,1.095e-17,2.235e-31
207.73,1.433e-11,,,2.342e-69,,1.433e-11,5.154e-23,,8.049e-17,5.897e-32
207.81,6.514e-11,,,3.903e-69,,6.514e-11,2.452e-22,,4.317e-16,1.638e-32
207.89,2.713e-10,,,5.952e-69,,2.713e-10,1.077e-21,,2.119e-15,4.157e-33
207.97,1.035e-9,,,8.304e-69,,1.035e-9,4.342e-21,,9.525e-15,9.633e-34
208.05,3.618e-9,,,1.060e-68,,3.618e-9,1.607e-20,,3.919e-14,2.039e-34
208.14,1.332e-8,,,1.254e-68,,1.332e-8,6.319e-20,,1.731e-13,3.189e-35
208.22,3.868e-8,,,1.324e-68,,3.868e-8,1.946e-19,,5.902e-13,5.566e-36
208.3,1.029e-7,,,1.280e-68,,1.029e-7,5.493e-19,,1.842e-12,8.873e-37
208.38,2.510e-7,,,1.131e-68,,2.510e-7,1.420e-18,,5.262e-12,1.292e-37
208.46,5.612e-7,,,9.148e-69,,5.612e-7,3.365e-18,,1.376e-11,1.718e-38
208.54,1.150e-6,,,6.768e-69,,1.150e-6,7.302e-18,,3.294e-11,2.086e-39
208.63,2.324e-6,,,4.335e-69,,2.324e-6,1.571e-17,,7.914e-11,1.747e-40
208.71,3.962e-6,,,2.654e-69,,3.962e-6,2.828e-17,,1.570e-10,1.750e-41
208.79,6.194e-6,,,1.486e-69,,6.194e-6,4.661e-17,,2.852e-10,1.601e-42
208.87,8.884e-6,,,7.615e-70,,8.883e-6,7.032e-17,,4.741e-10,1.338e-43
208.95,1.169e-5,,,3.569e-70,,1.169e-5,9.714e-17,,7.216e-10,
209.04,1.437e-5,,,1.368e-70,,1.437e-5,1.257e-16,,1.042e-9,
209.12,1.577e-5,,,5.305e-71,,1.577e-5,1.439e-16,,1.315e-9,
209.2,1.590e-5,,,1.882e-71,,1.589e-5,1.509e-16,,1.522e-9,
209.28,1.472e-5,,,6.108e-72,,1.472e-5,1.448e-16,,1.619e-9,
209.36,1.253e-5,,,1.813e-72,,1.252e-5,1.272e-16,,1.592e-9,
209.45,9.450e-6,,,4.158e-73,,9.449e-6,9.888e-17,,1.446e-9,
209.53,6.732e-6,,,1.021e-73,,6.731e-6,7.199e-17,,1.285e-9,
209.61,4.414e-6,,,2.295e-74,,4.413e-6,4.798e-17,,1.175e-9,
209.69,2.666e-6,,,4.717e-75,,2.664e-6,2.929e-17,,1.183e-9,
209.77,1.483e-6,,,8.869e-76,,1.482e-6,1.639e-17,,1.337e-9,
