Ritz wavelength (nm),Cs I (2.2e-02),Cs III (2.3e-05)
285.78281,,9.009e-9
285.9322,,8.162e-6
286.08849,,2.428e-7
286.24196,,1.614e-8
286.503,,2.240e-7
286.88036,,9.918e-9
287.12937,,9.398e-9
287.23211,,4.202e-9
287.52834,,1.063e-8
288.11847,,4.061e-8
288.44325,,1.037e-7
289.18411,,1.896e-8
289.38462,,1.904e-7
289.54924,,2.808e-7
291.46399,,2.158e-8
292.11285,,1.951e-7
292.19224,,2.573e-7
292.23128,,6.632e-9
292.4592,,1.006e-8
293.82833,,1.314e-7
294.22294,,1.048e-8
296.28567,,1.445e-8
296.50282,,8.772e-8
296.9062,,4.913e-7
297.68589,,4.656e-7
298.25825,,2.404e-8
299.53485,,1.958e-7
299.62309,,1.434e-8
299.8249,,2.745e-9
299.94187,,5.665e-7
300.1284,,1.097e-6
305.59854,,6.617e-9
306.12602,,6.429e-8
306.6591,,3.557e-6
307.80512,,1.084e-7
314.93563,,3.538e-6
315.23575,,3.064e-6
315.39674,,8.702e-7
317.26049,,1.686e-7
317.86412,,1.773e-7
320.96743,,5.163e-7
321.38226,,6.184e-7
322.7386,,1.701e-8
323.4281,,3.512e-8
325.53106,,1.518e-7
326.8322,,1.346e-5
329.98822,,4.891e-7
331.15366,,9.716e-8
331.52889,,7.805e-9
331.55148,,3.064e-6
334.0605,,1.900e-6
334.40229,,7.528e-7
334.94641,,4.422e-6
335.77006,,1.472e-7
335.89199,,9.897e-10
337.91175,,1.321e-8
338.92894,,2.353e-8
339.72183,,9.357e-8
340.66448,,4.576e-7
341.13355,,5.023e-7
341.81123,,4.221e-8
344.3972,,1.049e-8
353.33825,,6.651e-8
354.15702,,8.395e-7
355.98154,,1.653e-6
356.51431,,5.040e-7
359.74525,,1.068e-5
360.83102,,2.233e-6
361.81868,,6.941e-8
362.44398,,4.761e-9
363.0689,,3.292e-8
364.13434,,7.790e-7
364.3776,,3.681e-9
365.67199,,7.568e-8
366.14028,,7.653e-6
368.04698,,5.020e-7
369.94945,,9.607e-7
371.07856,,1.316e-8
373.43556,,3.669e-7
375.14206,,9.666e-8
382.23718,,8.130e-9
386.43346,,1.063e-6
388.3629,,1.672e-8
390.48187,,5.437e-8
392.55957,,3.815e-6
395.59381,,4.356e-7
400.16981,,1.469e-6
400.65447,,5.278e-6
400.67797,,3.382e-7
402.3608,,1.825e-7
402.86264,,1.084e-9
403.51314,,6.245e-9
