Ritz wavelength (nm),Mo I (2.8e-02)
360.83668,9.745e+1
361.06105,3.862e+1
361.19899,1.155e+2
361.51582,1.154e+2
362.32237,3.818e+2
362.44622,1.311e+3
362.46159,1.281e+2
362.61808,1.550e+2
363.82034,2.374e+2
363.82076,1.848e+2
364.06179,1.211e+2
364.78412,1.053e+2
364.86981,4.104e+1
365.45791,1.008e+2
365.73573,3.340e+2
365.81328,1.140e+2
365.93582,1.411e+3
366.09168,9.283e+1
366.2152,1.001e+2
366.2985,2.884e+2
366.32665,1.593e+2
366.48102,9.268e+2
366.48822,9.023e+1
366.67155,2.085e+2
366.93449,2.054e+2
367.28073,5.047e+2
367.28207,7.023e+1
367.62324,8.069e+1
368.059,2.465e+2
368.17195,1.205e+2
368.30147,4.627e+1
368.79604,1.153e+2
368.89659,2.279e+2
369.05863,2.520e+2
369.49395,1.090e+3
369.4985,3.394e+1
369.60422,1.845e+2
369.80738,5.867e+1
370.20306,1.056e+2
370.85514,1.187e+2
371.56461,1.840e+2
371.84754,6.649e+1
371.95516,2.297e+2
372.02508,2.082e+2
372.55539,1.768e+2
372.7679,4.107e+2
372.82956,8.130e+1
372.84977,2.678e+2
373.27087,1.686e+2
373.30244,1.379e+2
373.3406,1.725e+2
373.5617,1.461e+2
374.22825,1.750e+2
374.7186,1.761e+2
374.84823,3.476e+2
375.50993,5.799e+1
375.51597,1.521e+2
375.85204,1.828e+2
375.96054,9.510e+1
376.08756,1.572e+2
376.87347,1.695e+2
376.99894,1.448e+2
377.04448,8.323e+1
377.77207,1.135e+2
377.97654,1.375e+2
378.15906,1.223e+2
378.8254,2.089e+2
379.44286,1.244e+2
379.82531,1.303e+4
380.18403,3.872e+2
380.59892,1.393e+2
381.97787,1.105e+2
382.47766,8.031e+1
382.66929,2.073e+2
382.71537,1.552e+2
382.88756,4.678e+2
383.08144,8.060e+1
383.10705,7.814e+1
383.21069,2.361e+2
383.37461,7.159e+2
383.46369,5.285e+1
384.61768,7.495e+1
384.72446,1.324e+2
384.82984,2.039e+2
385.19857,1.417e+2
386.41038,9.688e+3
386.66905,7.872e+1
386.76694,5.151e+1
386.90814,2.180e+2
387.41547,6.869e+1
388.68212,2.519e+2
390.17696,1.778e+2
390.29533,7.064e+3
390.95384,7.252e+1
391.19443,5.065e+1
391.54304,9.496e+1
391.64305,4.130e+1
394.30778,8.170e+1
395.54834,1.074e+2
