Ritz wavelength (nm),La I (6.8e-03),La II (8.3e-01)
572.001,8.556e+1,
573.494,1.769e+2,
574.065,4.664e+2,
574.294,7.574e+1,
574.44,6.431e+2,
576.182,3.950e+2,
576.906,,1.853e+4
576.932,8.857e+2,
576.998,2.118e+2,
578.922,1.117e+3,
579.132,1.639e+3,
579.756,,1.078e+4
580.577,,7.691e+3
582.198,6.002e+2,
582.382,2.037e+2,
582.754,1.110e+2,
582.972,2.317e+2,
583.978,1.738e+1,
584.503,4.927e+1,
585.227,7.240e+1,
585.559,1.587e+2,
586.369,,5.382e+3
586.995,3.500e+1,
587.473,1.749e+2,
587.762,3.437e+1,
587.799,5.789e+1,
588.063,,3.699e+3
589.483,2.484e+2,
590.43,4.963e+1,
591.763,7.508e+1,
593.061,3.438e+2,
593.068,2.267e+2,
593.528,1.680e+2,
594.086,4.314e+1,
596.059,7.153e+1,
597.572,6.280e+1,
598.235,3.785e+1,
599.235,4.248e+1,
600.736,1.261e+2,
603.859,1.618e+2,
606.871,1.463e+2,
610.727,2.534e+1,
610.848,2.446e+2,
611.171,1.696e+2,
612.705,9.763e+1,
613.438,1.470e+2,
616.569,2.126e+2,
623.349,4.666e+1,
623.857,7.379e+1,
624.991,2.154e+3,
626.229,,1.280e+4
626.601,4.645e+2,
628.855,3.947e+1,
629.356,1.475e+2,
631.825,4.592e+1,
632.591,1.912e+2,
636.022,1.218e+2,
639.048,,8.875e+3
639.423,1.660e+3,
641.098,8.051e+2,
644.81,4.719e+1,
645.45,2.687e+2,
645.598,5.596e+2,
646.842,6.683e+1,
648.553,1.063e+2,
654.315,4.520e+2,
657.85,3.448e+2,
659.346,1.068e+2,
660.016,9.144e+1,
661.657,1.634e+2,
665.08,1.199e+2,
666.139,2.150e+2,
669.288,7.546e+1,
670.948,5.593e+2,
682.378,1.901e+2,
691.726,3.562e+1,
692.524,2.879e+2,
693.5,1.098e+2,
702.369,3.989e+2,
704.596,3.289e+2,
706.835,1.492e+2,
716.122,3.212e+2,
721.99,5.350e+1,
723.965,5.497e+1,
727.004,1.009e+2,
734.533,3.319e+2,
737.966,2.770e+2,
746.303,1.555e+2,
749.878,1.030e+2,
766.433,6.326e+1,
798.112,3.817e+1,
805.138,8.941e+1,
808.45,1.007e+2,
808.613,7.515e+1,
820.333,6.195e+0,
831.605,3.153e+1,
850.736,3.478e+1,
854.349,1.096e+2,
858.809,6.856e+1,
862.426,1.601e+1,
863.847,2.686e+1,
867.212,1.158e+2,
872.043,6.963e+1,
882.585,1.251e+2,
887.104,3.346e+1,
895.776,1.118e+2,
896.364,3.478e+1,
907.912,1.816e+2,
917.302,6.577e+1,
925.006,6.294e+1,
937.262,3.695e+1,
954.207,6.308e+1,
956.071,1.379e+1,
