Ritz wavelength (nm),Ti I (1.8e-02),Ti II (9.6e-01),Ti III (2.1e-02)
327.164786,,2.184e+4,
327.20773,,2.754e+4,
327.677181,,5.817e+3,
327.828768,,2.047e+4,
327.8306,,,7.294e-3
327.891854,,2.820e+4,
327.998767,,3.053e+3,
328.23267,,2.035e+4,
328.765427,,6.323e+4,
328.842715,,2.148e+3,
328.857613,,4.557e+3,
330.68787,4.422e+2,,
330.880337,,9.306e+3,
330.97213,3.177e+2,,
331.26866,2.451e+2,,
331.52339,1.553e+2,,
331.53224,,1.022e+4,
331.802277,,1.208e+4,
331.83543,1.294e+2,,
332.0947,,,3.235e-3
332.16982,,2.127e+4,
332.293385,,1.020e+5,
332.51482,3.929e+1,,
332.5228,6.797e+1,,
332.676163,,9.314e+3,
332.945371,,7.166e+4,
333.210839,,3.357e+4,
333.519111,,5.051e+4,
333.784693,,2.369e+3,
334.0208,,,7.243e-3
334.034099,,3.871e+4,
334.18731,1.762e+3,,
334.187471,,1.919e+5,
334.376148,,9.246e+3,
334.6184,,,8.738e-3
334.674084,,1.147e+4,
334.883951,,9.406e+3,
334.903258,,2.241e+5,
334.940227,,4.908e+5,
335.206925,,2.298e+3,
335.46332,2.389e+3,,
335.4723,,,1.207e-2
335.81,,,7.831e-4
335.82708,1.499e+2,,
336.121204,,3.978e+5,
336.617662,,4.520e+3,
337.04339,9.114e+2,,
337.0625,,,8.501e-4
337.14517,3.021e+3,,
337.1621,,,1.166e-3
337.220619,,7.003e+3,
337.279276,,2.924e+5,
337.434577,,3.752e+3,
337.75748,1.361e+3,,
337.92109,2.146e+2,,
338.027668,,3.450e+4,
338.375844,,2.213e+5,
338.56598,1.410e+2,,
338.59408,1.356e+3,,
338.78336,,5.827e+4,
338.875138,,3.583e+3,
339.457223,,4.283e+4,
339.6436,,,1.141e-3
340.242153,,4.215e+3,
340.4462,,,1.027e-3
341.7622,,,1.833e-3
344.337063,,1.405e+3,
344.430605,,3.096e+4,
345.2465,,5.805e+3,
345.638418,,1.620e+4,
346.14956,,1.581e+4,
346.554752,,2.880e+3,
347.71801,,1.574e+4,
348.36245,,3.078e+3,
349.104943,,1.021e+4,
349.236362,,2.414e+3,
350.489073,,6.133e+4,
350.983574,,2.140e+3,
351.084002,,4.857e+4,
352.025196,,1.470e+4,
353.540741,,2.279e+4,
359.604651,,8.616e+3,
362.48261,,5.790e+3,
363.5462,3.325e+3,,
364.132823,,9.783e+3,
364.26731,4.150e+3,,
364.61962,6.863e+1,,
365.34943,4.843e+3,,
365.45895,1.389e+2,,
365.80948,2.349e+2,,
365.97605,,1.059e+4,
366.06286,1.100e+2,,
366.22324,,1.077e+4,
366.89632,1.425e+2,,
367.16706,2.346e+2,,
368.99138,1.492e+2,,
370.621652,,8.602e+3,
371.73912,1.696e+2,,
372.163634,,6.505e+3,
372.25696,1.696e+2,,
372.45685,1.034e+3,,
372.51524,4.276e+2,,
372.98065,1.404e+3,,
374.10588,1.897e+3,,
374.163829,,3.160e+4,
374.8003,,3.909e+3,
375.28583,2.898e+3,,
375.3633,2.336e+2,,
375.768487,,1.437e+4,
375.929152,,1.568e+5,
376.13206,,1.555e+5,
376.187205,,5.085e+3,
377.16504,2.741e+2,,
378.60437,1.022e+3,,
378.87991,9.058e+2,,
385.37253,4.754e+2,,
385.81369,6.014e+2,,
386.64396,7.304e+2,,
386.83965,5.657e+2,,
387.32018,3.975e+2,,
388.21462,8.286e+2,,
388.23202,5.463e+2,,
388.28916,1.886e+3,,
388.8022,1.060e+2,,
389.52431,5.996e+2,,
389.75749,3.157e+1,,
390.053901,,3.842e+4,
390.0959,6.641e+1,,
391.11851,2.055e+2,,
391.13617,2.679e+1,,
391.25826,3.642e+1,,
391.346122,,2.388e+4,
391.4334,1.315e+2,,
391.5471,,,5.100e-3
392.14222,8.310e+1,,
392.45264,3.730e+2,,
392.4862,,,8.549e-4
392.98737,2.871e+2,,
394.77683,3.217e+2,,
394.86705,1.151e+3,,
395.63338,1.167e+3,,
395.82055,2.247e+3,,
396.28507,2.284e+2,,
396.42687,2.224e+2,,
398.17616,1.554e+3,,
398.24811,1.583e+2,,
398.97582,2.172e+3,,
399.86363,2.939e+3,,
400.596,1.071e+2,,
400.80532,2.081e+2,,
400.89274,2.837e+2,,
400.96568,4.889e+1,,
401.32496,8.796e+1,,
401.35838,3.037e+2,,
402.18156,3.984e+2,,
402.45711,3.350e+2,,
402.833838,,3.245e+3,
403.05112,5.704e+2,,
404.03156,6.430e+1,,
405.382098,,2.220e+3,
405.50115,2.195e+2,,
406.02621,3.126e+2,,
406.4211,1.881e+2,,
406.50945,1.830e+2,,
411.27085,5.873e+1,,
411.9146,,,9.549e-4
413.9427,,,4.201e-5
416.364374,,1.131e+4,
417.19036,,7.736e+3,
418.61173,3.443e+2,,
419.1088,,,4.985e-4
421.325,,,3.044e-4
421.552,,,4.632e-3
424.76,,,1.706e-4
424.854,,,2.011e-4
425.009,,,1.020e-3
425.411,,,5.668e-5
425.901,,,1.429e-4
426.6208,1.349e+2,,
426.983,,,2.232e-4
428.13674,6.165e+1,,
428.498,2.462e+2,,
428.561,,,5.265e-4
428.74027,4.999e+2,,
428.867,,,1.706e-4
428.90698,5.816e+2,,
429.02148,,9.219e+3,
429.09289,5.268e+2,,
429.409378,,5.502e+3,
429.57493,5.089e+2,,
429.669,,,2.565e-4
430.00424,,2.321e+4,
430.192251,,4.657e+3,
430.78656,,5.587e+3,
431.286004,,5.062e+3,
431.49708,,5.167e+3,
431.956,,,1.493e-4
433.791444,,5.326e+3,
435.228,,,1.122e-4
436.76522,,2.180e+3,
437.893,,,9.801e-5
438.6847,,1.749e+3,
439.39226,3.540e+2,,
439.503121,,1.568e+4,
440.619,,,2.952e-5
441.10727,,2.081e+3,
441.72734,4.691e+2,,
443.392,,,2.736e-4
444.059,,,4.168e-5
444.1266,8.183e+1,,
444.380077,,1.399e+4,
444.655,,,3.514e-5
444.91425,1.576e+3,,
445.08939,1.288e+3,,
445.33128,6.996e+2,,
445.36987,4.942e+2,,
445.53168,7.767e+2,,
445.74268,1.147e+3,,
446.58054,3.973e+2,,
446.608,,,5.893e-5
446.84926,,1.668e+4,
448.12592,6.904e+2,,
448.83239,,2.945e+3,
449.61448,3.842e+2,,
449.652,,,3.173e-5
450.126972,,1.214e+4,
451.27339,4.767e+2,,
451.8022,6.895e+2,,
451.8689,7.917e+1,,
452.038,,,7.696e-5
452.2797,5.987e+2,,
452.73041,4.991e+2,,
453.32394,4.269e+3,,
453.3263,,,4.388e-4
453.396001,,1.077e+4,
453.47761,2.754e+3,,
454.46871,4.516e+2,,
454.81101,6.458e+1,,
454.87635,6.466e+2,,
454.96217,,3.522e+4,
455.24533,6.617e+2,,
455.54829,4.650e+2,,
456.34234,1.745e+2,,
456.37581,,7.101e+3,
457.19713,,2.193e+4,
457.653,,,4.918e-4
457.852,,,3.629e-4
461.72689,1.438e+3,,
462.30972,7.641e+2,,
463.99388,3.847e+2,,
464.0418,5.298e+1,,
464.5188,1.660e+2,,
464.946,,,4.364e-4
465.00097,1.506e+2,,
465.286,,,1.133e-3
465.60433,8.926e+1,,
465.64693,1.769e+2,,
466.75845,2.457e+2,,
467.34,,,1.403e-4
467.51167,4.972e+1,,
468.19089,3.182e+2,,
472.26059,5.636e+1,,
474.23016,6.024e+1,,
474.27892,5.904e+2,,
475.81178,9.665e+2,,
475.92697,1.179e+3,,
476.358,,,1.891e-4
477.82547,2.272e+2,,
480.028,,,4.863e-5
480.54144,4.666e+2,,
482.04094,2.805e+2,,
482.179,,,2.870e-5
484.08737,4.372e+2,,
485.60103,1.007e+3,,
486.8144,8.936e+1,,
487.4,,,7.766e-4
487.40094,,1.621e+3,
487.48747,5.096e+1,,
488.50794,1.207e+3,,
488.87105,3.142e+1,,
491.11944,,2.481e+3,
491.36134,7.789e+2,,
491.431,,,2.386e-4
491.52287,5.079e+1,,
492.83362,4.599e+2,,
494.15707,3.932e+1,,
496.4717,7.428e+1,,
496.85675,1.124e+2,,
497.119,,,1.548e-3
497.30307,1.169e+2,,
497.77275,8.460e+1,,
498.17305,4.823e+3,,
498.91346,3.364e+2,,
499.1066,3.674e+3,,
499.70967,3.103e+1,,
499.9503,2.751e+3,,
500.09896,4.599e+2,,
500.72093,2.021e+3,,
500.96447,2.199e+1,,
501.32824,6.166e+2,,
501.41861,2.034e+2,,
501.42762,2.013e+3,,
501.61609,4.045e+2,,
502.00263,5.900e+2,,
502.28679,5.710e+2,,
502.48444,3.907e+2,,
502.55696,8.172e+2,,
503.64639,1.130e+3,,
503.83979,8.757e+2,,
503.99574,2.971e+2,,
506.21021,1.408e+2,,
506.40594,1.080e+2,,
506.46526,3.988e+2,,
507.14673,7.141e+1,,
508.38,,,1.853e-4
508.70582,1.390e+2,,
511.34401,1.390e+2,,
514.54602,2.218e+2,,
514.731,,,2.634e-3
514.74777,4.561e+1,,
515.21835,4.410e+1,,
517.37431,3.046e+2,,
518.63252,7.270e+1,,
519.29686,3.844e+2,,
519.4037,9.872e+1,,
520.10815,9.664e+1,,
520.785,6.437e+1,,
521.03843,4.888e+2,,
521.97015,1.951e+1,,
522.26744,1.071e+2,,
522.3623,1.446e+2,,
522.43049,5.755e+2,,
522.45438,2.293e+2,,
522.4934,3.674e+2,,
524.72895,1.009e+2,,
524.749,,,1.780e-4
525.20997,1.414e+1,,
525.58058,1.073e+2,,
525.99729,1.561e+2,,
526.34833,7.907e+1,,
527.812,,,5.765e-3
527.8334,,,1.931e-4
528.23764,6.335e+1,,
535.10672,2.307e+2,,
540.61801,5.789e+1,,
542.23813,5.026e+1,,
543.5816,3.410e+1,,
544.87904,2.978e+1,,
547.4223,5.035e+1,,
549.01477,9.917e+1,,
550.38953,2.953e+2,,
553.301,,,2.123e-4
564.85661,1.700e+2,,
566.21516,3.721e+2,,
567.54108,2.492e+2,,
567.9917,8.278e+1,,
568.94606,1.613e+2,,
570.26566,9.456e+1,,
570.82011,5.479e+1,,
571.18539,7.547e+1,,
571.6445,7.001e+1,,
572.04366,4.723e+1,,
573.9469,9.734e+1,,
573.99778,8.420e+1,,
577.4028,4.102e+2,,
578.59795,5.323e+2,,
580.42601,6.777e+2,,
586.64513,1.842e+2,,
589.92936,9.075e+1,,
591.85363,4.356e+1,,
592.211,4.459e+1,,
594.17517,3.904e+1,,
595.3159,2.636e+2,,
596.58285,2.208e+2,,
597.8541,1.820e+2,,
609.1171,1.452e+2,,
609.86581,1.696e+2,,
612.62161,4.813e+1,,
622.04748,1.868e+2,,
625.81016,3.876e+2,,
625.87069,4.960e+2,,
626.10988,2.952e+2,,
653.64205,2.658e+1,,
655.4223,5.285e+1,,
655.60618,7.232e+1,,
666.8,,,2.005e-3
674.31217,3.530e+1,,
686.1445,6.965e+1,,
701.536,,,2.821e-3
707.263,,,4.233e-3
720.94359,2.671e+2,,
721.61838,6.031e+1,,
724.48545,1.316e+2,,
725.17095,1.479e+2,,
734.46952,8.555e+1,,
735.77268,6.448e+1,,
736.41012,5.624e+1,,
740.813,,,1.087e-4
744.0577,7.579e+1,,
744.171,,,5.059e-5
748.459,,,3.661e-5
749.514,,,5.436e-5
750.687,,,1.838e-4
751.599,,,3.258e-5
754.431,,,1.361e-4
833.854,,,4.907e-5
836.4237,2.900e+1,,
837.7861,3.840e+1,,
838.2531,3.864e+1,,
838.2779,2.930e+1,,
839.42,,,7.933e-5
840.614,,,3.187e-5
841.2357,6.138e+1,,
842.6507,9.540e+1,,
843.4954,2.172e+2,,
843.5653,1.424e+2,,
867.5372,4.207e+1,,
868.2983,2.375e+1,,
869.233,1.197e+1,,
873.4711,9.208e+0,,
891.695,,,9.019e-5
