Ritz wavelength (nm),C I (6.9e-01),C II (3.1e-01),C III (8.0e-08)
588.978,,1.138e-2,
589.16,,6.310e-3,
609.529,,1.770e-4,
609.851,,3.176e-4,
610.256,,3.528e-5,
625.956,,2.626e-4,
657.805,,6.031e-1,
658.288,,3.011e-1,
673.104,,,2.378e-17
673.861,,5.752e-5,
674.439,,,4.396e-17
675.054,,1.144e-4,
677.994,,1.282e-3,
678.059,,5.089e-4,
678.391,,2.425e-3,
678.721,,5.098e-4,
679.147,,6.495e-4,
680.069,,5.457e-4,
703.725,,,1.031e-16
704.625,,6.375e-5,
705.309,,1.273e-4,
706.368,,1.903e-4,
711.248,,1.726e-4,
711.304,,2.769e-4,
711.563,,4.210e-4,
711.976,,6.869e-5,
711.991,,6.103e-4,
712.572,,8.967e-5,
713.41,,6.934e-5,
723.133,,1.035e-1,
723.642,,1.858e-1,
723.717,,2.063e-2,
748.656,,,2.858e-18
748.664,,,7.898e-19
751.949,,2.445e-4,
757.815,,,3.262e-18
759.227,,,4.272e-18
761.275,,,5.544e-18
779.6,,,3.372e-18
802.115,,,1.278e-18
807.664,,4.232e-5,
833.299,,,2.137e-17
833.514471,2.388e+2,,
834.16,,,1.478e-17
834.795,,,1.001e-17
906.143478,3.424e+2,,
906.24724,2.681e+2,,
907.828181,2.003e+2,,
908.85095,2.826e+2,,
909.483,1.070e+3,,
911.180155,3.809e+2,,
923.112,,7.318e-4,
923.682,,1.464e-3,
940.5728,1.173e+3,,
940.914,,,5.547e-19
