Ritz wavelength (nm),Si I (1.1e-01),Si II (8.9e-01),Si III (7.3e-04)
412.8054,,3.565e+2,
413.0872,,2.560e+1,
413.0894,,5.551e+2,
420.0658,,1.395e+0,
420.0898,,1.994e+0,
433.85,,,1.001e-5
435.6851,,,1.366e-9
440.383,,,3.711e-9
440.5352,,,3.366e-9
440.6717,,,7.169e-9
446.8447,,,1.239e-9
448.2874,,,1.184e-9
449.4043,,,3.657e-9
455.2622,,,1.650e-4
455.3997,,,5.891e-9
455.7273,,,6.315e-9
456.784,,,9.909e-5
457.4757,,,3.290e-5
461.9646,,,4.531e-9
462.1418,,2.869e+0,
462.1722,,4.094e+0,
463.8278,,,3.662e-9
466.5862,,,2.695e-9
467.3256,,1.985e+0,
467.3284,,1.385e+0,
468.3022,,,1.301e-8
468.3794,,,3.579e-9
471.6654,,,4.799e-7
473.0521,,,4.319e-9
480.0427,,,2.902e-8
481.3333,,,4.224e-7
481.9712,,,5.482e-7
481.9814,,,3.661e-8
482.895,,,7.111e-7
482.9111,,,3.646e-8
504.1024,,1.529e+2,
505.5984,,4.749e+2,
505.6317,,4.586e+1,
511.376,,,6.835e-9
511.3866,,,8.994e-9
511.4117,,,1.172e-8
518.552,,4.530e+0,
518.5555,,3.156e+0,
519.7236,,,3.986e-9
531.3244,,,8.994e-10
545.1455,,,1.086e-8
545.196,,,4.909e-9
546.2145,,8.512e-1,
546.6461,,7.328e+0,
546.6894,,1.045e+1,
546.9451,,1.529e+0,
547.3042,,,1.952e-8
547.8092,,8.794e-1,
549.0111,,,3.599e-9
553.9926,,,3.447e-9
559.9246,,,2.290e-9
563.297,,3.678e-1,
566.065,,4.932e-1,
566.956,,4.597e+0,
568.144,,4.772e-1,
568.882,,3.241e+0,
569.649,,,2.699e-8
569.74,,,4.147e-10
570.137,,2.147e+0,
570.459,,,3.982e-8
570.64,,1.469e+0,
570.72,,,5.979e-10
571.629,,,5.722e-8
572.461,,,4.119e-10
573.973,,,3.685e-5
589.879,,,2.779e-8
595.756,,8.926e+1,
597.893,,1.801e+2,
616.983,,,3.965e-9
623.961,,1.411e+1,
623.966,,9.847e+0,
631.446,,,3.364e-8
634.711,,1.480e+3,
637.137,,8.680e+2,
647.38,,,7.002e-10
