Ritz wavelength (nm),Nd I (3.8e-03),Nd II (8.9e-01)
531.1453,,4.320e+3
531.9815,,1.281e+4
535.6967,,4.448e+3
537.1927,,7.396e+3
543.1516,,3.337e+3
548.5696,,6.621e+3
553.5322,,1.111e+3
554.8448,,9.508e+2
559.4416,,7.018e+3
562.0594,,7.300e+3
566.8857,,3.658e+3
568.8518,,5.726e+3
570.2238,,1.957e+3
571.8118,,3.024e+3
572.6825,,1.663e+3
574.0858,,2.880e+3
580.4004,,4.393e+3
586.5027,,9.157e+2
605.1868,,5.899e+2
618.3897,,1.161e+3
