Ritz wavelength (nm),O I (9.7e-01),O II (3.3e-02),O III (2.3e-12)
339.422,,,3.105e-26
339.5428,,,4.438e-27
340.5718,,,2.590e-23
340.7223,,3.523e-9,
340.7276,,4.945e-8,
340.8131,,,2.570e-23
340.9706,,3.158e-8,
340.976,,3.510e-9,
341.5262,,,1.932e-23
342.3364,,,1.031e-25
342.7364,,,2.293e-25
342.8626,,,3.221e-23
343.0568,,,3.180e-23
343.5123,,,7.663e-26
344.0363,,,4.200e-25
344.4052,,,9.550e-23
344.6682,,,6.883e-26
344.7155,,,3.457e-26
344.7924,,,7.535e-26
344.7968,,,1.172e-25
345.0907,,,1.807e-25
345.1305,,,3.444e-26
345.4835,,,4.884e-26
345.4986,,,2.608e-25
345.7933,,3.411e-9,
345.8923,,2.445e-9,
345.948,,,4.872e-27
345.9935,,,5.064e-26
346.6128,,,3.564e-26
346.685,,,4.834e-27
347.0277,,1.848e-7,
347.0672,,2.859e-7,
352.0945,,,4.724e-26
353.1223,,,4.662e-26
353.3385,,,3.496e-26
353.4904,,,5.835e-26
355.5241,,,5.732e-26
355.6779,,,1.714e-25
362.741,,3.816e-10,
369.5162,,,4.118e-26
369.5375,,,1.028e-24
369.8718,,,2.700e-24
370.2743,,,9.793e-23
370.3355,,,5.112e-24
370.4749,,,1.323e-24
370.7272,,,2.185e-22
370.9543,,,5.866e-25
371.2493,,,1.689e-24
371.2744,,3.064e-6,
371.4028,,,7.295e-23
371.5086,,,4.018e-22
372.089,,,1.325e-24
372.1954,,,4.341e-25
372.5313,,,7.174e-23
372.7319,,6.285e-6,
372.8506,,,5.435e-26
372.8838,,,7.730e-26
372.9221,,7.886e-9,
372.9802,,,3.718e-26
373.483,,,1.896e-25
373.5786,,1.416e-8,
373.9761,,1.805e-7,
374.164,,4.672e-9,
374.2632,,,6.826e-27
374.6899,,,6.699e-27
374.9484,,9.995e-6,
375.4696,,,1.388e-20
375.7232,,,6.252e-21
375.9875,,,2.458e-20
376.1403,,3.473e-9,
376.2465,,1.281e-7,
377.4026,,,4.397e-21
377.742,,4.711e-8,
378.498,,4.065e-10,
379.1275,,,4.128e-21
379.4359,,2.273e-8,
380.2984,,1.130e-7,
381.6751,,,8.696e-24
382.1532,,4.560e-8,
383.0281,,2.255e-8,
384.28138,,7.059e-8,
384.35832,,4.595e-8,
384.7893,,8.153e-8,
385.07987,,4.427e-8,
385.10332,,1.320e-7,
385.14735,,4.600e-8,
385.5014,9.746e-2,,
385.61342,,1.068e-7,
385.71642,,8.529e-8,
386.34969,,1.039e-7,
386.44309,,2.682e-7,
386.46671,,1.658e-7,
387.57997,,4.375e-8,
388.21937,,8.847e-7,
388.24457,,7.967e-8,
388.31368,,1.393e-7,
390.3044,,,1.728e-26
390.74549,,1.165e-7,
391.1958,,9.724e-7,
391.2117,,1.258e-7,
391.9272,,5.473e-7,
393.1351,,,1.748e-26
393.4823,,,9.428e-26
394.4854,,,2.329e-26
394.50376,,1.733e-6,
394.8012,,,5.186e-26
395.43617,,3.722e-6,
396.1573,,,2.966e-22
396.2963,,4.699e-9,
397.3256,,8.795e-6,
398.27141,,1.807e-6,
399.7953,9.699e-2,,
406.9623,,1.476e-6,
406.98819,,2.292e-6,
407.21525,,3.660e-6,
407.2643,,,1.710e-25
407.3984,,,3.796e-25
407.58617,,4.997e-6,
407.88424,,5.414e-7,
408.102,,,6.932e-25
408.46474,,1.231e-7,
408.51124,,6.674e-7,
408.9295,,,1.263e-25
409.29287,,5.010e-7,
409.6526,,2.239e-7,
409.72249,,3.291e-7,
410.29994,,2.319e-7,
410.3066,,,1.237e-25
410.47235,,4.284e-7,
410.49899,,8.292e-7,
411.0192,,1.780e-8,
411.07863,,3.510e-7,
411.20186,,2.343e-7,
411.3834,,2.532e-8,
411.92165,,2.411e-6,
412.02783,,2.930e-7,
412.05468,,2.561e-7,
412.14626,,2.475e-7,
412.1591,,,1.643e-26
412.93198,,7.291e-8,
413.28004,,7.486e-7,
415.32977,,9.820e-7,
415.65302,,1.729e-7,
416.92236,,3.359e-7,
417.1768,,,9.864e-27
418.544,,2.826e-7,
418.9581,,1.044e-8,
418.9788,,3.662e-7,
419.2512,,2.051e-8,
419.6697,,1.137e-8,
427.7695,,5.115e-9,
427.9165,,2.859e-9,
431.7139,,6.544e-6,
431.963,,6.540e-6,
431.9866,,1.431e-8,
432.5761,,1.270e-6,
432.746,,7.103e-8,
432.7849,,5.073e-9,
432.8591,,2.851e-8,
433.1466,,5.065e-9,
433.1857,,4.554e-8,
433.6859,,2.721e-6,
434.556,,7.109e-6,
434.7217,,1.458e-7,
434.7413,,1.142e-6,
434.9426,,1.780e-5,
435.126,,1.822e-6,
435.1457,,1.072e-7,
435.6794,,,1.715e-24
436.6895,,6.970e-6,
436.9272,,2.524e-7,
437.5876,,,9.283e-25
439.5935,,4.120e-7,
441.4899,,1.497e-5,
441.6975,,8.637e-6,
444.0093,,,1.141e-26
444.301,,6.653e-8,
444.7694,,,1.902e-26
444.8191,,8.961e-8,
445.2378,,1.653e-6,
446.1607,,,2.661e-26
446.6235,,6.348e-8,
446.7465,,3.176e-8,
449.337,,,4.889e-27
450.664,,,3.400e-27
451.3827,,,2.316e-27
452.4222,,,2.292e-27
453.2785,,,2.867e-27
453.5285,,,1.720e-27
453.8851,,,2.294e-27
455.5387,,,8.615e-27
455.773,,1.771e-9,
455.7913,,,2.861e-27
455.894,,9.870e-10,
456.926,,,6.740e-26
458.7721,,,2.117e-26
459.0974,,2.523e-6,
459.5957,,1.044e-7,
459.6177,,1.788e-6,
461.0608,,,6.266e-26
463.0773,,,1.713e-26
463.88558,,7.834e-6,
464.18103,,1.883e-5,
464.91347,,3.313e-5,
464.9973,,,1.270e-26
465.08384,,7.320e-6,
466.16324,,8.767e-6,
466.8875,,,1.688e-26
467.3487,,,2.079e-26
467.37331,,1.355e-6,
467.6235,,6.597e-6,
469.0888,,1.188e-8,
469.1419,,2.374e-8,
469.8437,,8.682e-9,
