Ritz wavelength (nm),Fe I (4.4e-02),Fe II (9.5e-01),Fe III (2.2e-03)
237.465314,,6.399e+1,
237.487396,,5.678e+1,
237.499572,,1.613e+1,
237.507038,,1.177e+1,
237.51381,,5.564e+1,
237.519365,,8.994e+3,
237.54741,,1.209e+1,
237.610629,,2.844e+1,
237.642916,,3.336e+3,
237.675775,,2.172e+1,
237.727104,,2.774e+0,
237.746169,,1.950e+1,
237.812606,,3.061e+1,
237.852274,,3.190e+2,
237.853897,,4.545e+0,
237.855337,,4.921e+1,
237.86969,,4.095e+1,
237.882028,,3.017e+1,
237.896889,,3.163e+1,
237.900235,,4.429e+2,
237.914193,,1.957e+2,
237.916973,,1.456e+2,
237.920461,,6.620e+0,
237.927624,,1.101e+4,
237.930926,,2.158e+2,
237.935865,,1.585e+1,
237.942084,,5.024e+1,
237.942214,,2.126e+1,
237.950591,,2.050e+1,
237.969114,,9.523e+0,
237.979981,,1.086e+1,
238.015152,,6.259e+0,
238.020491,,1.160e+2,
238.050403,,1.516e+1,
238.067277,,6.464e+1,
238.076128,,1.561e+4,
238.087506,,3.357e+1,
238.090489,,8.168e+0,
238.19581,,1.574e+2,
238.203729,,2.575e+5,
238.216421,,2.418e+1,
238.242361,,5.484e+0,
238.249227,,5.237e+1,
238.257245,,8.305e+0,
238.264821,,4.088e+0,
238.289693,,1.236e+3,
238.306018,,3.695e+3,
238.311729,,1.467e+1,
238.314405,,6.140e+0,
238.319814,,3.317e+1,
238.324494,,1.041e+4,
238.353841,,2.864e+0,
238.431593,,7.451e+0,
238.438765,,5.993e+3,
238.44228,,1.756e+2,
238.451915,,3.949e+1,
238.46427,,5.432e+0,
238.485855,,1.095e+1,
238.509385,,1.568e+1,
238.560784,,4.440e+0,
238.586538,,5.426e+0,
238.600325,,9.370e+0,
238.6374,,3.879e+2,
238.646357,,8.941e+0,
238.708383,,1.051e+1,
238.736719,,4.474e+2,
238.743475,,3.462e+2,
238.764205,,3.853e+1,
238.822624,,6.617e+2,
238.824699,,1.242e+1,
238.834205,,7.532e+0,
238.838783,,1.277e+3,
238.862859,,5.570e+4,
238.862883,,5.428e+0,
238.898807,,2.763e+1,
238.943869,,3.502e+1,
238.953,,,1.748e-3
239.009679,,2.716e+2,
239.075748,,1.902e+2,
239.077207,,9.156e+0,
239.167917,,6.109e+0,
239.172008,,4.861e+0,
239.195845,,9.090e+0,
239.208896,,5.241e+1,
239.212267,,7.637e+0,
239.214906,,1.154e+1,
239.257923,,3.430e+1,
239.334209,,1.119e+1,
239.402705,,6.279e+0,
239.483283,,2.801e+1,
239.488912,,5.096e+2,
239.541911,,6.939e+3,
239.549425,,2.293e+1,
239.554557,,1.795e+1,
239.562498,,1.744e+5,
239.610101,,6.095e+1,
239.671917,,7.274e+2,
239.701728,,9.668e+0,
239.726665,,2.155e+1,
239.864913,,5.575e+2,
239.908157,,7.093e+0,
239.915115,,2.284e+2,
239.924104,,5.464e+4,
239.92665,,1.614e+2,
239.942927,,4.770e+0,
239.95065,,1.308e+2,
239.979552,,1.725e+1,
240.004984,,1.940e+2,
240.027817,,4.825e+2,
240.034394,,2.202e+3,
240.129154,,4.191e+2,
240.170423,,3.587e+0,
240.189466,,4.381e+0,
240.208144,,4.090e+2,
240.22719,,1.560e+2,
240.239312,,5.588e+0,
240.244612,,2.244e+2,
240.263254,,2.371e+2,
240.270985,,2.382e+1,
240.376283,,3.744e+1,
240.39439,,4.459e+0,
240.397055,,2.392e+1,
240.406103,,1.205e+1,
240.443046,,8.329e+3,
240.48854,,1.040e+5,
240.499369,,5.410e+2,
240.502227,,7.001e+0,
240.568265,,3.430e+2,
240.583154,,3.519e+1,
240.666098,,4.184e+4,
240.675456,,4.712e+0,
240.697536,,1.032e+2,
240.699257,,8.875e+2,
240.740896,,5.261e+0,
240.775189,,7.965e+1,
240.864815,,3.100e+2,
240.877437,,6.503e+1,
240.929612,,4.067e+0,
240.953516,,4.806e+1,
240.985883,,9.698e+1,
241.02123,,8.038e+1,
241.026938,,2.371e+2,
241.051889,,6.093e+4,
241.054375,,1.403e+1,
241.098328,,1.551e+1,
241.106724,,3.065e+4,
241.16775,,3.685e+1,
241.180768,,1.359e+2,
241.200755,,4.562e+1,
241.225996,,1.304e+1,
241.243758,,1.563e+2,
241.331009,,2.651e+4,
241.349561,,9.620e+1,
241.367167,,2.399e+1,
241.399319,,1.757e+2,
241.4218,,2.693e+1,
241.506788,,5.336e+2,
241.536129,,8.671e+1,
241.608017,,4.454e+1,
241.64452,,6.839e+2,
241.671562,,1.466e+2,
241.782031,,3.791e+2,
241.787036,,3.291e+3,
241.810057,,3.844e+0,
241.822149,,2.652e+0,
241.843655,,5.055e+2,
241.866488,,4.484e+1,
241.900365,,1.767e+1,
241.993137,,5.012e+0,
241.998818,,2.633e+2,
242.10402,,5.703e+0,
242.181733,,4.072e+0,
242.194507,,9.997e+0,
242.268795,,1.784e+3,
242.278537,,8.357e+0,
242.321014,,1.288e+3,
242.349922,,3.225e+1,
242.414529,,1.202e+4,
242.42042,,7.779e+0,
242.43896,,7.308e+2,
242.459274,,1.141e+3,
242.477695,,4.796e+0,
242.536333,,3.094e+2,
242.563758,,6.768e+1,
242.568541,,5.908e+2,
242.60774,,4.072e+1,
242.61934,,1.137e+1,
242.705457,,9.917e+1,
242.719984,,6.557e+1,
242.72296,,1.659e+1,
242.728356,,1.419e+2,
242.82918,,9.774e+2,
242.836353,,4.093e+3,
242.845699,,4.918e+0,
242.855416,,8.849e+0,
242.879983,,8.564e+2,
242.89684,,8.690e+1,
242.903576,,7.633e+2,
242.915384,,4.019e+2,
242.938632,,1.401e+3,
242.98481,,6.363e+1,
242.986156,,1.207e+1,
243.007804,,8.581e+3,
243.08385,,2.067e+1,
243.088058,,1.440e+2,
243.099808,,7.035e+1,
243.12447,,5.372e+1,
243.182835,,2.022e+1,
243.203199,,6.025e+0,
243.22609,,5.579e+3,
243.236434,,8.686e+0,
243.270008,,1.245e+2,
243.279121,,1.301e+2,
243.287285,,5.195e+3,
243.304112,,8.834e+1,
243.343525,,1.187e+2,
243.349859,,8.220e+2,
243.358123,,1.781e+2,
243.405875,,1.760e+2,
243.405937,,1.031e+1,
243.423727,,7.776e+2,
243.46206,,4.685e+0,
243.46493,,8.163e+2,
243.4729,,4.342e+3,
243.481658,,5.758e+1,
243.490205,,1.998e+2,
243.495157,,3.683e+3,
243.499822,,6.262e+2,
243.621988,,2.763e+2,
243.662163,,7.815e+2,
243.69969,,2.198e+2,
243.6999,,1.181e+2,
243.710385,,5.118e+1,
243.716238,,3.139e+2,
243.720356,,3.942e+2,
243.73337,,4.991e+1,
243.765196,,2.080e+2,
243.818221,9.347e+1,,
243.9055,,8.592e+0,
243.930113,,1.043e+4,
243.974488,1.410e+3,,
243.986829,,9.290e+1,
244.0424,,1.496e+3,
244.04432,,1.598e+1,
244.058596,,2.194e+1,
244.112927,,2.890e+2,
244.164606,,7.440e+0,
244.213245,,9.880e+0,
244.237572,,8.308e+1,
244.256819,1.052e+3,,
244.306241,,5.660e+0,
244.370981,,3.512e+1,
244.383347,,6.845e+1,
244.387166,9.604e+1,,
244.427989,,1.632e+2,
244.45151,,1.316e+4,
244.454777,,3.462e+1,
244.489664,,9.231e+0,
244.510594,,1.050e+3,
244.511349,,5.420e+0,
244.557287,,6.522e+3,
244.579546,,1.186e+3,
244.594523,,3.709e+0,
244.611029,,1.344e+3,
244.632143,,3.455e+0,
244.640777,,4.244e+2,
244.647114,,2.317e+3,
244.720395,,1.109e+3,
244.732687,,8.385e+2,
244.775478,,2.625e+3,
244.81147,,4.994e+1,
244.970743,,6.129e+0,
244.996514,,8.042e+2,
245.003184,,3.548e+2,
245.013838,,7.658e+1,
245.02052,,8.172e+2,
245.028292,,1.513e+2,
245.121675,,3.886e+2,
245.213902,,6.075e+0,
245.219978,,7.147e+1,
245.315467,,3.310e+2,
245.347592,1.892e+2,,
245.356823,5.012e+1,,
245.37472,,9.338e+1,
245.379717,,7.035e+2,
245.391547,,6.725e+1,
245.397559,,4.230e+2,
245.457647,,1.889e+3,
245.458409,,4.488e+2,
245.569105,,9.165e+0,
245.571053,,2.520e+2,
245.589794,,3.728e+2,
245.6642,,2.443e+2,
245.682095,,3.333e+2,
245.696569,,2.098e+1,
245.710169,,2.989e+1,
245.73395,,2.596e+1,
245.758018,,2.770e+2,
245.75968,8.068e+2,,
245.835894,,4.701e+0,
245.878349,,9.118e+3,
245.897303,,1.647e+3,
245.928063,,3.912e+1,
246.015419,,1.221e+2,
246.044008,,2.173e+3,
246.06504,,1.843e+2,
246.128326,,6.000e+3,
246.166967,,3.957e+2,
246.186075,,7.869e+3,
246.218086,1.898e+2,,
246.231822,,1.658e+2,
246.264707,1.915e+3,,
246.3281,,2.470e+3,
246.373043,1.147e+2,,
246.390275,,1.562e+2,
246.400948,,3.511e+3,
246.455817,,3.559e+1,
246.490512,,2.867e+3,
246.514911,5.735e+2,,
246.519992,,2.721e+3,
246.587725,,1.328e+1,
246.591339,,3.174e+3,
246.649743,,2.144e+2,
246.667095,,2.452e+3,
246.676682,,8.537e+2,
246.6819,,3.377e+3,
246.698489,,4.548e+0,
246.774117,,1.251e+2,
246.829792,,5.662e+2,
246.887968,4.119e+2,,
246.951448,,2.574e+3,
246.971512,,8.990e+1,
246.983146,,2.774e+2,
247.040882,,1.176e+3,
247.06691,,4.514e+3,
247.076496,,6.080e+2,
247.087894,,2.906e+1,
247.127562,,1.140e+2,
247.233614,1.431e+2,,
247.235118,1.473e+2,,
247.242804,,1.526e+3,
247.260515,,1.040e+3,
247.26506,,3.521e+0,
247.287203,2.144e+2,,
247.289473,3.210e+3,,
247.303024,,2.175e+2,
247.332105,,2.787e+3,
247.346048,,2.236e+1,
247.405349,,2.649e+1,
247.420916,,5.964e+0,
247.448899,,2.032e+1,
247.45195,,1.601e+1,
247.47651,,2.580e+3,
247.481423,6.137e+2,,
247.511681,,6.778e+2,
247.511798,,3.557e+0,
247.554128,,7.935e+2,
247.626389,,5.662e+2,
247.665658,1.272e+2,,
247.734336,,7.717e+2,
247.790658,,7.114e+0,
247.811309,,3.689e+2,
247.857199,,2.667e+3,
247.92301,,1.067e+2,
247.948014,1.468e+2,,
247.977624,3.002e+3,,
248.015733,,6.309e+3,
248.095101,,1.314e+1,
248.104922,,5.921e+2,
248.157764,,2.132e+2,
248.211711,,5.520e+3,
248.23258,,6.607e+2,
248.265731,,4.522e+3,
248.26755,,1.052e+2,
248.286663,,2.220e+2,
248.327095,2.002e+4,,
248.337126,,1.676e+1,
248.353328,1.473e+2,,
248.365792,,1.013e+1,
248.372344,,7.196e+2,
248.418719,2.307e+3,,
248.424497,,2.734e+3,
248.4442,,5.936e+2,
248.471062,,5.899e+0,
248.48093,,1.085e+1,
248.635096,,5.356e+3,
248.669182,1.938e+2,,
248.706582,2.670e+2,,
248.814253,1.375e+4,,
248.831985,,1.015e+2,
248.8353,,1.394e+2,
248.948035,,1.449e+1,
248.948409,,3.685e+3,
248.975218,2.359e+3,,
248.982965,,8.544e+3,
249.06441,8.494e+3,,
249.071263,,2.345e+3,
249.085808,,3.582e+3,
249.11548,5.021e+3,,
249.123456,,1.300e+2,
249.13962,,2.839e+3,
249.198902,8.734e+1,,
249.234387,,9.078e+2,
249.289088,,1.224e+1,
249.318437,,1.715e+4,
249.322334,,1.470e+3,
249.32634,,3.017e+4,
249.375146,,1.532e+1,
249.387657,,3.505e+2,
249.586831,,5.588e+2,
249.633702,,1.265e+1,
249.639587,,3.078e+0,
249.653365,3.690e+2,,
249.771363,,2.660e+2,
249.781897,,3.478e+3,
249.808182,,1.825e+1,
249.889733,,1.532e+4,
249.896771,,1.550e+2,
250.092331,,1.491e+3,
250.113174,1.857e+3,,
250.135063,,9.701e+1,
250.20438,,4.674e+0,
250.239274,,4.019e+3,
250.321989,,4.498e+0,
250.332617,,3.302e+3,
250.340827,,4.786e+0,
250.353874,,9.123e+1,
250.356459,,1.537e+3,
250.363023,,8.006e+0,
250.387412,,4.550e+3,
250.489035,,3.349e+1,
250.50081,8.628e+1,,
250.609331,,3.581e+3,
250.643244,,1.945e+1,
250.657165,5.482e+1,,
250.67205,,1.164e+1,
250.679662,,3.490e+2,
250.759415,,1.870e+2,
250.766356,,1.205e+1,
250.768625,,1.902e+2,
250.790017,2.654e+2,,
250.834106,,6.718e+1,
250.912102,,6.609e+2,
250.91468,,5.779e+1,
250.948283,,1.580e+1,
250.970208,,4.455e+0,
250.986308,,1.276e+2,
251.01212,,5.237e+1,
251.038472,,1.482e+1,
251.056441,,4.457e+1,
251.083468,2.454e+3,,
251.138032,,1.368e+1,
251.16254,,4.652e+0,
251.176016,,1.398e+4,
251.192456,,9.705e+1,
251.237405,,6.647e+1,
251.252189,,7.703e+2,
251.315055,,1.528e+2,
251.438291,,3.356e+3,
251.490645,,2.945e+2,
251.49331,,4.096e+2,
251.5119,,3.070e+2,
251.590571,,1.471e+1,
251.713289,,2.028e+3,
251.766112,1.668e+2,,
251.797059,,6.053e+1,
251.810145,2.156e+3,,
251.853444,,8.031e+0,
251.904689,,3.877e+3,
251.960309,,2.529e+2,
251.96293,9.935e+1,,
252.026243,,1.150e+2,
252.067325,,2.574e+2,
252.109144,,2.439e+3,
252.121656,,2.438e+2,
252.14858,,2.040e+2,
252.181518,,2.713e+3,
252.284917,7.862e+3,,
252.289172,,3.080e+3,
252.344133,,1.697e+2,
252.429228,1.190e+3,,
252.475367,,7.433e+0,
252.510959,,6.797e+2,
252.532873,,6.390e+0,
252.538757,,1.767e+4,
252.547719,,4.191e+1,
252.563046,,6.709e+0,
252.586365,,2.925e+2,
252.591858,,4.523e+2,
252.607455,,1.778e+3,
252.629366,,1.033e+4,
252.661584,,1.548e+1,
252.710424,,2.399e+3,
252.715584,,4.071e+2,
252.726548,1.681e+2,,
252.743442,5.310e+3,,
252.745377,,1.072e+3,
252.770478,,1.063e+3,
252.907696,,8.774e+2,
252.91348,1.885e+3,,
252.922804,,1.194e+3,
252.93077,1.041e+3,,
252.954427,,1.234e+4,
252.955857,,5.021e+3,
252.983523,4.279e+2,,
252.993112,,2.335e+2,
253.01016,,2.919e+2,
253.010972,,1.891e+3,
253.041772,,1.384e+1,
253.187091,,3.421e+1,
253.314095,8.365e+1,,
253.362706,,1.513e+4,
253.441838,,9.298e+3,
253.450337,,2.919e+1,
253.4889,,9.527e+0,
253.53623,,3.576e+2,
253.548534,,3.405e+3,
253.560682,1.071e+3,,
253.667235,,2.510e+3,
253.680465,,1.096e+4,
253.684491,,6.290e+3,
253.713767,,1.153e+3,
253.717435,2.114e+3,,
253.82042,,2.423e+3,
253.850014,,2.266e+3,
253.867874,,4.523e+2,
253.873744,,1.302e+1,
253.879846,,9.351e+3,
253.890915,,6.667e+3,
253.899319,,1.571e+4,
253.932752,,4.813e+1,
254.05227,,2.440e+2,
254.066413,,1.441e+3,
254.067633,,1.066e+3,
254.097186,1.824e+3,,
254.110078,,3.234e+3,
254.183547,,3.170e+3,
254.210125,2.172e+3,,
254.273584,,1.081e+3,
254.307999,,2.464e+1,
254.33777,,5.279e+3,
254.343122,,1.776e+3,
254.392235,1.899e+3,,
254.497256,,1.498e+3,
254.521963,,3.437e+3,
254.544154,,4.858e+2,
254.574159,,5.087e+0,
254.597818,1.970e+3,,
254.644158,,7.998e+1,
254.666986,,3.631e+3,
254.679801,,5.430e+0,
254.733812,,1.198e+3,
254.832493,,1.044e+3,
254.858901,,1.791e+3,
254.874394,,3.095e+3,
254.892251,,9.775e+2,
254.89734,,1.007e+1,
254.908306,,3.368e+3,
254.939444,,3.663e+3,
254.946137,,3.773e+3,
254.961299,8.527e+2,,
254.965741,,6.530e+1,
254.977423,,4.506e+2,
255.002711,,6.405e+3,
255.01512,,3.122e+2,
255.068285,,4.840e+3,
255.120403,,3.054e+2,
255.12227,,1.632e+2,
255.506719,,8.897e+2,
255.545293,,8.421e+2,
255.667835,,4.991e+0,
255.750566,,7.102e+2,
255.88229,,6.811e+0,
255.97713,,7.469e+2,
255.99251,,6.410e+2,
256.028212,,2.850e+3,
256.209161,,1.293e+3,
256.253533,,3.962e+4,
256.347523,,2.114e+4,
256.384328,,2.712e+2,
256.621961,,9.917e+2,
256.640131,,5.223e+2,
256.650852,,1.307e+1,
256.662423,,5.130e+2,
256.677001,,1.736e+1,
256.691229,,7.479e+3,
256.763085,,1.558e+1,
256.836213,,4.796e+0,
256.840969,,1.193e+3,
256.977955,,4.406e+2,
257.084892,,2.446e+3,
257.087905,,1.395e+2,
257.117236,,1.882e+1,
257.145591,,8.730e+0,
257.208837,,1.609e+1,
257.296762,,3.539e+2,
257.321155,,5.637e+2,
257.436589,,7.337e+3,
257.669004,2.393e+2,,
257.686368,,2.539e+3,
257.792172,,8.159e+3,
257.821023,,2.333e+1,
257.898494,,6.520e+0,
257.911596,,3.803e+2,
258.177834,,5.365e+0,
258.241342,,3.499e+2,
258.258299,,1.232e+4,
258.453576,7.999e+2,,
258.561956,,5.050e+2,
258.587553,,7.389e+4,
258.794912,,2.753e+3,
259.154254,,1.262e+4,
259.278409,,7.787e+3,
259.372753,,2.282e+3,
259.464589,,2.830e+1,
259.496508,,1.591e+2,
259.744843,,4.060e+0,
259.836884,,8.649e+4,
259.939511,,2.489e+5,
259.947113,,6.831e+2,
259.956642,2.513e+2,,
260.15442,,8.036e+0,
260.405528,,4.891e+1,
260.503757,,7.630e+2,
260.531023,,9.669e+2,
260.542486,,8.639e+2,
260.590437,,2.440e+2,
260.65159,,1.661e+3,
260.682632,5.146e+2,,
260.708691,,6.843e+4,
260.752868,,1.907e+2,
260.903727,,5.215e+0,
260.912546,,5.713e+2,
260.92201,9.849e+1,,
260.986565,,4.481e+2,
261.107256,,1.616e+3,
261.187335,,9.919e+4,
261.382399,,4.143e+4,
261.761702,,2.952e+4,
261.801804,1.975e+2,,
261.907388,,1.658e+3,
261.984801,,4.872e+0,
262.017152,,4.225e+2,
262.02417,,4.321e+1,
262.069493,,1.771e+3,
262.166876,,1.094e+4,
262.312997,,2.365e+2,
262.35336,3.642e+2,,
262.370072,,5.433e+1,
262.372504,,7.344e+2,
262.411334,,8.454e+0,
262.548906,,6.702e+3,
262.566683,,3.729e+4,
262.650042,,1.344e+3,
262.829292,,3.457e+4,
262.958832,,3.750e+3,
263.007114,,1.971e+3,
263.100965,,4.444e+3,
263.104672,,4.935e+4,
263.132285,,5.199e+4,
263.160823,,5.372e+3,
263.223736,1.131e+2,,
263.320301,,4.802e+2,
263.580897,2.778e+2,,
263.749723,,1.249e+2,
263.764349,,1.063e+3,
263.956401,,6.463e+2,
264.164161,,3.742e+1,
264.201213,,3.057e+2,
264.399839,2.187e+2,,
264.462737,,6.036e+0,
264.51969,,3.970e+1,
264.53338,,6.184e+1,
264.609677,,3.358e+0,
264.869,,5.205e+1,
264.946951,,2.039e+2,
265.04811,,4.397e+2,
265.168989,,1.039e+2,
265.355724,,1.746e+1,
265.36665,,1.830e+1,
265.462848,,1.064e+2,
265.569241,,3.070e+1,
265.614508,1.159e+2,,
265.71701,,1.796e+1,
265.825182,,3.742e+2,
266.023646,,1.573e+1,
266.177066,,2.495e+1,
266.255676,,8.407e+1,
266.326009,,1.540e+1,
266.425916,,1.302e+2,
266.466349,,7.691e+3,
266.554047,,7.809e+1,
266.663566,,5.820e+3,
266.668252,,3.243e+1,
266.675074,,4.499e+1,
266.681221,1.816e+2,,
266.696468,6.877e+1,,
266.721807,,2.054e+2,
266.761673,,1.130e+1,
266.890955,,3.050e+1,
266.90081,,5.177e+1,
266.949283,8.216e+1,,
266.99362,,5.674e+1,
267.139185,,8.538e+1,
267.192216,,4.773e+1,
267.213914,,4.472e+1,
267.24804,,7.016e+1,
267.254784,,3.768e+0,
267.512275,,4.674e+0,
267.544107,,8.555e+0,
267.687824,,4.645e+1,
267.782873,,5.314e+0,
267.90221,5.683e+1,,
267.906153,3.817e+2,,
267.916313,,4.519e+0,
267.960853,,8.379e+0,
267.977626,,1.068e+1,
268.070249,,8.445e+1,
268.082392,,1.020e+1,
268.102214,,7.753e+0,
268.10437,,6.118e+1,
268.123147,,6.364e+0,
268.251002,,1.249e+2,
268.29965,,1.162e+2,
268.370909,,1.030e+1,
268.475331,,4.268e+3,
268.621706,,3.278e+1,
268.64866,,3.281e+1,
268.695042,,9.657e+0,
268.818954,,1.225e+1,
268.921246,2.619e+2,,
269.251758,,1.631e+1,
269.260157,,4.850e+3,
269.300509,,5.451e+0,
269.404699,,2.004e+1,
269.418379,,1.462e+1,
269.424907,,5.213e+1,
269.506115,,1.958e+1,
269.5143,,,7.262e-5
269.5305,,,4.839e-5
269.612305,,9.878e+0,
269.659208,,1.534e+1,
269.6898,,,2.917e-5
269.732995,,1.429e+2,
269.7332,,,1.203e-5
269.746068,,4.716e+2,
269.779766,,6.290e+1,
269.828519,,3.013e+0,
269.8419,,,1.750e-5
269.92033,,6.766e+1,
270.0047,,,1.498e-5
270.035603,,2.262e+1,
270.1124,,,1.741e-5
270.154206,,5.287e+1,
270.190919,3.230e+1,,
270.398885,,4.757e+3,
270.4427,,,5.419e-6
270.475601,,7.058e+0,
270.5124,,,1.375e-5
270.601226,1.532e+2,,
270.6206,,,3.626e-6
270.658205,2.954e+2,,
270.681914,,8.732e+0,
270.691406,,1.503e+1,
270.71328,,7.234e+2,
270.841702,,1.247e+1,
270.857054,2.596e+2,,
270.905556,,1.229e+3,
270.925,,,8.321e-6
270.969122,,1.486e+1,
270.995,,,4.034e-6
271.003685,,2.867e+1,
271.165486,1.270e+2,,
271.184122,,3.398e+3,
271.229613,,7.298e+1,
271.239033,,8.157e+2,
271.36394,,1.285e+1,
271.441263,,1.654e+4,
271.568453,,2.609e+1,
271.62171,,2.922e+3,
271.787366,,1.371e+2,
271.792879,,1.950e+1,
271.843604,2.467e+2,,
271.8641,,2.455e+2,
271.900257,,8.312e+1,
271.90272,5.811e+3,,
271.906026,2.276e+2,,
271.919672,,1.128e+1,
271.930183,,5.138e+2,
271.941996,1.808e+2,,
272.077785,,1.583e+1,
272.090204,2.896e+3,,
272.206232,,5.046e+2,
272.27403,,1.706e+2,
272.341711,,1.754e+1,
272.357709,9.215e+2,,
272.488383,,2.685e+3,
272.605496,1.188e+2,,
272.62654,,8.069e+0,
272.681931,,1.327e+1,
272.738311,,1.755e+3,
272.753883,,1.757e+4,
272.771546,,5.623e+0,
272.881978,1.371e+2,,
272.890525,,5.616e+2,
272.932887,,3.091e+1,
273.069936,,7.848e+0,
273.073388,,5.068e+3,
273.124332,,2.633e+1,
273.29409,,1.512e+2,
273.350755,,1.613e+1,
273.35802,1.621e+3,,
273.445679,,1.021e+1,
273.48111,,5.731e+1,
273.508853,,1.262e+1,
273.541866,,3.879e+0,
273.547518,8.477e+2,,
273.69659,,1.120e+4,
273.730891,1.174e+3,,
273.763973,6.832e+1,,
273.891171,,5.928e+0,
273.892785,,3.062e+1,
273.90448,,3.513e+0,
273.94188,,3.655e+0,
273.954713,,8.914e+4,
274.087931,,6.497e+0,
274.139391,,5.299e+2,
274.168546,,4.850e+0,
274.225398,3.974e+2,,
274.240512,1.309e+3,,
274.247238,,6.907e+0,
274.265936,,3.840e+1,
274.27247,,4.077e+0,
274.284756,,1.776e+1,
274.319665,,3.579e+4,
274.322148,,1.276e+2,
274.406714,5.004e+2,,
274.452716,1.720e+2,,
274.46507,,5.061e+0,
274.528094,,2.267e+1,
274.536539,,2.816e+0,
274.612515,,1.559e+2,
274.63582,,1.048e+2,
274.648342,,5.733e+4,
274.651725,,1.710e+2,
274.69816,,4.903e+4,
274.712147,,3.078e+2,
274.742405,,1.306e+1,
274.805689,,3.025e+1,
274.91807,,2.266e+4,
274.932122,,8.387e+4,
274.935226,,4.675e+1,
274.943415,,8.698e+0,
274.948575,,1.065e+4,
275.014032,1.121e+3,,
275.112505,,6.533e+2,
275.214909,,2.215e+2,
275.30311,,6.118e+1,
275.328741,,1.195e+4,
275.488844,,5.352e+2,
275.573622,,1.113e+5,
275.632792,3.927e+2,,
275.702981,,3.677e+2,
275.731536,1.937e+2,,
275.87489,,4.215e+0,
275.947913,,1.272e+1,
276.118243,,3.020e+1,
276.144902,,3.530e+0,
276.177959,2.261e+2,,
276.181279,,2.584e+3,
276.202644,2.966e+2,,
276.233253,,2.654e+2,
276.365565,,6.003e+1,
276.512791,,2.031e+1,
276.522092,,5.111e+0,
276.59919,,3.513e+0,
276.63732,,4.218e+0,
276.750231,,1.220e+4,
276.751188,,8.985e+2,
276.752184,3.379e+2,,
276.878594,,9.238e+0,
276.915233,,3.737e+2,
276.9298,1.343e+2,,
276.933321,,1.268e+2,
276.935579,,1.758e+3,
276.980888,,5.554e+0,
276.983366,,2.861e+1,
277.22988,,9.431e+0,
277.36603,,6.045e+0,
277.468583,,5.483e+2,
277.690787,,2.506e+2,
277.822004,2.726e+2,,
277.829247,,2.386e+1,
277.929919,,4.397e+3,
277.99052,,1.486e+2,
278.069735,4.058e+1,,
278.369059,,6.002e+3,
278.482256,,5.623e+0,
278.519187,,1.225e+3,
278.724066,,7.962e+1,
278.810461,2.134e+3,,
278.980132,9.439e+1,,
279.004449,,1.871e+1,
279.33679,,4.558e+0,
279.378689,,2.965e+1,
279.388699,,9.393e+2,
279.392861,,6.684e+1,
279.662781,,1.601e+2,
279.719594,,4.406e+1,
279.900452,,3.902e+0,
279.914669,,3.501e+0,
279.929445,,7.036e+2,
280.053681,,5.044e+1,
280.343055,,5.033e+1,
280.361272,5.400e+1,,
280.452009,2.544e+2,,
280.486239,7.382e+1,,
280.49991,,3.909e+1,
280.6984,3.418e+2,,
280.978237,,1.895e+2,
281.328628,1.027e+3,,
281.708677,,9.780e+1,
282.205821,,9.098e+0,
282.327574,2.805e+2,,
282.555564,3.164e+2,,
282.862643,,4.193e+2,
283.156086,,2.919e+3,
283.243532,5.765e+2,,
283.308469,,1.991e+2,
283.571128,,1.971e+3,
283.811948,1.683e+2,,
283.821563,,1.276e+2,
283.951284,,7.688e+2,
283.979925,,4.643e+2,
284.03438,,6.512e+2,
284.06495,,1.712e+3,
284.075842,,6.606e+2,
284.397643,5.888e+2,,
284.495678,,6.471e+1,
284.542453,,1.466e+2,
284.559529,,5.979e+2,
284.777326,,1.467e+2,
284.78835,,6.007e+0,
284.805096,,6.605e+2,
284.810597,,3.700e+2,
284.831972,,3.820e+2,
284.91723,,7.064e+0,
285.172165,,2.306e+2,
285.179684,4.431e+2,,
285.26217,,1.084e+1,
285.566745,,5.836e+2,
285.637705,,2.689e+2,
285.69086,,7.004e+2,
285.717436,,3.192e+2,
285.834051,,2.171e+3,
285.862882,,7.208e+1,
285.918,,,4.704e-8
285.9215,,,6.514e-8
285.9278,,,9.020e-8
285.9373,,,1.204e-7
285.9493,,,1.582e-7
286.412258,,8.847e+1,
286.62008,,1.651e+1,
286.931212,,1.495e+2,
287.2385,,8.637e+2,
287.339744,,1.693e+3,
287.534774,,7.927e+2,
287.680324,,4.358e+2,
288.082973,,3.518e+2,
288.250544,,2.662e+1,
288.37103,,1.388e+3,
288.426884,,2.414e+1,
288.476457,,1.316e+2,
288.78048,5.361e+1,,
288.938376,,4.579e+0,
289.247758,5.370e+1,,
289.450402,1.906e+2,,
289.477812,,4.491e+2,
289.521926,,3.826e+2,
289.72647,,4.055e+2,
289.832392,,9.920e+0,
289.925629,,1.867e+1,
289.941447,1.116e+2,,
290.191002,1.385e+2,,
290.574367,,1.809e+1,
290.751736,9.096e+1,,
290.88558,5.492e+1,,
291.068574,,1.906e+1,
291.179562,,1.532e+1,
291.80246,4.808e+2,,
291.852878,,2.361e+1,
291.984079,5.789e+1,,
292.018401,,1.109e+1,
292.32855,4.685e+2,,
292.38524,1.780e+2,,
292.535761,7.773e+1,,
