Ritz wavelength (nm),Ne I (1.0e+00),Ne II (1.5e-04),Ne III (2.3e-17)
293.371273,,8.741e-13,
293.428357,,8.790e-13,
295.572547,,2.997e-10,
295.9286,,,1.871e-36
299.1731,,,4.014e-33
300.166856,,2.172e-10,
301.730923,,3.323e-12,
302.701507,,2.020e-11,
302.87001,,3.986e-12,
302.88635,,1.174e-10,
303.446102,,6.025e-11,
303.771908,,1.994e-11,
304.5555,,1.172e-11,
304.755687,,2.597e-11,
305.467473,,8.924e-12,
305.6114,,,1.139e-33
309.116,,,1.907e-35
309.2902,,6.225e-13,
309.713165,,8.300e-13,
313.40654,,8.749e-14,
314.035363,,1.214e-13,
316.442955,,2.562e-12,
316.5007,,,2.009e-35
316.564801,,1.384e-12,
316.930215,,1.313e-12,
318.874089,,4.627e-12,
319.086283,,1.730e-12,
319.457544,,4.016e-12,
319.858617,,2.722e-11,
319.891449,,1.786e-12,
320.896423,,2.705e-12,
320.935552,,4.634e-12,
321.373484,,1.320e-11,
321.432638,,2.610e-11,
321.819248,,7.692e-11,
322.48174,,2.633e-12,
322.94558,,9.779e-14,
322.957179,,3.385e-12,
323.006993,,3.277e-11,
323.042073,,2.549e-12,
323.202193,,3.285e-12,
323.237315,,1.946e-11,
324.339658,,2.914e-12,
324.40943,,2.536e-11,
324.813171,,1.976e-12,
326.341267,,3.211e-12,
326.987026,,6.461e-12,
329.772537,,2.488e-10,
330.974002,,3.279e-11,
331.127103,,4.776e-11,
331.972421,,1.077e-11,
332.019734,,3.030e-12,
332.373514,,3.438e-10,
332.715326,,3.403e-10,
332.8697,,,1.085e-30
332.915753,,1.710e-11,
333.483686,,1.448e-9,
333.609234,,5.565e-13,
334.1205,,,1.088e-34
334.439578,,2.755e-10,
334.545426,,1.940e-11,
334.583056,,3.048e-12,
334.58804,,2.089e-12,
335.501769,,7.522e-10,
335.630752,,2.373e-12,
335.78192,,7.215e-12,
336.02711,,2.894e-13,
336.059812,,3.067e-10,
336.29378,,1.641e-12,
336.721642,,1.601e-11,
337.179696,,2.492e-12,
337.406069,,2.848e-12,
337.821915,,1.798e-10,
337.93207,,1.407e-12,
338.841703,,2.537e-11,
339.260386,,1.081e-12,
339.280064,,9.455e-11,
340.482095,,9.098e-13,
340.694545,,1.468e-12,
341.13603,,1.117e-13,
341.314531,,6.602e-13,
341.691262,,8.108e-12,
341.768699,,2.705e-11,
343.89337,,2.563e-13,
344.07477,,1.284e-13,
344.77024,1.772e-2,,
345.306814,,3.788e-12,
345.47721,,5.384e-13,
345.660804,,6.772e-12,
345.708357,,5.009e-14,
345.931965,,8.095e-13,
347.25706,2.019e-2,,
347.764657,,5.447e-12,
347.95185,,2.993e-13,
348.071802,,5.993e-13,
348.193357,,1.782e-10,
350.358192,,7.402e-12,
352.04711,1.080e-2,,
353.79759,,1.391e-13,
354.22405,,2.201e-13,
354.28454,,1.359e-11,
355.78048,,2.418e-11,
356.119898,,2.422e-12,
356.5824,,4.789e-12,
356.85021,,4.890e-11,
357.12309,,4.892e-12,
357.418261,,2.634e-12,
357.461213,,3.424e-11,
359.41584,,5.160e-12,
361.23275,,2.141e-12,
362.803334,,4.233e-12,
363.26808,,1.070e-12,
364.392899,,9.543e-11,
364.485637,,6.984e-12,
365.98925,,8.488e-13,
366.407405,,3.932e-10,
366.5506,,,8.283e-37
367.98166,,1.184e-12,
369.421446,,8.661e-10,
369.71244,,1.036e-12,
370.177702,,3.058e-12,
370.96222,,3.020e-10,
371.308248,,6.195e-10,
372.181879,,2.307e-12,
372.68707,,9.268e-13,
372.710811,,2.922e-10,
373.493881,,1.067e-10,
373.7677,,,1.325e-36
374.2764,,,2.354e-36
374.4625,,2.008e-12,
375.124589,,4.942e-11,
375.377924,,5.339e-12,
376.626129,,2.512e-10,
377.713578,,2.359e-10,
378.2461,,,1.878e-34
378.3982,,,3.120e-34
378.6432,,,4.361e-34
379.996447,,3.047e-12,
381.7886,,,2.341e-36
381.842374,,5.023e-12,
382.975031,,1.064e-11,
384.332,,,1.633e-36
384.4945,,,2.339e-36
384.7828,,,3.285e-36
391.724,,,1.051e-36
392.101,,,2.194e-34
392.102,,,9.774e-35
392.111,,,1.526e-34
395.99,,,2.167e-37
396.19,,,1.632e-36
396.615,,,1.074e-36
397.28,,,1.707e-37
414.288,,,1.533e-36
415.021,,,7.991e-37
421.70682,,5.707e-14,
421.93658,,3.398e-13,
422.1086,,7.145e-14,
422.407,,,8.458e-35
422.4641,,4.797e-14,
422.601,,,1.254e-34
422.932,,,1.791e-34
423.15332,,1.697e-13,
423.38466,,5.664e-14,
423.9911,,1.148e-13,
424.22089,,4.797e-14,
424.29461,,3.005e-13,
425.06465,,6.940e-14,
425.78019,,4.900e-14,
426.199,,,2.746e-34
426.522,,,1.596e-34
428.05813,,2.362e-13,
437.93989,,1.889e-13,
437.954965,,2.598e-12,
438.49757,,1.229e-13,
438.50639,,1.821e-12,
439.19941,,3.050e-13,
441.31049,,1.404e-12,
442.85207,,2.317e-13,
443.11086,,9.942e-14,
445.271,,,4.337e-35
445.275,,,3.346e-34
445.283,,,2.472e-34
445.287,,,1.786e-34
445.8762,,,3.669e-34
445.8861,,,2.825e-34
445.895,,,2.129e-34
446.065,,,3.010e-36
447.098,,,1.753e-36
470.43948,7.831e-3,,
470.88584,7.312e-3,,
495.70324,3.588e-3,,
503.13481,6.980e-3,,
503.77504,2.983e-2,,
507.41996,5.284e-3,,
508.03836,1.771e-2,,
511.65021,1.194e-2,,
512.22552,6.635e-3,,
514.49371,1.559e-2,,
515.19612,6.363e-3,,
519.3227,5.349e-3,,
520.38951,1.203e-2,,
520.88636,5.333e-3,,
533.07771,2.694e-2,,
534.10932,2.371e-2,,
534.3282,9.975e-3,,
556.27668,6.378e-3,,
565.66578,1.360e-2,,
568.98156,8.298e-3,,
571.92256,6.353e-3,,
574.82979,2.366e-2,,
576.44189,1.026e-1,,
580.44496,1.821e-2,,
582.01548,6.127e-2,,
585.24879,3.565e-1,,
587.28261,2.799e-2,,
588.18952,2.541e-1,,
590.24622,5.526e-2,,
590.27848,5.765e-3,,
590.64281,2.282e-2,,
591.3631,9.709e-3,,
591.89059,8.205e-3,,
594.48342,4.255e-1,,
596.16222,6.299e-3,,
596.54704,2.955e-2,,
597.46282,4.292e-2,,
597.5534,8.016e-2,,
598.79065,1.845e-2,,
599.16502,8.407e-3,,
602.99969,1.240e-1,,
607.43377,4.508e-1,,
609.61631,6.816e-1,,
614.25058,8.298e-3,,
614.30626,1.136e+0,,
616.35939,3.226e-1,,
617.48819,5.326e-3,,
618.21463,2.189e-2,,
620.649,,,1.230e-34
620.908,,,6.394e-35
621.38757,9.959e-3,,
621.72812,1.577e-1,,
626.6495,5.686e-1,,
627.749,,,1.046e-35
628.358,,,1.348e-35
628.958,,,1.803e-35
630.47889,1.675e-1,,
632.81639,1.080e-2,,
633.44278,6.892e-1,,
638.29917,7.946e-1,,
640.22472,3.150e+0,,
640.66,,,7.544e-35
644.47098,6.827e-3,,
650.65281,1.284e+0,,
653.28822,2.674e-1,,
659.89529,5.126e-1,,
667.82762,8.774e-1,,
671.7043,4.956e-1,,
688.695,,,1.883e-33
689.541,,,3.145e-33
692.94673,7.008e-1,,
702.40504,4.679e-2,,
703.24131,8.297e-1,,
705.12923,1.280e-2,,
705.91074,6.699e-2,,
717.39381,1.229e-1,,
724.51666,3.150e-1,,
743.88984,7.704e-2,,
747.24386,1.758e-2,,
748.88712,2.294e-1,,
753.57741,1.842e-1,,
754.40443,7.781e-2,,
794.31814,4.809e-2,,
811.85492,2.087e-2,,
813.64054,1.061e-1,,
825.9379,1.832e-2,,
