Ritz wavelength (nm),S I (4.8e-01),S II (5.2e-01),S III (3.8e-06)
540.0733,,9.301e-2,
542.8655,,1.705e+0,
543.2797,,3.968e+0,
545.3855,,6.487e+0,
547.3614,,1.523e+0,
547.499,,2.482e-2,
547.8218,,1.300e-2,
550.9705,,1.659e+0,
551.8714,,3.972e-2,
552.0418,,2.291e-2,
552.6243,,3.105e-1,
555.6023,,2.373e-1,
555.9004,,1.986e-2,
556.4958,,1.084e+0,
557.887,,4.395e-1,
560.6151,,2.946e+0,
561.6633,,3.427e-1,
563.9977,,2.883e+0,
564.0346,,2.115e+0,
564.702,,1.784e+0,
564.8348,,3.502e-2,
566.0001,,1.411e+0,
566.4773,,8.960e-1,
581.9254,,3.083e-1,
589.0946,,5.526e-3,
605.266,8.764e+1,,
628.6336,,2.585e-1,
628.6944,,8.927e-1,
630.5483,,1.048e+0,
631.2685,,6.628e-1,
638.4893,,2.940e-1,
639.7355,,5.335e-1,
639.8014,,2.384e-1,
641.3711,,2.257e-1,
674.879,9.439e+1,,
675.715,1.822e+2,,
698.1398,,2.687e-1,
744.33,6.601e+1,,
757.8909,,3.406e-1,
762.974,,2.598e-1,
792.384,1.166e+2,,
792.8675,,3.022e-2,
793.162,6.779e+1,,
796.7384,,3.171e-1,
825.8254,,6.174e-2,
831.4588,,4.895e-1,
863.312,8.256e+1,,
866.844,1.467e+2,,
867.964,1.352e+2,,
868.046,2.168e+2,,
869.471,4.177e+2,,
887.448,2.400e+2,,
888.25,9.757e+1,,
888.424,1.399e+2,,
903.262,,1.170e-2,
909.928,,1.547e-2,
916.276,,2.694e-3,
921.2863,3.428e+3,,
922.8093,2.437e+3,,
923.7538,1.464e+3,,
932.53,,2.572e-3,
939.82,,2.790e-3,
941.346,5.543e+2,,
942.193,4.480e+2,,
943.713,3.169e+2,,
