Ritz wavelength (nm),Cl I (8.1e-01),Cl II (1.9e-01),Cl III (2.8e-07)
436.9498,2.734e+0,,
437.9896,5.742e+0,,
438.9751,1.234e+1,,
439.9137,,2.615e-2,
440.302,3.290e+0,,
443.8488,9.548e+0,,
446.9368,2.799e+0,,
447.5304,2.810e+0,,
452.6182,1.848e+1,,
456.9344,,1.728e-2,
457.1964,,2.890e-2,
457.2121,,5.654e-3,
459.095,,,1.314e-11
460.0977,7.348e+0,,
460.768,,,1.866e-11
466.1208,4.348e+0,,
475.5576,,5.918e-3,
476.8651,,2.133e-2,
477.1072,,9.525e-3,
477.1667,,1.504e-2,
477.8913,,7.186e-3,
478.132,,3.869e-2,
478.1789,,7.719e-3,
478.5364,,7.201e-3,
479.4556,,1.672e+0,
481.007,,1.146e+0,
481.1609,,3.050e-3,
481.948,,6.981e-1,
481.9756,,1.067e-2,
482.096,,5.474e-4,
485.7045,,1.610e-3,
486.1861,,5.423e-4,
487.7688,,7.360e-4,
489.6783,,1.842e-1,
489.8909,,1.967e-3,
490.4776,,1.330e-1,
490.7176,,5.723e-3,
491.4275,,1.642e-2,
491.773,,8.878e-2,
492.2154,,1.657e-2,
492.4877,,9.299e-3,
492.5165,,1.165e-2,
497.0075,,1.682e-2,
499.5473,,2.316e-2,
506.8123,,1.728e-2,
507.8267,,1.372e-1,
509.8317,,1.682e-2,
509.9303,,4.972e-2,
510.3072,,7.636e-2,
510.4059,,1.631e-2,
511.3356,,1.682e-2,
521.774,,1.213e-1,
521.7945,,6.065e-1,
522.1362,,3.645e-1,
539.2125,,1.548e-1,
542.3257,,2.893e-1,
542.3516,,5.947e-2,
544.3375,,1.736e-1,
544.4217,,1.100e-1,
545.6275,,5.864e-2,
545.7037,,7.679e-2,
545.7455,,3.351e-2,
556.8761,,2.962e-3,
609.468,,4.582e-2,
675.938,,5.030e-3,
685.017,,3.324e-3,
695.219,,2.172e-3,
725.6618,2.017e+2,,
741.4118,6.555e+1,,
754.7073,1.614e+2,,
771.7582,4.184e+1,,
774.497,8.473e+1,,
776.9163,3.481e+1,,
777.1094,4.523e+0,,
782.1361,7.662e+1,,
783.0745,3.700e+1,,
787.8217,4.155e+1,,
789.931,2.959e+1,,
791.5082,1.149e+1,,
792.4645,2.929e+1,,
793.5012,2.683e+1,,
797.6972,1.564e+1,,
798.0597,2.512e+1,,
799.7857,3.098e+1,,
808.4509,1.489e+1,,
808.5561,1.348e+2,,
808.6673,2.129e+2,,
808.7725,1.490e+1,,
819.4422,3.828e+1,,
821.2038,1.944e+2,,
833.3307,2.512e+2,,
836.07,,8.665e-2,
836.184,,4.544e-2,
837.5943,9.463e+2,,
842.8251,1.837e+2,,
855.0441,1.249e+1,,
857.5246,1.884e+2,,
858.5981,4.676e+2,,
868.6281,5.245e+1,,
894.8062,2.229e+2,,
907.3168,1.358e+2,,
912.1143,4.863e+2,,
919.1731,1.895e+2,,
928.8857,6.491e+1,,
939.386,5.758e+1,,
948.6964,3.518e+1,,
958.48,1.888e+2,,
959.2222,5.540e+2,,
