Ritz wavelength (nm),Ce I (5.5e-03),Ce II (8.4e-01)
468.4598,,5.106e+3
471.4017,,4.816e+3
471.4831,,2.703e+3
473.7271,,8.200e+3
475.7841,,2.329e+3
476.8791,,2.107e+3
477.3941,,5.106e+3
482.2548,6.778e+1,
488.2463,,1.059e+4
500.9103,1.489e+2,
501.1759,,3.651e+3
502.2867,,4.738e+3
503.78,,3.138e+3
504.0846,1.283e+2,
504.4023,,6.934e+3
507.5355,,5.156e+3
511.2704,1.157e+2,
514.7565,,4.505e+3
518.7458,,1.440e+4
519.1633,,3.457e+3
521.192,1.745e+2,
522.3461,1.829e+2,
522.9742,9.959e+1,
523.2918,,4.317e+3
524.5913,1.706e+2,
526.5677,,5.498e+3
527.4229,,1.553e+4
529.6565,1.042e+2,
532.8085,1.132e+2,
533.0556,,5.483e+3
535.3524,,1.698e+4
539.3392,,9.542e+3
539.7636,1.203e+2,
540.9229,,5.677e+3
542.0382,9.545e+1,
544.9239,1.556e+2,
546.8371,,6.883e+3
551.2064,,5.008e+3
555.6258,1.056e+2,
556.4962,1.632e+2,
556.5968,1.239e+2,
559.5876,1.048e+2,
560.1277,3.146e+2,
565.514,1.343e+2,
566.9958,2.061e+2,
567.7752,1.219e+2,
569.2945,8.840e+1,
569.6993,3.107e+2,
571.9036,2.910e+2,
577.3123,1.543e+2,
578.8145,1.818e+2,
581.2915,1.859e+2,
594.0856,1.697e+2,
600.586,3.559e+1,
600.6819,3.623e+1,
601.342,4.261e+1,
602.4195,9.904e+1,
603.4205,,1.803e+3
603.5476,,1.217e+3
604.3373,,3.324e+3
604.7397,3.129e+1,
605.7997,2.494e+1,
607.2004,2.007e+1,
607.6612,1.769e+1,
609.3193,1.912e+1,
609.3244,9.671e+0,
609.9799,7.247e+0,
610.8747,,1.188e+3
611.891,1.822e+1,
613.5457,1.249e+1,
614.2928,1.768e+1,
614.643,3.058e+1,
614.7844,2.103e+1,
619.5539,1.771e+1,
620.8985,6.942e+1,
623.2448,,1.297e+3
623.746,1.626e+1,
623.8713,1.290e+1,
625.3653,8.723e+0,
627.2026,,2.834e+3
630.0204,1.996e+1,
637.1109,,1.685e+3
643.6399,1.499e+1,
645.8033,2.773e+1,
646.6889,,1.298e+3
650.7163,,6.001e+2
655.1702,1.559e+1,
655.5649,3.198e+1,
662.2996,5.443e+0,
666.141,1.371e+1,
666.5589,7.606e+0,
670.4272,2.424e+1,
670.6051,,6.920e+2
680.8824,4.385e+0,
682.9727,,7.704e+2
692.4814,3.682e+1,
698.3822,,4.220e+2
706.1753,,3.497e+3
706.45,1.121e+1,
708.6353,,5.211e+3
723.8371,,8.687e+2
753.3723,6.806e+0,
785.1195,,1.025e+3
791.352,8.866e+0,
