Ritz wavelength (nm),W I (4.7e-02),W II (9.5e-01),W III (2.7e-03)
319.884,3.412e+2,,
320.7246,2.838e+2,,
320.8282,2.210e+2,,
321.5557,1.635e+3,,
321.561577,,2.101e+3,
322.1908,1.151e+2,,
323.2484,1.560e+2,,
323.7087,1.605e+2,,
325.9666,8.062e+1,,
328.656023,,7.924e+2,
330.082,6.772e+2,,
330.185122,,8.276e+2,
331.1392,3.323e+2,,
332.0359,7.638e+1,,
333.6584,,,6.280e-1
334.246231,,2.985e+3,
334.310068,,3.196e+3,
334.341576,,3.140e+3,
334.5859,1.563e+2,,
336.11037,,1.818e+3,
337.1047,5.023e+1,,
337.614029,,3.937e+3,
340.18845,,2.895e+3,
341.296,9.175e+1,,
344.059363,,9.003e+2,
344.8833,1.288e+2,,
344.986386,,8.406e+2,
346.351294,,2.101e+3,
346.84,7.276e+1,,
348.61241,,9.813e+2,
349.092115,,2.148e+3,
350.866375,,1.221e+3,
351.0032,6.865e+1,,
352.191,1.166e+2,,
352.6854,7.768e+1,,
352.955063,,1.163e+3,
353.5545,1.583e+2,,
354.5225,2.103e+2,,
354.905184,,1.593e+3,
355.51635,,1.281e+3,
357.247253,,4.749e+3,
357.5975,1.268e+2,,
359.242151,,3.799e+3,
360.607,9.066e+1,,
361.379036,,4.074e+3,
361.7522,1.254e+3,,
363.1953,1.258e+2,,
364.14078,,3.755e+3,
364.559609,,1.023e+3,
364.658015,,1.151e+3,
365.7589,,2.281e+3,
365.787677,,9.282e+2,
366.8662,1.643e+2,,
367.5552,7.245e+1,,
368.2097,2.538e+2,,
370.2315,6.348e+1,,
370.7929,3.595e+2,,
371.60694,,1.655e+3,
372.225,2.963e+2,,
373.042,2.328e+2,,
373.621208,,2.233e+3,
374.1709,1.036e+2,,
376.0123,2.467e+2,,
376.161,1.106e+2,,
376.8445,2.280e+2,,
376.9206,1.120e+2,,
376.9866,1.170e+2,,
378.0773,3.967e+2,,
380.9234,8.711e+1,,
381.0796,1.671e+2,,
381.7484,4.230e+2,,
382.0103,6.993e+1,,
383.5052,4.911e+2,,
384.6213,2.505e+2,,
384.749,7.178e+1,,
385.15632,,1.595e+3,
385.929,2.738e+2,,
386.4339,5.420e+1,,
386.6043,5.570e+1,,
386.7982,8.420e+2,,
387.5682,1.286e+2,,
388.1394,4.105e+2,,
388.3825,9.918e+1,,
389.0745,1.162e+2,,
389.2722,7.749e+1,,
392.4689,6.135e+1,,
393.0244,8.556e+1,,
393.54325,,8.683e+2,
395.8877,5.604e+1,,
396.8584,1.902e+2,,
397.5888,1.584e+2,,
397.9281,3.651e+2,,
398.2859,1.419e+2,,
399.8756,1.921e+2,,
400.8749,3.339e+3,,
401.9228,4.403e+1,,
402.8783,7.608e+1,,
403.5356,1.286e+2,,
403.6855,3.213e+2,,
404.3893,2.199e+2,,
404.56,3.371e+2,,
405.3933,7.798e+1,,
406.07,1.207e+2,,
406.4785,3.501e+2,,
406.9948,3.400e+2,,
407.0598,7.969e+1,,
407.1923,8.330e+1,,
407.4357,1.674e+3,,
408.12929,,6.350e+2,
410.2701,5.588e+2,,
411.0562,5.553e+1,,
411.805,2.836e+2,,
412.0857,9.261e+1,,
412.2013,8.666e+1,,
412.5178,1.013e+2,,
