Ritz wavelength (nm),Sc I (1.4e-02),Sc II (9.4e-01),Sc III (4.2e-02)
542.5553,1.483e+2,,
542.9411,1.509e+2,,
543.2962,9.056e+1,,
543.3241,1.627e+2,,
543.8265,8.492e+1,,
543.9034,1.465e+2,,
544.2598,1.810e+2,,
544.6188,9.225e+2,,
545.1348,3.747e+2,,
545.5228,1.107e+2,,
546.8393,1.627e+2,,
547.218,2.423e+2,,
548.1995,2.010e+3,,
548.4626,1.531e+3,,
551.422,1.629e+3,,
552.04963,2.042e+3,,
552.6083,1.292e+2,,
552.679,,1.070e+5,
554.1052,1.495e+2,,
564.1001,,9.819e+3,
565.7896,,3.294e+4,
567.1807,5.125e+3,,
568.4202,,1.114e+4,
568.68316,3.898e+3,,
570.01531,3.064e+3,,
570.86135,4.139e+2,,
571.17534,2.290e+3,,
571.72936,3.915e+2,,
572.4081,2.806e+2,,
598.8417,1.814e+2,,
602.6152,1.335e+2,,
614.6237,1.623e+2,,
619.8431,1.030e+2,,
621.06644,2.570e+2,,
623.94108,4.383e+1,,
623.97781,1.396e+2,,
624.9915,4.349e+2,,
625.6013,,,1.394e-1
625.89651,1.099e+2,,
626.2235,2.098e+2,,
627.63009,1.643e+1,,
628.0155,6.708e+1,,
628.4169,9.741e+1,,
628.4738,1.191e+2,,
629.3033,8.756e+1,,
630.56596,4.753e+2,,
630.60347,1.888e+1,,
630.7603,,,7.877e-2
637.88153,1.886e+1,,
641.33393,1.756e+1,,
744.9141,,,1.225e-1
754.8146,,,5.827e-2
774.1219,2.665e+2,,
780.0413,2.026e+2,,
881.4204,,,5.566e-3
882.9859,,,7.863e-3
886.5943,,,5.395e-3
