Ritz wavelength (nm),Na I (2.7e-02),Na II (9.7e-01),Na III (9.7e-16)
443.234,8.849e-11,,
449.418,1.047e+2,,
449.7657,1.863e+2,,
466.48107,1.958e+2,,
466.85595,3.516e+2,,
497.85414,4.551e+2,,
498.28134,8.146e+2,,
507.12,2.591e-10,,
515.34024,1.371e+2,,
516.212,9.481e-11,,
562.068,8.849e-11,,
568.26333,1.530e+3,,
568.81933,3.060e+2,,
568.82047,2.750e+3,,
588.995094,8.248e+4,,
589.592424,4.119e+4,,
615.42255,2.238e+2,,
616.07471,4.458e+2,,
818.32556,1.266e+4,,
819.47904,2.528e+3,,
819.4824,2.275e+4,,
915.3862,8.074e+1,,
946.5914,1.524e+2,,
946.5959,1.067e+2,,
