Ritz wavelength (nm),Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
445.5887,1.500e+3,,
448.4402,,,1.241e-12
448.4948,,,3.182e-12
449.9885,,,2.408e-11
451.6586,,,1.672e-11
452.6928,8.575e+2,,
455.3291,,,8.004e-13
457.2125,,,2.686e-11
457.8551,7.634e+2,,
458.1395,1.269e+3,,
458.1467,1.518e+2,,
458.5865,1.788e+3,,
458.5964,1.518e+2,,
463.2855,,,3.489e-13
468.5268,2.446e+2,,
470.8836,,,4.396e-12
471.6287,,,4.540e-12
473.6673,,,3.373e-13
485.1932,,,9.275e-13
485.9165,,,1.781e-12
487.8126,1.117e+3,,
488.9823,,,2.566e-13
489.9308,,,3.381e-13
491.9279,,,1.640e-12
495.057,,,8.052e-13
500.1479,,7.992e+2,
500.8939,,,1.733e-12
501.9971,,1.378e+3,
504.1618,9.128e+2,,
504.6923,,,1.031e-12
505.0089,,,4.213e-12
506.3721,,,7.222e-13
511.2982,,,5.227e-13
513.7727,,,1.304e-12
518.8844,1.581e+3,,
520.1352,,,7.844e-13
523.1814,,,2.396e-12
524.7373,,,4.842e-12
526.1704,5.548e+2,,
526.2241,7.399e+2,,
526.4237,5.606e+2,,
526.5556,1.627e+3,,
527.027,3.080e+3,,
527.1979,,,7.289e-12
529.7533,,,3.020e-13
530.1323,,,2.388e-12
530.7224,,3.424e+2,
532.1287,,,3.923e-12
532.8057,,,2.087e-12
533.3654,,,2.857e-13
535.0731,,,5.070e-13
535.4256,,,4.304e-13
548.0011,,,5.737e-13
551.298,1.001e+3,,
557.0601,,,5.350e-12
557.9076,,,1.840e-12
558.1965,5.917e+2,,
558.8749,4.833e+3,,
559.0114,5.876e+2,,
559.4462,2.690e+3,,
559.848,1.833e+3,,
560.1277,6.088e+2,,
560.2842,5.967e+2,,
566.367,,,2.706e-13
569.4683,,,4.269e-13
585.7451,3.427e+3,,
606.9998,,,1.964e-11
610.2723,9.335e+2,,
612.2217,2.791e+3,,
616.1297,2.864e+2,,
616.2173,4.638e+3,,
616.3755,2.924e+2,,
616.6439,3.832e+2,,
616.9042,8.876e+2,,
616.9563,1.649e+3,,
617.3216,,,4.623e-12
621.3997,,,1.128e-11
629.4886,,,5.368e-12
637.0113,,,5.151e-12
638.7545,,,4.061e-12
642.4526,,,8.205e-12
643.9075,9.007e+3,,
644.9808,8.563e+2,,
646.2567,6.273e+3,,
647.1662,7.875e+2,,
648.5337,,,8.671e-12
649.3781,4.241e+3,,
649.965,7.807e+2,,
653.8784,,,1.865e-12
659.9652,,,2.724e-12
671.7681,6.130e+2,,
706.473,,,1.159e-12
730.8681,,,6.272e-12
783.0699,,,5.710e-12
784.307,,,6.860e-12
789.8419,,,1.524e-11
799.353,,,1.012e-13
805.122,,,4.706e-13
810.359,,,4.124e-13
811.898,,,3.478e-13
814.103,,,2.488e-13
819.534,,,6.535e-13
820.172,,5.360e+3,
821.719,,,5.947e-12
824.88,,9.606e+3,
825.264,,,2.607e-13
825.472,,1.051e+3,
850.549,,,1.001e-13
854.209,,3.669e+5,
866.214,,2.019e+5,
920.634,,,3.257e-13
943.254,,,9.552e-13
