Ritz wavelength (nm),V I (2.1e-02),V II (9.7e-01),V III (1.1e-02)
254.424867,,2.253e+2,
254.592411,7.918e+1,,
254.8218,,,3.694e+0
254.868956,,9.042e+2,
254.927692,,9.070e+3,
255.302834,,2.585e+3,
255.336862,,2.696e+2,
255.367026,,2.662e+3,
255.389435,,2.736e+2,
255.403627,,1.429e+3,
255.4224,,,3.169e+0
255.5906,,1.749e+3,
256.212841,1.456e+2,,
256.276088,,1.191e+3,
256.328858,,3.829e+2,
256.397684,,2.481e+2,
256.554559,,6.316e+2,
256.6026,,1.460e+3,
256.639164,,3.553e+2,
256.65884,,4.721e+2,
256.741387,,5.087e+2,
256.827739,,3.120e+2,
257.10472,,3.518e+2,
257.105718,,1.733e+3,
257.26487,,2.019e+2,
257.40187,1.949e+2,,
257.451738,,1.243e+3,
258.300016,,7.032e+2,
258.495117,,1.786e+3,
258.73199,,1.711e+2,
258.81209,,1.518e+2,
258.839746,,3.415e+2,
258.87824,,9.508e+1,
259.22082,,1.402e+3,
259.3049,,,8.438e+0
259.37613,,2.054e+2,
259.5098,,,1.064e+1
260.105389,,4.158e+2,
260.29037,,3.316e+2,
260.95935,,6.473e+1,
261.439731,,1.034e+3,
261.624556,,4.922e+3,
262.176575,,7.585e+2,
262.2551,,2.262e+2,
262.36603,,4.752e+2,
262.379133,,7.350e+2,
262.80585,,3.869e+2,
262.967571,,2.622e+3,
263.04623,,5.136e+2,
263.06643,,1.163e+4,
263.8462,,1.965e+2,
264.081938,,3.842e+3,
264.220579,,4.619e+3,
264.2712,,6.462e+2,
264.365087,,5.801e+2,
264.41494,,6.649e+2,
264.433234,,4.878e+3,
264.525714,1.147e+2,,
264.583606,,6.876e+3,
264.77054,1.300e+2,,
264.8466,,1.759e+3,
264.932567,,5.867e+3,
265.15355,,4.021e+2,
265.189354,1.744e+2,,
265.2717,,1.315e+3,
265.564743,,7.116e+3,
265.622144,2.638e+2,,
265.845388,,5.331e+2,
265.88819,,4.552e+2,
265.899271,,8.322e+2,
265.960008,,1.722e+3,
266.12503,,8.045e+1,
266.142165,3.247e+2,,
266.1426,,1.496e+3,
266.320787,,8.383e+3,
266.35107,,1.567e+2,
266.35626,,7.859e+1,
266.675053,,4.775e+2,
266.79907,,3.434e+2,
267.200045,,1.480e+4,
267.3203,,1.736e+3,
267.6009,,4.837e+2,
267.60109,,1.460e+2,
267.779591,,1.586e+4,
267.79516,,1.055e+2,
267.856439,,1.064e+4,
267.931595,,2.139e+4,
267.98493,,1.304e+2,
268.0291,,2.464e+2,
268.04602,,5.835e+2,
268.286544,,8.796e+3,
268.30803,,9.768e+3,
268.3657,,1.137e+2,
268.512479,,2.597e+3,
268.795167,,7.410e+4,
268.870851,,9.438e+3,
268.987348,,9.788e+3,
269.024064,,1.586e+4,
269.07821,,1.533e+4,
270.092751,,3.857e+4,
270.217649,,1.906e+4,
270.61118,,1.668e+2,
270.615641,,3.071e+4,
270.669032,,8.595e+3,
270.785992,,3.808e+3,
271.173028,,6.072e+3,
271.213782,,1.169e+3,
271.23762,,4.543e+2,
271.27476,,5.113e+2,
271.419725,,3.912e+3,
271.43644,,6.087e+2,
271.565476,,2.224e+4,
272.25542,5.510e+2,,
272.344883,,9.916e+2,
272.653408,,9.083e+2,
272.863728,,1.067e+4,
272.87115,,2.294e+2,
273.13415,6.678e+2,,
273.29515,,4.752e+2,
273.35855,,5.706e+2,
273.42104,,7.647e+2,
273.665956,,2.035e+2,
273.97084,,8.928e+3,
274.64574,,1.584e+2,
274.74624,,9.408e+2,
274.746413,,3.330e+3,
275.022541,,6.202e+2,
275.17349,,5.532e+2,
275.205908,,9.376e+2,
275.339688,,1.642e+4,
275.49736,,6.404e+2,
275.636929,,6.310e+2,
275.847104,,1.381e+3,
275.8772,,2.031e+2,
275.881207,,3.127e+3,
275.95603,,4.896e+2,
276.01214,,3.842e+3,
276.06929,,9.476e+3,
276.072942,,1.086e+3,
276.24678,,8.652e+2,
276.564081,,3.787e+3,
276.566307,,1.571e+4,
276.64557,,6.403e+3,
276.813521,,1.903e+3,
276.855495,,1.283e+4,
276.973093,,1.334e+3,
277.21856,,3.271e+2,
277.426909,,9.995e+3,
277.471165,,5.347e+3,
277.496766,,1.982e+3,
277.576033,,6.073e+3,
277.618326,,8.595e+2,
277.77492,,8.324e+3,
277.853905,,4.495e+3,
278.13995,,3.823e+3,
278.152351,,3.040e+2,
278.24654,,3.622e+2,
278.41856,,3.209e+3,
278.6621,,1.494e+2,
278.68875,,2.038e+2,
278.85877,,1.924e+2,
279.15574,,8.411e+2,
279.477163,,1.213e+3,
279.53438,,4.382e+2,
279.701204,,4.879e+3,
279.77888,,6.085e+3,
279.875345,,7.916e+3,
279.927847,,1.671e+3,
279.94456,,6.382e+3,
279.998324,,3.714e+2,
280.279196,,7.331e+3,
280.346168,,1.160e+4,
280.553486,,2.842e+3,
280.5932,,2.100e+2,
280.82281,,2.364e+3,
280.95115,,1.438e+3,
281.015091,,5.622e+3,
281.026374,,1.332e+4,
281.2161,,6.155e+2,
281.266089,,3.194e+2,
281.321667,,1.560e+2,
281.489536,,1.406e+3,
281.66872,,5.532e+1,
281.7495,,4.045e+3,
281.846206,,4.965e+2,
281.94305,,1.089e+3,
282.11177,,9.721e+2,
282.14343,,7.880e+1,
282.210359,,2.209e+3,
282.23407,,1.483e+3,
282.244636,,1.784e+3,
282.26973,,8.733e+1,
282.495865,,3.460e+2,
282.579462,,2.616e+3,
282.60424,,5.516e+1,
283.03973,,2.302e+3,
283.06579,,3.037e+2,
283.17479,,3.600e+2,
283.651546,,5.785e+3,
283.6896,,2.515e+1,
284.103437,,5.219e+3,
284.2236,,4.800e+2,
284.415704,,4.176e+2,
284.52448,,5.856e+3,
284.61161,,4.797e+1,
284.75717,,1.020e+4,
284.87731,7.455e+1,,
284.904975,,3.963e+3,
284.91718,8.495e+1,,
285.02029,,2.167e+2,
285.06836,,3.323e+3,
285.075934,,2.288e+3,
285.12526,,1.030e+3,
285.25292,,1.135e+3,
285.2858,,4.703e+1,
285.3478,,8.183e+1,
285.375474,,5.891e+2,
285.433522,,1.723e+4,
285.52221,1.864e+2,,
285.529228,,3.049e+3,
285.997,2.650e+2,,
286.230575,,8.930e+2,
286.2872,,2.167e+2,
286.37373,,1.792e+2,
286.43606,3.311e+2,,
286.45139,,4.278e+3,
286.65917,1.469e+3,,
286.80856,,2.543e+2,
286.81003,1.764e+3,,
286.91315,,1.584e+4,
287.05463,3.975e+2,,
287.692865,,1.068e+3,
287.768455,,8.319e+3,
287.80233,,2.300e+3,
287.915936,,3.749e+3,
288.002771,,1.779e+4,
288.249911,,2.224e+4,
288.40552,,1.770e+3,
288.475911,,8.446e+3,
288.478299,,1.803e+4,
288.6967,,1.553e+3,
288.71534,,8.628e+2,
288.824022,,1.302e+4,
288.961872,,2.170e+4,
289.05565,,1.322e+3,
289.163965,,4.568e+4,
289.167565,,3.139e+2,
289.244083,,3.574e+4,
289.25656,,6.556e+2,
289.265416,,7.264e+4,
289.32112,,7.497e+2,
289.331721,,8.351e+4,
289.4625,,3.623e+2,
289.5603,,5.958e+2,
289.620609,,1.546e+4,
289.78873,,2.635e+3,
289.91731,,9.515e+2,
289.91961,8.453e+1,,
289.95987,1.354e+2,,
290.25356,,7.106e+1,
290.307536,,1.621e+4,
290.412484,1.079e+2,,
290.53028,,1.506e+2,
290.562759,,1.312e+3,
290.61325,2.451e+2,,
290.645812,,5.719e+4,
290.747139,,2.767e+4,
290.843879,,4.084e+3,
290.881744,,1.543e+5,
291.001936,,4.889e+4,
291.038566,,3.683e+4,
291.106299,,3.583e+4,
291.16521,,1.749e+3,
291.244637,,1.817e+3,
291.30394,,2.771e+2,
291.428754,,3.742e+3,
291.48443,,4.018e+2,
291.4851,,1.466e+3,
291.49243,5.753e+2,,
291.53303,8.014e+1,,
291.53347,,2.648e+3,
291.58767,,3.923e+3,
291.723528,,1.044e+3,
291.736471,,5.712e+3,
291.96524,,2.165e+3,
291.99932,,9.673e+3,
292.038366,,2.429e+4,
292.24968,,2.996e+2,
292.33357,,4.450e+3,
292.34822,,7.591e+2,
292.361922,1.263e+3,,
292.401912,,2.048e+5,
292.464109,,1.206e+5,
292.528698,,3.044e+3,
292.62567,8.116e+1,,
292.64457,,3.819e+3,
293.012584,,2.585e+3,
293.080787,,4.462e+4,
