Ritz wavelength (nm),V I (2.1e-02),V II (9.7e-01),V III (1.1e-02)
384.44372,2.050e+2,,
384.73257,2.020e+2,,
384.7333,,2.485e+3,
385.53627,7.792e+2,,
385.58404,2.448e+3,,
386.38597,2.168e+2,,
386.48561,9.225e+2,,
386.760209,1.344e+2,,
387.1075,2.740e+2,,
387.507162,1.019e+3,,
387.58981,2.000e+2,,
387.60805,4.640e+2,,
387.87074,,8.155e+3,
388.65786,1.549e+2,,
389.01792,2.909e+2,,
389.28564,2.733e+2,,
389.79653,7.399e+2,,
389.80508,6.766e+2,,
389.82603,2.760e+2,,
389.912762,,5.166e+3,
390.11529,5.698e+2,,
390.22531,1.456e+3,,
390.32524,,5.296e+3,
390.44632,5.818e+1,,
390.67466,9.431e+1,,
390.96641,8.490e+1,,
390.98572,1.796e+2,,
391.43172,,3.280e+3,
391.640442,,3.757e+3,
392.17348,5.501e+2,,
392.19042,9.335e+1,,
392.24291,2.490e+2,,
392.46494,4.460e+2,,
392.79249,3.760e+2,,
392.84667,3.247e+1,,
393.00181,4.751e+2,,
393.13349,2.970e+2,,
393.35486,5.274e+1,,
393.40065,3.011e+2,,
393.51308,2.465e+2,,
393.88795,6.097e+1,,
393.93251,1.054e+2,,
394.12435,6.181e+1,,
394.19952,1.022e+2,,
394.39379,4.437e+1,,
395.195667,,8.049e+3,
396.36077,2.133e+2,,
397.36284,,3.932e+3,
398.05089,1.759e+2,,
398.45865,1.349e+2,,
398.88273,1.184e+2,,
399.05382,5.569e+2,,
399.05957,6.988e+2,,
399.27949,8.595e+2,,
399.8723,1.172e+3,,
400.57022,,1.111e+4,
401.72754,,6.201e+2,
402.33773,,7.672e+3,
403.12167,4.914e+1,,
403.56204,,6.204e+3,
404.26303,1.175e+2,,
405.09537,5.581e+2,,
405.13459,1.045e+3,,
405.32498,4.940e+1,,
405.35744,,1.848e+3,
405.706344,4.845e+2,,
406.39257,4.711e+2,,
406.50577,,1.798e+3,
406.77356,4.871e+1,,
409.0568,1.267e+3,,
409.23919,1.358e+2,,
409.25194,8.496e+1,,
409.26831,1.165e+3,,
409.54749,8.048e+2,,
409.97833,1.653e+3,,
410.21491,5.119e+2,,
410.47595,1.345e+3,,
410.5157,1.544e+3,,
410.81956,2.603e+2,,
410.97575,1.002e+3,,
410.98168,2.876e+2,,
411.15713,7.895e+1,,
411.17788,5.199e+3,,
411.21864,7.471e+1,,
411.3506,2.146e+2,,
411.51768,2.368e+3,,
411.64716,6.903e+2,,
411.65472,2.994e+2,,
411.81775,3.796e+2,,
411.82501,1.228e+2,,
411.86253,1.820e+2,,
411.9443,1.931e+2,,
412.05269,1.196e+2,,
412.09544,4.585e+1,,
412.3175,2.268e+2,,
412.34985,1.020e+3,,
412.80642,1.554e+3,,
412.88507,1.794e+2,,
413.19909,1.669e+3,,
413.44835,1.209e+3,,
413.61012,8.465e+1,,
413.92485,1.029e+2,,
417.12941,6.844e+1,,
418.34285,,2.252e+3,
419.15662,1.333e+2,,
422.41297,1.148e+2,,
422.66171,1.430e+2,,
423.20167,,7.396e+2,
423.24564,7.472e+2,,
423.29466,4.620e+2,,
423.40007,3.220e+2,,
423.57581,2.376e+2,,
423.96037,1.566e+2,,
424.00807,7.039e+1,,
424.13081,6.450e+1,,
425.7363,1.137e+2,,
426.21549,1.424e+2,,
426.86378,1.595e+3,,
426.97535,1.001e+2,,
427.03076,4.726e+2,,
427.03166,1.474e+2,,
427.1548,1.190e+3,,
427.69509,9.271e+2,,
427.88632,,6.137e+2,
428.28981,8.517e+1,,
428.40428,8.587e+2,,
428.64094,1.038e+2,,
429.12885,7.289e+1,,
429.18064,8.683e+2,,
429.60974,7.178e+2,,
429.76724,6.036e+2,,
429.80248,4.481e+2,,
430.6209,6.961e+1,,
430.71723,5.459e+1,,
430.95164,5.795e+1,,
430.97942,5.889e+1,,
433.00229,1.733e+2,,
433.23747,5.490e+1,,
433.28186,2.241e+2,,
433.61155,4.734e+1,,
434.0998,2.848e+2,,
434.28257,1.001e+2,,
435.28654,4.726e+2,,
435.49676,1.292e+2,,
436.42082,1.053e+2,,
437.32232,4.677e+2,,
437.3818,1.459e+2,,
437.53035,3.543e+2,,
437.92304,8.625e+3,,
438.05437,2.200e+2,,
438.4713,5.852e+3,,
438.99793,3.615e+3,,
439.30804,5.779e+1,,
439.52233,2.038e+3,,
440.05717,9.142e+2,,
440.36683,9.698e+1,,
440.66382,1.234e+3,,
440.76338,1.942e+3,,
440.81958,1.998e+3,,
440.84931,1.059e+3,,
440.85162,1.581e+3,,
441.50287,6.993e+1,,
441.64662,3.363e+2,,
442.15674,3.504e+2,,
442.59974,2.586e+2,,
442.72877,5.738e+2,,
442.851,1.653e+2,,
442.97894,1.141e+2,,
443.04995,5.989e+1,,
443.45941,1.969e+2,,
443.61323,2.695e+2,,
443.78304,4.369e+2,,
444.168,5.403e+2,,
444.33357,4.865e+2,,
444.42059,3.988e+2,,
445.20051,1.770e+3,,
445.74696,2.587e+2,,
445.77534,2.406e+2,,
445.83882,4.835e+1,,
445.97536,7.044e+2,,
446.02914,1.374e+3,,
446.04287,7.799e+1,,
446.0985,1.956e+2,,
446.23574,1.532e+3,,
446.80001,2.447e+2,,
446.87553,9.888e+1,,
446.97033,1.042e+3,,
447.40397,3.044e+2,,
448.00346,1.261e+2,,
448.88872,7.122e+2,,
449.08087,1.533e+2,,
449.60585,2.017e+2,,
450.19542,1.036e+2,,
451.41807,1.103e+2,,
452.42081,3.022e+2,,
452.51524,7.347e+1,,
453.21702,,7.976e+2,
454.00068,6.468e+1,,
454.53926,1.017e+3,,
454.96423,7.528e+2,,
455.30509,3.122e+2,,
456.07118,7.800e+2,,
457.04198,1.103e+2,,
457.17838,5.438e+2,,
457.7174,2.542e+2,,
457.87282,4.601e+2,,
457.91901,1.153e+2,,
458.03967,3.533e+2,,
458.6366,4.792e+2,,
459.41158,6.155e+2,,
460.96459,3.300e+2,,
461.97771,4.812e+1,,
464.63937,1.029e+2,,
467.04817,1.559e+2,,
470.61623,1.192e+2,,
470.65649,2.647e+2,,
471.05525,2.379e+2,,
471.41103,2.003e+2,,
471.76858,1.638e+2,,
474.66221,8.846e+1,,
474.85065,1.158e+2,,
475.09766,1.123e+2,,
475.15658,8.254e+1,,
475.39308,1.233e+2,,
475.73453,7.942e+1,,
475.74736,1.724e+2,,
476.66256,2.543e+2,,
477.6358,3.178e+2,,
477.65102,1.757e+2,,
478.64999,3.671e+2,,
479.50978,7.570e+1,,
479.69081,5.914e+2,,
480.75226,7.631e+2,,
481.90336,4.565e+1,,
482.74529,1.029e+2,,
483.16462,1.272e+2,,
483.24237,9.995e+1,,
484.29972,1.710e+2,,
485.14901,2.224e+2,,
486.47298,3.346e+2,,
487.12563,7.949e+1,,
487.54859,4.803e+2,,
488.15569,6.581e+2,,
488.33893,,7.831e+2,
490.0626,3.685e+2,,
490.44343,1.079e+2,,
491.62521,5.849e+1,,
492.56564,1.087e+2,,
494.28014,4.502e+1,,
501.4622,4.727e+2,,
505.16001,7.194e+1,,
506.41143,1.647e+2,,
510.51465,1.242e+2,,
512.85082,3.769e+2,,
513.84064,2.957e+2,,
514.87009,1.728e+2,,
515.93231,1.289e+2,,
519.2984,4.329e+2,,
519.47776,3.156e+2,,
519.48743,1.380e+2,,
519.53575,1.728e+2,,
522.57241,1.026e+2,,
523.36918,7.882e+1,,
523.40727,3.941e+2,,
524.016,5.834e+1,,
524.08635,4.507e+2,,
540.19224,2.455e+2,,
541.52556,4.729e+2,,
548.79126,2.730e+2,,
558.5181,,3.680e+1,
560.846,,5.087e+1,
560.8684,,4.867e+1,
562.46051,2.094e+2,,
562.48741,1.005e+2,,
562.4911,,2.444e+1,
562.76298,5.024e+2,,
563.2678,,2.871e+1,
563.7345,,1.657e+2,
564.0191,,3.143e+2,
564.14318,1.747e+2,,
565.0637,,2.544e+2,
565.5533,,1.534e+2,
565.6248,,2.000e+2,
565.74404,1.105e+2,,
566.83618,1.001e+2,,
567.0848,4.203e+2,,
568.3752,,2.928e+1,
569.85189,8.754e+2,,
570.3575,7.209e+2,,
570.69824,4.459e+2,,
572.56386,2.129e+2,,
572.70445,1.082e+3,,
572.76551,1.678e+2,,
573.1249,2.091e+2,,
573.70616,2.084e+2,,
574.1474,,2.668e+1,
574.34377,1.167e+2,,
574.4758,,2.448e+1,
574.87257,6.378e+1,,
575.8326,,8.801e+1,
576.1745,,2.571e+1,
576.3211,,1.467e+2,
577.05267,2.013e+2,,
577.24119,1.571e+2,,
577.6452,4.542e+1,,
578.43762,2.850e+2,,
579.0347,,1.837e+1,
579.9844,2.658e+2,,
580.7099,3.832e+2,,
581.6463,,1.204e+1,
581.74912,5.289e+2,,
583.06745,6.831e+2,,
583.7187,,2.884e+1,
584.62519,8.610e+2,,
601.6121,6.160e+1,,
603.97256,2.513e+2,,
608.14422,2.868e+2,,
609.02084,9.784e+2,,
611.16506,2.203e+2,,
611.95275,5.136e+2,,
613.5365,2.030e+2,,
619.9191,8.730e+1,,
621.63643,1.172e+2,,
623.0798,1.097e+2,,
624.28216,6.835e+1,,
624.31073,2.823e+2,,
625.18231,1.065e+2,,
625.69003,2.455e+1,,
625.8571,2.219e+1,,
627.46524,5.198e+1,,
628.51603,7.743e+1,,
628.68986,2.061e+2,,
629.28244,8.633e+1,,
629.64909,6.392e+1,,
630.42868,1.498e+2,,
631.14776,2.451e+2,,
632.11875,2.122e+2,,
652.3569,,3.530e+1,
652.486,,1.847e+1,
652.559,,2.641e+1,
653.14207,1.519e+2,,
654.9381,,6.809e+1,
655.3874,,1.506e+2,
655.3882,,4.109e+1,
656.1933,,1.110e+2,
656.2407,,8.587e+1,
658.1224,,1.222e+1,
661.5298,,1.044e+1,
662.6151,,3.563e+1,
663.0062,,4.826e+1,
663.6925,,1.210e+2,
664.2261,,9.977e+1,
664.6171,,2.764e+1,
664.7324,,7.879e+1,
666.0737,,2.523e+1,
669.2799,,1.424e+1,
670.2525,,1.753e+1,
671.5182,,1.631e+1,
674.1261,,1.470e+1,
674.8474,,1.058e+1,
675.4907,,2.161e+1,
675.5622,,1.141e+1,
675.9542,,6.388e+1,
678.2987,,3.857e+1,
679.0808,,1.518e+1,
680.4833,,3.124e+1,
703.94,,3.145e+1,
704.5917,,2.043e+1,
705.0084,,3.988e+1,
716.2793,,1.916e+1,
717.0183,,1.450e+1,
718.6094,,2.348e+1,
722.5915,,1.378e+1,
795.81982,5.748e+1,,
800.2018,6.447e+1,,
800.59068,6.094e+1,,
801.59826,6.735e+1,,
802.6424,1.060e+2,,
811.67891,1.029e+2,,
816.10622,5.452e+1,,
818.729,1.792e+2,,
820.29943,2.620e+2,,
828.23041,1.598e+2,,
834.1964,9.906e+1,,
853.43665,4.502e+1,,
862.47291,7.359e+1,,
864.41288,6.280e+1,,
864.70619,4.418e+1,,
864.81488,4.243e+1,,
875.9039,,1.054e+1,
913.488,,2.109e+1,
921.3972,,1.356e+1,
934.10885,9.379e+1,,
943.5579,8.514e+1,,
