Ritz wavelength (nm),Co I (5.3e-02),Co II (9.5e-01),Co III (1.2e-03)
240.7251,1.811e+4,,
240.744676,,3.521e+3,
240.766461,,3.048e+4,
240.833372,,1.298e+1,
240.841385,,1.649e+4,
240.855231,,2.421e+3,
240.875278,,1.923e+4,
240.885737,,1.411e+3,
240.928817,,2.942e+0,
240.938933,,9.765e+1,
240.94029,,5.228e+1,
241.07393,,1.307e+1,
241.15376,,1.918e+3,
241.157459,,6.168e+3,
241.188775,,1.415e+2,
241.231963,,2.867e+0,
241.2765,1.322e+3,,
241.402129,,4.306e+0,
241.406909,,2.781e+4,
241.4457,9.726e+3,,
241.529,7.361e+3,,
241.531618,,7.498e+2,
241.57868,,2.588e+0,
241.599223,,1.308e+4,
241.621683,,8.742e+3,
241.689835,,2.233e+4,
241.70334,,6.422e+2,
241.765873,,4.543e+4,
241.769416,,8.535e+1,
241.848172,,3.872e+3,
241.858418,,1.066e+3,
241.8681,,2.095e+1,
242.0728,,1.557e+4,
242.2025,,8.394e+1,
242.305182,,4.040e+0,
242.362385,,5.458e+3,
242.375501,,1.153e+3,
242.382324,,5.383e+2,
242.419244,,2.400e+0,
242.47009,,4.531e+0,
242.48161,,4.089e+0,
242.4932,1.393e+4,,
242.52788,,1.386e+1,
242.613163,,7.194e+2,
242.62291,,2.562e+0,
242.829139,,4.944e+3,
242.992883,,8.427e+2,
243.13784,,3.482e+0,
243.2209,8.308e+3,,
243.251373,,1.157e+4,
243.260365,,1.016e+3,
243.433293,,1.001e+1,
243.498372,,2.996e+1,
243.6657,5.845e+3,,
243.697884,,5.407e+3,
243.76054,,1.143e+1,
243.829806,,1.517e+2,
243.9038,3.869e+3,,
244.000173,,5.544e+1,
244.078136,,3.052e+0,
244.170993,,1.067e+3,
244.261713,,1.070e+4,
244.377708,,4.064e+3,
244.601657,,7.721e+3,
244.60958,,1.175e+1,
244.72307,,2.867e+0,
244.771091,,1.034e+4,
244.782569,,3.952e+3,
244.91598,,3.795e+3,
244.993203,,2.821e+1,
245.000186,,7.579e+3,
245.14758,,1.673e+0,
245.520014,,6.973e+0,
245.544433,,4.392e+0,
245.944694,,5.797e+2,
245.94602,,5.913e+2,
246.08,2.698e+2,,
246.245404,,3.891e+0,
246.270234,,8.494e+0,
246.367286,,3.300e+0,
246.419923,,1.341e+4,
246.640134,,5.471e+1,
246.705143,,3.718e+3,
246.7685,2.237e+2,,
247.0266,5.588e+2,,
247.167917,,6.193e+1,
247.530234,,4.253e+1,
247.6636,5.534e+2,,
247.73065,,1.087e+3,
247.819703,,7.209e+2,
247.829453,,9.308e+2,
247.87079,,7.440e+0,
247.905358,,5.452e+2,
248.53594,,1.633e+3,
248.644088,,9.268e+3,
248.715356,,8.808e+2,
248.790616,,2.338e+1,
249.039807,,2.338e+3,
249.378213,,3.791e+1,
249.46976,,4.112e+0,
249.646,,4.824e+0,
249.748385,,9.485e+2,
249.882124,,2.762e+3,
249.925095,,2.769e+0,
250.20483,,9.656e+1,
250.4519,4.788e+2,,
250.574781,,2.486e+2,
250.646424,,4.130e+4,
250.796291,,2.138e+3,
251.054852,,2.575e+1,
251.084824,,9.118e+1,
251.1018,3.098e+3,,
251.115976,,1.211e+4,
251.206356,,5.191e+2,
251.74366,,7.170e+2,
251.81805,,2.128e+1,
251.982276,,2.437e+4,
252.1363,1.270e+4,,
252.29564,,2.181e+3,
252.46342,,1.801e+3,
252.467728,,4.479e+2,
252.497369,,2.721e+4,
252.508167,,9.783e+2,
252.650351,,3.452e+0,
252.822387,,1.548e+3,
252.861564,,4.346e+4,
252.8967,8.155e+3,,
253.007976,,7.828e+3,
253.026637,,4.444e+1,
253.10129,,1.181e+1,
253.166675,,1.931e+1,
253.380075,,2.471e+3,
253.38556,,2.521e+3,
253.5962,3.475e+3,,
253.65,7.826e+2,,
254.062287,,4.643e+3,
254.15068,,3.294e+0,
254.195316,,1.633e+4,
254.4253,2.652e+3,,
254.45418,,5.476e+2,
254.673838,,6.166e+3,
254.759044,,4.495e+1,
254.97273,,1.779e+2,
255.054078,,1.318e+2,
255.170207,,6.088e+0,
255.239152,,4.676e+2,
255.280432,,5.555e+1,
255.393831,,9.939e+1,
255.678108,,1.532e+3,
255.71998,,3.917e+0,
255.73439,,1.296e+3,
255.744102,,9.404e+1,
255.940526,,2.012e+4,
256.00307,,8.412e+3,
256.2123,7.134e+2,,
256.30538,,9.838e+0,
256.403423,,4.130e+4,
256.7343,8.738e+2,,
257.4348,7.198e+2,,
257.48621,,2.032e+3,
257.545473,,8.687e+2,
257.59,,1.055e+2,
257.622294,,5.883e+1,
257.686758,,4.757e+1,
258.03262,,9.208e+4,
258.2209,,2.096e+2,
258.223944,,3.267e+4,
258.306657,,5.296e+1,
258.316703,,3.436e+3,
258.685049,,4.905e+2,
258.70733,,4.361e+2,
258.721946,,3.888e+4,
258.75239,,5.321e+2,
258.890403,,3.227e+2,
259.03021,,3.380e+0,
259.131593,,7.755e+0,
260.31376,,4.705e+1,
260.398189,,6.804e+0,
260.571926,,2.793e+3,
260.590341,,1.298e+3,
261.07155,,1.294e+1,
261.080813,,7.136e+1,
261.20257,,2.650e+0,
261.205663,,3.189e+1,
261.234203,,2.902e+1,
261.250342,,4.138e+2,
261.34908,,2.526e+3,
261.435283,,1.097e+4,
261.512711,,5.559e+1,
261.557,,5.099e+0,
261.68629,,1.941e+1,
261.889191,,6.231e+2,
261.980084,,1.840e+3,
262.083558,,8.181e+1,
262.192499,,2.995e+2,
262.42374,,2.294e+1,
262.42724,,1.057e+1,
262.672942,,1.826e+2,
262.889262,,9.404e+1,
263.11662,,3.560e+3,
263.118127,,4.300e+1,
263.224595,,6.358e+3,
263.253751,,3.739e+1,
263.285583,,1.369e+1,
263.489314,,1.125e+1,
263.492182,,7.335e+2,
263.586408,,2.119e+1,
263.606753,,1.165e+3,
263.78346,,9.352e+0,
263.834112,,1.371e+1,
263.87882,,1.309e+1,
263.90819,,5.877e+1,
264.599023,,3.762e+1,
264.68274,,5.474e+0,
264.84012,,8.316e+1,
264.864325,,2.653e+3,
264.99033,,1.707e+1,
265.008374,,6.228e+1,
265.21984,,1.737e+2,
265.371313,,3.338e+3,
265.466296,,6.647e+0,
265.5689,,4.267e+0,
265.622525,,1.220e+2,
265.636155,,1.021e+2,
265.66438,,1.018e+2,
266.248251,,1.241e+2,
266.35309,,2.815e+4,
266.65095,,1.561e+1,
266.673943,,2.704e+2,
266.80652,,1.942e+1,
266.977338,,4.057e+2,
267.19929,,8.211e+1,
267.585344,,5.690e+2,
268.266962,,1.134e+1,
268.332,,4.574e+0,
268.441362,,7.862e+2,
268.5336,1.758e+2,,
268.610539,,3.330e+1,
269.420165,,7.412e+0,
269.46789,,1.187e+4,
269.52702,,4.858e+1,
269.5846,1.959e+2,,
269.62116,,1.710e+1,
269.82755,,3.579e+1,
270.03233,,1.340e+1,
270.164938,,3.187e+1,
270.201801,,2.355e+2,
270.33336,,2.842e+1,
270.41727,,2.490e+1,
270.660609,,9.773e+2,
270.734278,,6.666e+2,
270.89447,,2.163e+2,
271.00604,,3.739e+1,
271.03895,,4.608e+0,
271.169885,,1.334e+1,
271.26004,,5.255e+0,
271.295192,,1.790e+1,
271.321648,,5.337e+1,
271.420784,,1.220e+1,
271.444118,,2.358e+3,
272.069684,,6.201e+1,
272.10904,,5.369e+0,
272.16737,,1.137e+1,
272.284615,,1.044e+1,
272.777806,,2.561e+2,
272.90585,,6.998e+1,
273.45382,,1.374e+2,
274.991866,,3.604e+1,
275.262365,,3.598e+0,
275.322128,,1.320e+2,
275.423199,,1.994e+1,
276.19611,,2.074e+1,
276.27425,,2.588e+1,
276.42846,,2.315e+0,
276.670656,,2.703e+2,
276.82412,,7.285e+0,
277.10735,,6.912e+0,
277.49674,,1.837e+2,
277.619879,,5.353e+2,
277.966218,,1.294e+2,
278.540545,,3.365e+1,
278.5674,,7.764e+0,
279.372084,,2.111e+2,
280.200661,,3.923e+1,
280.38142,,1.666e+1,
280.69213,,3.044e+1,
281.05325,,1.645e+1,
281.59564,,4.733e+1,
281.97952,,5.409e+0,
282.136336,,6.647e+0,
282.144673,,5.433e+1,
282.269107,,1.305e+1,
282.298696,,3.499e+1,
282.75003,,2.916e+0,
283.13514,,8.823e+0,
283.76924,,8.530e+0,
284.51869,,4.965e+0,
284.81686,,7.406e+1,
285.39935,,2.631e+0,
286.12796,,6.632e+0,
286.15946,,2.315e+0,
286.259969,,1.436e+1,
286.537642,,4.552e+1,
286.661106,,1.743e+1,
286.988004,,7.762e+1,
287.121554,,9.008e+2,
288.01339,,5.151e+1,
289.04233,,3.683e+2,
289.775111,,1.044e+1,
291.83835,,1.202e+2,
293.023449,,1.682e+2,
294.296364,,2.333e+2,
294.30029,,4.954e+0,
295.47272,,1.314e+3,
297.13946,,2.767e+1,
298.7158,4.465e+2,,
298.9584,4.343e+2,,
301.7542,4.444e+2,,
304.3997,2.338e+3,,
304.8882,3.122e+2,,
305.35528,,4.335e+0,
306.1815,1.458e+3,,
307.2337,9.660e+2,,
308.2613,4.196e+2,,
308.6774,7.908e+2,,
308.959,2.268e+2,,
312.1412,2.396e+2,,
313.7325,3.130e+2,,
313.9942,1.890e+2,,
314.7057,4.252e+2,,
315.877,2.837e+2,,
335.4376,7.084e+2,,
336.7109,5.670e+2,,
338.5218,7.327e+2,,
338.8165,9.989e+2,,
339.5371,2.433e+3,,
340.5114,1.231e+4,,
340.9173,3.827e+3,,
341.2333,6.971e+3,,
341.2629,1.834e+3,,
341.4719,3.592e+2,,
341.7155,2.061e+3,,
342.07974,,7.755e+0,
343.1578,1.163e+3,,
343.3037,4.162e+3,,
344.292,7.954e+2,,
344.3642,6.520e+3,,
344.9167,5.062e+3,,
344.944,2.321e+3,,
345.3508,1.710e+4,,
345.5233,6.067e+2,,
346.2803,5.088e+3,,
346.5786,2.230e+3,,
347.397,5.541e+2,,
347.404,5.103e+3,,
348.3405,6.769e+2,,
348.9399,6.416e+3,,
349.1316,3.314e+2,,
349.5681,3.264e+3,,
349.6676,3.393e+2,,
350.1708,,3.329e+3,
350.2278,8.714e+3,,
350.2617,5.497e+2,,
350.6312,6.198e+3,,
350.984,3.024e+3,,
351.0414,5.809e+2,,
351.2637,4.738e+3,,
351.3473,1.495e+3,,
351.8346,4.777e+3,,
352.0074,5.325e+2,,
352.1567,1.999e+3,,
352.3427,2.237e+3,,
352.6844,2.794e+3,,
352.9025,1.274e+3,,
352.9806,5.933e+3,,
353.3355,9.438e+2,,
355.0585,2.957e+2,,
356.089,1.090e+3,,
356.4948,6.986e+2,,
356.937,1.069e+4,,
357.4965,1.134e+3,,
357.5355,1.565e+3,,
358.5155,7.734e+2,,
358.7186,6.709e+3,,
359.4864,1.065e+3,,
360.2077,7.392e+2,,
360.5371,4.220e+2,,
362.7804,6.665e+2,,
363.1384,1.118e+2,,
364.7658,1.158e+2,,
365.2537,1.402e+2,,
370.4056,8.551e+2,,
374.5491,6.292e+2,,
384.2046,8.889e+2,,
384.5461,5.257e+3,,
386.116,5.715e+2,,
387.3114,1.834e+3,,
387.3955,1.057e+3,,
388.1875,5.435e+2,,
389.4073,5.789e+3,,
389.4977,2.810e+2,,
393.5959,7.631e+2,,
399.5302,3.224e+3,,
399.79,6.379e+2,,
404.5384,2.268e+2,,
409.2384,6.330e+2,,
411.053,4.092e+2,,
411.8767,1.597e+3,,
412.1311,2.694e+3,,
482.32365,,2.181e+0,
493.12473,,1.769e+0,
494.05829,,8.435e+0,
494.20497,,1.988e+0,
494.48817,,3.142e+0,
494.94911,,2.353e+0,
494.97377,,4.382e+0,
495.25711,,8.231e+0,
495.36887,,5.522e+0,
495.46503,,2.179e+0,
495.535,,2.290e+0,
495.69864,,6.475e+0,
496.23566,,1.887e+1,
496.41682,,2.106e+1,
496.7417,,3.070e+0,
497.81156,,1.825e+0,
497.9431,,7.669e+0,
499.04623,,4.330e+0,
499.34343,,4.328e+0,
499.59719,,8.884e+0,
499.78649,,5.236e+0,
500.30696,,5.153e+0,
500.68618,,3.191e+0,
501.36593,,9.249e+0,
501.59105,,1.139e+1,
502.25161,,8.115e+0,
502.36685,,1.785e+1,
502.54206,,3.941e+0,
502.59107,,1.214e+1,
502.6664,,1.023e+1,
502.74687,,2.454e+0,
502.88093,,5.914e+0,
502.91799,,3.948e+0,
502.91842,,8.793e+0,
502.98254,,2.341e+0,
503.75755,,3.943e+1,
505.07089,,5.252e+0,
505.55357,,3.646e+0,
505.7416,,1.700e+1,
506.98861,,1.682e+0,
507.3258,,4.601e+0,
507.51137,,1.736e+1,
507.70694,,2.221e+0,
508.24371,,2.663e+0,
508.31892,,3.340e+0,
508.3611,,1.261e+1,
508.92706,,8.504e+0,
509.08787,,2.337e+0,
509.15801,,4.725e+0,
509.22188,,6.384e+0,
509.34839,,4.139e+0,
509.41213,,2.078e+0,
509.52694,,1.467e+1,
509.70193,,5.781e+0,
509.92115,,2.120e+1,
510.0142,,1.865e+1,
510.07741,,4.826e+0,
510.37714,,2.370e+0,
510.45696,,1.170e+1,
510.63945,,8.854e+0,
510.71427,,3.000e+0,
510.75362,,1.757e+1,
510.80464,,4.784e+0,
511.31548,,2.808e+0,
511.77155,,3.761e+0,
511.77952,,5.044e+0,
511.99193,,5.645e+0,
512.92021,,6.234e+1,
512.9972,,7.182e+0,
513.19963,,1.247e+1,
513.56812,,2.597e+1,
513.61018,,2.801e+0,
514.23415,,3.555e+0,
514.39071,,3.652e+0,
514.6749,2.199e+2,,
514.7752,,6.407e+0,
515.06774,,8.238e+0,
515.41091,,8.561e+0,
515.41776,,3.441e+0,
515.9411,,5.404e+0,
516.04539,,6.596e+0,
516.315,,4.181e+1,
516.45413,,2.674e+0,
516.98628,,2.897e+0,
517.06829,,2.923e+1,
517.6949,,1.610e+1,
517.73871,,2.075e+0,
517.75201,,5.471e+0,
518.14273,,4.817e+0,
518.39784,,2.179e+0,
519.05259,,2.242e+0,
519.81656,,2.996e+0,
519.95128,,2.985e+1,
519.96651,,2.882e+0,
521.2422,,4.294e+0,
521.2691,3.787e+2,,
521.43464,,5.798e+0,
522.39699,,2.634e+0,
522.84189,,3.939e+1,
523.04891,,2.701e+0,
523.11044,,2.298e+1,
523.56066,,2.410e+0,
523.94957,,7.845e+0,
524.75781,,2.786e+0,
524.93642,,6.207e+0,
525.2586,,4.857e+0,
525.32978,,2.729e+0,
525.52703,,3.658e+0,
525.90238,,2.685e+0,
525.9441,,5.791e+0,
527.21394,,1.937e+0,
528.0629,4.106e+2,,
532.17034,,2.306e+0,
532.69851,,3.210e+0,
533.06314,,3.646e+0,
533.99864,,2.458e+0,
534.68464,,3.913e+0,
535.1387,,6.902e+0,
535.2045,5.382e+2,,
536.06229,,3.221e+0,
536.85898,,5.438e+0,
538.26159,,4.331e+0,
541.18006,,8.461e+0,
547.7078,9.971e+1,,
548.3955,1.455e+2,,
548.94426,,2.528e+0,
550.02761,,2.954e+0,
560.13004,,2.117e+0,
561.64213,,2.183e+0,
567.0368,,2.065e+0,
568.9313,,4.596e+0,
577.1845,,2.338e+0,
578.12566,,2.141e+0,
579.85611,,5.710e+0,
581.10152,,2.033e+0,
581.16706,,6.359e+0,
581.66991,,4.967e+0,
594.04789,,2.041e+0,
605.10921,,2.477e+0,
608.242,1.512e+2,,
609.9169,,4.358e+0,
611.2546,,5.565e+0,
620.5716,,3.843e+0,
622.9421,,3.706e+0,
625.6999,,3.055e+0,
635.7695,,3.985e+0,
637.17946,,4.765e+0,
637.37856,,1.422e+1,
642.58717,,1.337e+1,
645.499,2.521e+2,,
650.29024,,6.411e+0,
652.20787,,1.235e+1,
653.8709,,2.592e+1,
654.27363,,2.391e+0,
657.13038,,1.861e+1,
657.62238,,2.055e+1,
659.04434,,4.457e+0,
659.9811,,2.799e+0,
660.22197,,9.330e+0,
661.47803,,7.143e+0,
662.16287,,1.377e+1,
662.821,,6.064e+0,
665.81225,,2.062e+0,
668.1686,,2.864e+0,
669.6331,,1.676e+0,
699.7325,,3.480e+0,
743.9418,,4.448e+0,
767.12336,,3.214e+0,
767.93696,,9.157e+0,
778.40305,,4.512e+0,
783.813,1.512e+2,,
786.5711,,2.662e+0,
787.97659,,3.631e+0,
790.5515,,4.821e+0,
794.4877,,7.588e+0,
799.78374,,6.835e+0,
801.34227,,9.680e+0,
801.86187,,5.125e+0,
804.9315,,3.430e+0,
807.58274,,3.227e+0,
809.393,5.601e+2,,
819.11746,,2.832e+0,
832.08235,,1.948e+1,
834.17809,,6.825e+1,
834.25863,,1.946e+0,
835.1462,,2.663e+0,
837.22527,,8.830e+0,
837.281,2.437e+2,,
839.73007,,1.927e+0,
850.6735,,1.688e+1,
851.59,,2.319e+1,
853.39644,,2.973e+1,
853.8556,,1.166e+1,
858.15354,,4.175e+1,
860.27542,,1.960e+1,
863.2346,,2.995e+1,
872.3272,,3.716e+1,
873.74336,,5.257e+1,
877.74436,,3.226e+1,
880.16779,,3.092e+1,
881.7154,,2.181e+1,
882.4903,,1.911e+1,
885.1205,,1.150e+1,
900.93806,,1.463e+1,
907.0295,,2.379e+1,
